mode,entry_thr,require_flip,squeeze_n,min_strength,trail_mode,trail_k,stop_k,trail_start_r,rr,max_hold_bars,flip_exit,dir_mode,min_risk_bps,kernel_trades,stream_trades,kernel_R,stream_R,matched,kernel_only,stream_only,entry_match,exit_bar_match,max_r_diff,tf
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,2.0,336,0,0,3.0,1040,1040,-99.107,-99.107,1040,0,0,1.0,1.0,0.0,30m
2,0.8,0,10.0,0.0,0,1.5,1.5,0.0,0.0,336,0,0,3.0,32,32,1.877,1.877,32,0,0,1.0,1.0,0.0,30m
2,0.8,0,10.0,0.0,1,1.5,1.5,0.0,0.0,336,0,0,3.0,32,32,11.313,11.313,32,0,0,1.0,1.0,0.0,30m
0,0.8,1,0.0,0.0,1,8.0,2.0,0.0,0.0,0,1,0,3.0,770,770,148.272,148.272,770,0,0,1.0,1.0,0.0,30m
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,672,0,0,3.0,11409,11409,-822.24,-822.24,11409,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,0.0,672,0,0,3.0,9291,9291,-536.024,-536.024,9291,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,0.0,672,0,0,3.0,6903,6903,-192.313,-192.313,6903,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,2.0,672,0,0,3.0,13044,13044,-1518.98,-1518.98,13044,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,2.0,672,0,0,3.0,10682,10682,-1188.102,-1188.102,10682,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,2.0,672,0,0,3.0,8265,8265,-925.561,-925.561,8265,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,0.0,672,0,0,3.0,11972,11972,-941.927,-941.927,11972,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,0.0,672,0,0,3.0,9574,9574,-597.939,-597.939,9574,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,0.0,672,0,0,3.0,7038,7038,-252.302,-252.302,7038,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,2.0,672,0,0,3.0,13532,13532,-1607.138,-1607.138,13532,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,1,1.0,1.0,1.0,2.0,672,0,0,3.0,10862,10862,-1211.424,-1211.424,10862,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,1,1.0,1.0,2.0,2.0,672,0,0,3.0,8265,8265,-925.561,-925.561,8265,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,0.0,672,0,0,3.0,2026,2026,-140.019,-140.019,2026,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,0.0,672,0,0,3.0,2000,2000,-121.996,-121.996,2000,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,0.0,672,0,0,3.0,1939,1939,-101.885,-101.885,1939,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,0,1.0,1.0,0.0,2.0,672,0,0,3.0,2034,2034,-235.79,-235.79,2034,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,0,1.0,1.0,1.0,2.0,672,0,0,3.0,2014,2014,-249.511,-249.511,2014,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,0,1.0,1.0,2.0,2.0,672,0,0,3.0,1969,1969,-256.061,-256.061,1969,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,0.0,672,0,0,3.0,2038,2038,-142.197,-142.197,2038,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,1,1.0,1.0,1.0,0.0,672,0,0,3.0,2007,2007,-133.354,-133.354,2007,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,0.0,672,0,0,3.0,1943,1943,-123.709,-123.709,1943,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,1,1.0,1.0,0.0,2.0,672,0,0,3.0,2045,2045,-240.161,-240.161,2045,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,1,1.0,1.0,1.0,2.0,672,0,0,3.0,2019,2019,-254.545,-254.545,2019,0,0,1.0,1.0,0.0,15m
0,1.0,1,0.0,0.0,1,1.0,1.0,2.0,2.0,672,0,0,3.0,1969,1969,-256.061,-256.061,1969,0,0,1.0,1.0,0.0,15m
2,0.8,0,10.0,0.0,0,1.5,1.5,0.0,0.0,672,0,0,3.0,73,73,16.705,16.705,73,0,0,1.0,1.0,0.0,15m
2,0.8,0,10.0,0.0,1,1.5,1.5,0.0,0.0,672,0,0,3.0,73,73,17.59,17.59,73,0,0,1.0,1.0,0.0,15m
0,0.8,1,0.0,0.0,1,8.0,2.0,0.0,0.0,0,1,0,3.0,1470,1470,138.086,138.086,1470,0,0,1.0,1.0,0.0,15m
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,42,0,0,3.0,867,867,54.878,54.878,867,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,0.0,42,0,0,3.0,750,750,40.224,40.224,750,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,0.0,42,0,0,3.0,592,592,83.345,83.345,592,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,0,1.0,1.0,0.0,2.0,42,0,0,3.0,1005,1005,5.128,5.128,1005,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,0,1.0,1.0,1.0,2.0,42,0,0,3.0,865,865,-12.635,-12.635,865,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,0,1.0,1.0,2.0,2.0,42,0,0,3.0,729,729,5.485,5.485,729,0,0,1.0,1.0,0.0,4h
0,1.0,0,0.0,0.0,1,1.0,1.0,0.0,0.0,42,0,0,3.0,899,899,47.612,47.612,899,0,0,1.0,1.0,0.0,4h
