entry_bar,exit_bar_ref,dir_ref,entry_px_ref,exit_px_ref,r_ref,exit_bar_nau,dir_nau,entry_px_nau,exit_px_nau,r_nau,reason,_merge
3964,3964.0,-1.0,98906.21,99782.96603629603,-1.1586329805187083,3964.0,-1.0,98906.20000000001,99782.95436203838,-1.1586332661408996,stop,both
4159,4159.0,-1.0,115419.65,115874.07908640242,-1.3562835549155574,4159.0,-1.0,115419.7,115874.12439237528,-1.3562873819963435,stop,both
4282,4284.0,-1.0,118257.26,118951.81480835994,-1.2390687536350713,4284.0,-1.0,118257.3,118951.85300156748,-1.2390694543488554,stop,both
4330,4332.0,1.0,116370.75,115854.36010763801,-1.3147962024039548,4332.0,1.0,116370.8,115854.4097031908,-1.314796090857427,stop,both
4665,4666.0,-1.0,105683.71,107077.72722302053,-1.1068372783324782,4666.0,-1.0,105683.7,107077.7178932936,-1.1068372172565395,stop,both
4690,4690.0,1.0,113422.6,112519.14113555962,-1.1750596789958538,4690.0,1.0,113422.59999999999,112519.13917551846,-1.175059297688556,stop,both
4775,4775.0,-1.0,100542.64,101497.22,-0.7301531877116278,4776.0,-1.0,100542.59999999999,102043.66730048315,-1.0944730373279712,stop,both
4829,4829.0,-1.0,98682.13,99740.51469351992,-1.131233805756897,4829.0,-1.0,98682.09999999999,99740.48842384783,-1.1312333060028432,stop,both
4832,4847.0,-1.0,97151.97,94261.44,2.024487700649843,4848.0,-1.0,97152.0,95496.8,1.116589287061026,session,both
4853,4857.0,-1.0,91678.93,92537.82919412291,-1.1501360489312928,4857.0,-1.0,91678.9,92537.79992871177,-1.1501358722237889,stop,both
4871,4871.0,-1.0,86921.27,87964.68983230762,-1.11732590093852,4871.0,-1.0,86921.3,87964.72004696913,-1.117325917197473,stop,both
4874,,,,,,4875.0,-1.0,84049.40000000001,85462.00930487881,-1.0839991539795193,stop,right_only
4875,4875.0,-1.0,82309.67,83985.22680849851,-1.0694732802704938,,,,,,,left_only
4876,,,,,,4876.0,-1.0,82932.5,84759.11469014408,-1.0642632137562833,stop,right_only
4933,4938.0,-1.0,86346.13,87068.1419211279,-1.1681274045380736,4938.0,-1.0,86346.09999999999,87068.1140443333,-1.1681268540186294,stop,both
5039,5039.0,-1.0,84483.8,85013.3940114511,-1.2240358335679136,5039.0,-1.0,84483.8,85013.39614229892,-1.2240349349687043,stop,both
5290,5290.0,-1.0,84934.02,85527.04905635104,-1.2012089408799829,5290.0,-1.0,84934.0,85527.02816782896,-1.2012091940831489,stop,both
5291,,,,,,5304.0,-1.0,84012.09999999999,78868.3,5.95552057473339,session,right_only
5293,5296.0,-1.0,82676.42,83842.83716277682,-1.099932926000885,,,,,,,left_only
5303,5303.0,-1.0,77750.01,78741.09,-0.6412389634264666,,,,,,,left_only
5326,5327.0,-1.0,74136.48,73165.83,1.28656604206045,5328.0,-1.0,74136.5,71223.3,4.169400516512105,session,both
5329,,,,,,5351.0,-1.0,71223.3,72197.44725701632,-1.1030588777588024,stop,right_only
5331,5339.0,-1.0,70318.35,71579.51374412657,-1.0787594038311654,,,,,,,left_only
5368,5368.0,-1.0,66519.72,67161.55303103985,-1.145796315546623,5368.0,-1.0,66519.7,67161.53722924124,-1.1457953228595006,stop,both
5437,5437.0,-1.0,64934.18,65325.75817457599,-1.2328576070945054,5437.0,-1.0,64934.200000000004,65325.77520583896,-1.232859438709165,stop,both
5453,5453.0,1.0,69038.26,68233.86594302805,-1.1194569842072677,5453.0,1.0,69038.3,68233.9077115886,-1.119457318005731,stop,both
5482,5484.0,1.0,69130.2,68547.74186189393,-1.1654617782776644,5484.0,1.0,69130.20000000001,68547.7417165415,-1.1654617368120088,stop,both
5493,5495.0,1.0,71111.4,72666.77,1.9380236697078885,5496.0,1.0,71111.4,72497.90000000001,1.7132086806809976,session,both
5578,5591.0,-1.0,71467.82,70510.73,1.5177699761941317,5592.0,-1.0,71467.8,70657.40000000001,1.2580083166425404,session,both
5632,5637.0,-1.0,66112.82,66913.06271708905,-1.116362343465855,5637.0,-1.0,66112.8,66913.04027210176,-1.1163626618614277,stop,both
5700,5700.0,1.0,71924.22,71266.02540890503,-1.1522850128857478,5700.0,1.0,71924.2,71266.00587598015,-1.1522850789080648,stop,both
5740,5740.0,1.0,75317.06,74604.72637008385,-1.1473259804839067,5740.0,1.0,75317.1,74604.76631936667,-1.1473260485594918,stop,both
5758,5758.0,1.0,77785.03,77241.35678224839,-1.1996023846757826,5758.0,1.0,77785.0,77241.32564513471,-1.199601888484307,stop,both
6028,6028.0,-1.0,71129.62,71516.24785849793,-1.2582641299798851,6028.0,-1.0,71129.6,71516.23266491099,-1.2582608556584973,stop,both
6034,6047.0,-1.0,67304.29,63885.99,3.325643460121431,6048.0,-1.0,67304.3,62730.0,4.482158695452661,session,both
6052,6053.0,-1.0,60438.0,61896.28474894138,-1.0587224130173643,6053.0,-1.0,60438.0,61896.28234433082,-1.0587225086924623,stop,both
6070,6071.0,1.0,63774.48,63203.83889776895,-1.1557630932663667,6071.0,1.0,63774.5,63203.85729420671,-1.1557627026571395,stop,both
6166,6167.0,-1.0,60250.0,60833.01811117439,-1.1453781813177106,6167.0,-1.0,60250.0,60833.01897972977,-1.1453779657826828,stop,both
6238,6239.0,1.0,63545.98,64042.02,1.3422373601658577,6240.0,1.0,63546.0,63242.97782223373,-1.2928903921482044,stop,both
6286,6286.0,1.0,64744.0,64389.500558001135,-1.2549889779259165,6286.0,1.0,64744.0,64389.502151719746,-1.2549901274287656,stop,both
6502,6503.0,1.0,68554.0,69334.79,0.8277074035195179,6504.0,1.0,68554.0,69195.6,0.6594569700432371,session,both
6507,6527.0,1.0,71927.07,77734.0,4.095092084447679,6528.0,1.0,71927.1,76933.0,3.520222910856657,session,both
