symbol,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,dcrowd,12,288,0.2,2016,576,False,1057,0.483,-34.74,0.4588,0.79,-36723.9,0.7185,-51521.9,0.6536,-66319.9,0.5949,-81117.9
BTCUSDT,dcrowd,12,288,0.2,2016,864,True,710,0.324,10.59,0.5197,1.0579,7516.5,0.982,-2423.5,0.9114,-12363.5,0.8459,-22303.5
BTCUSDT,dcrowd,12,288,0.2,2016,864,False,710,0.324,-10.59,0.4803,0.9452,-7516.5,0.8775,-17456.5,0.8148,-27396.5,0.7569,-37336.5
BTCUSDT,dcrowd,12,288,0.2,8640,96,True,5598,2.556,8.28,0.5191,1.1542,46340.8,0.9059,-32031.2,0.7135,-110403.2,0.5651,-188775.2
BTCUSDT,dcrowd,12,288,0.2,8640,96,False,5598,2.556,-8.28,0.4807,0.8664,-46340.8,0.6803,-124712.8,0.5362,-203084.8,0.4253,-281456.8
BTCUSDT,dcrowd,12,288,0.2,8640,144,True,3880,1.772,3.3,0.5057,1.0458,12794.5,0.865,-41525.5,0.7165,-95845.5,0.5952,-150165.5
BTCUSDT,dcrowd,12,288,0.2,8640,144,False,3880,1.772,-3.3,0.4943,0.9562,-12794.5,0.7909,-67114.5,0.6554,-121434.5,0.5449,-175754.5
BTCUSDT,dcrowd,12,288,0.2,8640,288,True,2032,0.928,12.98,0.4926,1.1311,26375.8,0.9904,-2072.2,0.8683,-30520.2,0.7624,-58968.2
BTCUSDT,dcrowd,12,288,0.2,8640,288,False,2032,0.928,-12.98,0.5069,0.8841,-26375.8,0.7735,-54823.8,0.6766,-83271.8,0.592,-111719.8
BTCUSDT,dcrowd,12,288,0.2,8640,576,True,1039,0.474,9.76,0.5294,1.0682,10142.6,0.9717,-4403.4,0.8837,-18949.4,0.8037,-33495.4
BTCUSDT,dcrowd,12,288,0.2,8640,576,False,1039,0.474,-9.76,0.4706,0.9361,-10142.6,0.8518,-24688.6,0.7755,-39234.6,0.7062,-53780.6
BTCUSDT,dcrowd,12,288,0.2,8640,864,True,697,0.318,16.76,0.5079,1.0919,11684.1,1.0146,1926.1,0.9429,-7831.9,0.8764,-17589.9
BTCUSDT,dcrowd,12,288,0.2,8640,864,False,697,0.318,-16.76,0.4921,0.9158,-11684.1,0.8509,-21442.1,0.7906,-31200.1,0.7348,-40958.1
BTCUSDT,dcrowd,12,288,0.3,2016,96,True,6193,2.828,7.31,0.509,1.1401,45250.2,0.8874,-41451.8,0.6936,-128153.8,0.5458,-214855.8
BTCUSDT,dcrowd,12,288,0.3,2016,96,False,6193,2.828,-7.31,0.4906,0.8771,-45250.2,0.6823,-131952.2,0.5328,-218654.2,0.4188,-305356.2
BTCUSDT,dcrowd,12,288,0.3,2016,144,True,4188,1.912,7.32,0.5153,1.1106,30653.7,0.9089,-27978.3,0.7452,-86610.3,0.6129,-145242.3
BTCUSDT,dcrowd,12,288,0.3,2016,144,False,4188,1.912,-7.32,0.4847,0.9004,-30653.7,0.7372,-89285.7,0.6049,-147917.7,0.4982,-206549.7
BTCUSDT,dcrowd,12,288,0.3,2016,288,True,2126,0.971,15.77,0.5254,1.1652,33528.1,1.0173,3764.1,0.8886,-25999.9,0.7771,-55763.9
BTCUSDT,dcrowd,12,288,0.3,2016,288,False,2126,0.971,-15.77,0.4746,0.8582,-33528.1,0.7494,-63292.1,0.655,-93056.1,0.5732,-122820.1
BTCUSDT,dcrowd,12,288,0.3,2016,576,True,1071,0.489,24.24,0.5126,1.1783,25961.2,1.0716,10967.2,0.975,-4026.8,0.8875,-19020.8
BTCUSDT,dcrowd,12,288,0.3,2016,576,False,1071,0.489,-24.24,0.4874,0.8487,-25961.2,0.7716,-40955.2,0.7016,-55949.2,0.638,-70943.2
BTCUSDT,dcrowd,12,288,0.3,2016,864,True,716,0.327,29.2,0.5391,1.1741,20905.6,1.0872,10881.6,1.0066,857.6,0.9321,-9166.4
BTCUSDT,dcrowd,12,288,0.3,2016,864,False,716,0.327,-29.2,0.4609,0.8517,-20905.6,0.7888,-30929.6,0.7305,-40953.6,0.6768,-50977.6
BTCUSDT,dcrowd,12,288,0.3,8640,96,True,6072,2.773,7.81,0.513,1.1462,47398.8,0.8978,-37609.2,0.7061,-122617.2,0.5588,-207625.2
BTCUSDT,dcrowd,12,288,0.3,8640,96,False,6072,2.773,-7.81,0.487,0.8725,-47398.8,0.6833,-132406.8,0.5372,-217414.8,0.4252,-302422.8
BTCUSDT,dcrowd,12,288,0.3,8640,144,True,4117,1.88,12.0,0.5164,1.187,49423.4,0.972,-8214.6,0.7978,-65852.6,0.6574,-123490.6
BTCUSDT,dcrowd,12,288,0.3,8640,144,False,4117,1.88,-12.0,0.4836,0.8424,-49423.4,0.6896,-107061.4,0.5658,-164699.4,0.4655,-222337.4
BTCUSDT,dcrowd,12,288,0.3,8640,288,True,2093,0.956,14.81,0.5323,1.1537,30989.9,1.0078,1687.9,0.8805,-27614.1,0.7698,-56916.1
BTCUSDT,dcrowd,12,288,0.3,8640,288,False,2093,0.956,-14.81,0.4677,0.8668,-30989.9,0.7576,-60291.9,0.6628,-89593.9,0.5808,-118895.9
BTCUSDT,dcrowd,12,288,0.3,8640,576,True,1054,0.481,18.45,0.5,1.1302,19445.0,1.0299,4689.0,0.9389,-10067.0,0.8564,-24823.0
BTCUSDT,dcrowd,12,288,0.3,8640,576,False,1054,0.481,-18.45,0.5,0.8848,-19445.0,0.8061,-34201.0,0.7342,-48957.0,0.6687,-63713.0
BTCUSDT,dcrowd,12,288,0.3,8640,864,True,704,0.321,-10.67,0.4815,0.9443,-7514.6,0.876,-17370.6,0.8127,-27226.6,0.7543,-37082.6
BTCUSDT,dcrowd,12,288,0.3,8640,864,False,704,0.321,10.67,0.5185,1.059,7514.6,0.9823,-2341.4,0.9111,-12197.4,0.8449,-22053.4
BTCUSDT,dcrowd,48,288,0.02,2016,96,True,1218,0.556,17.67,0.5296,1.2786,21522.3,1.0521,4470.3,0.8678,-12581.7,0.7184,-29633.7
BTCUSDT,dcrowd,48,288,0.02,2016,96,False,1218,0.556,-17.67,0.4696,0.7821,-21522.3,0.6436,-38574.3,0.5301,-55626.3,0.4379,-72678.3
BTCUSDT,dcrowd,48,288,0.02,2016,144,True,1083,0.495,14.6,0.53,1.1896,15815.0,1.0072,653.0,0.8533,-14509.0,0.724,-29671.0
BTCUSDT,dcrowd,48,288,0.02,2016,144,False,1083,0.495,-14.6,0.47,0.8406,-15815.0,0.7122,-30977.0,0.6045,-46139.0,0.5143,-61301.0
BTCUSDT,dcrowd,48,288,0.02,2016,288,True,843,0.385,26.53,0.5279,1.2475,22366.7,1.11,10564.7,0.9879,-1237.3,0.8796,-13039.3
BTCUSDT,dcrowd,48,288,0.02,2016,288,False,843,0.385,-26.53,0.4721,0.8016,-22366.7,0.713,-34168.7,0.6342,-45970.7,0.5643,-57772.7
