symbol,seed,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,0,dcrowd,12,288,0.05,2016,144,True,2607,1.19,0.58,0.4952,1.0082,1519.8,0.8286,-34978.2,0.6826,-71476.2,0.5641,-107974.2
BTCUSDT,0,dcrowd,12,288,0.05,2016,144,False,2607,1.19,-0.58,0.5048,0.9918,-1519.8,0.8147,-38017.8,0.6707,-74515.8,0.554,-111013.8
BTCUSDT,0,dcrowd,12,288,0.05,2016,288,True,1585,0.724,3.97,0.5123,1.0388,6299.6,0.9084,-15890.4,0.7946,-38080.4,0.6959,-60270.4
BTCUSDT,0,dcrowd,12,288,0.05,2016,288,False,1585,0.724,-3.97,0.4877,0.9626,-6299.6,0.842,-28489.6,0.7371,-50679.6,0.6463,-72869.6
BTCUSDT,0,dcrowd,12,288,0.05,2016,576,True,925,0.422,0.57,0.4951,1.0039,531.0,0.9129,-12419.0,0.8303,-25369.0,0.7557,-38319.0
BTCUSDT,0,dcrowd,12,288,0.05,2016,576,False,925,0.422,-0.57,0.5049,0.9961,-531.0,0.9056,-13481.0,0.8234,-26431.0,0.7488,-39381.0
BTCUSDT,0,dcrowd,12,288,0.05,2016,864,True,646,0.295,17.95,0.5201,1.1,11596.8,1.0212,2552.8,0.9481,-6491.2,0.8803,-15535.2
BTCUSDT,0,dcrowd,12,288,0.05,2016,864,False,646,0.295,-17.95,0.4799,0.9091,-11596.8,0.8441,-20640.8,0.7838,-29684.8,0.7281,-38728.8
BTCUSDT,1,dcrowd,12,288,0.05,2016,96,True,3362,1.535,1.34,0.4988,1.024,4498.5,0.7999,-42569.5,0.6274,-89637.5,0.4951,-136705.5
BTCUSDT,1,dcrowd,12,288,0.05,2016,96,False,3362,1.535,-1.34,0.5009,0.9766,-4498.5,0.7627,-51566.5,0.5977,-98634.5,0.4709,-145702.5
BTCUSDT,1,dcrowd,12,288,0.05,2016,144,True,2616,1.195,7.45,0.5195,1.111,19501.7,0.9118,-17122.3,0.7496,-53746.3,0.6184,-90370.3
BTCUSDT,1,dcrowd,12,288,0.05,2016,144,False,2616,1.195,-7.45,0.4797,0.9001,-19501.7,0.7392,-56125.7,0.609,-92749.7,0.5039,-129373.7
BTCUSDT,1,dcrowd,12,288,0.05,2016,288,True,1605,0.733,20.11,0.5246,1.2145,32273.0,1.0607,9803.0,0.9269,-12667.0,0.8111,-35137.0
BTCUSDT,1,dcrowd,12,288,0.05,2016,288,False,1605,0.733,-20.11,0.4754,0.8234,-32273.0,0.719,-54743.0,0.6282,-77213.0,0.5496,-99683.0
BTCUSDT,1,dcrowd,12,288,0.05,2016,576,True,919,0.42,4.17,0.4788,1.029,3835.8,0.9351,-9030.2,0.8504,-21896.2,0.7738,-34762.2
BTCUSDT,1,dcrowd,12,288,0.05,2016,576,False,919,0.42,-4.17,0.5212,0.9718,-3835.8,0.8828,-16701.8,0.8018,-29567.8,0.7282,-42433.8
BTCUSDT,1,dcrowd,12,288,0.05,2016,864,True,650,0.297,38.12,0.5492,1.2263,24778.7,1.1379,15678.7,1.0558,6578.7,0.9794,-2521.3
BTCUSDT,1,dcrowd,12,288,0.05,2016,864,False,650,0.297,-38.12,0.4508,0.8155,-24778.7,0.7569,-33878.7,0.7029,-42978.7,0.653,-52078.7
BTCUSDT,2,dcrowd,12,288,0.05,2016,96,True,3347,1.528,0.58,0.4891,1.0105,1953.2,0.7875,-44904.8,0.617,-91762.8,0.4874,-138620.8
BTCUSDT,2,dcrowd,12,288,0.05,2016,96,False,3347,1.528,-0.58,0.5109,0.9896,-1953.2,0.7702,-48811.2,0.6017,-95669.2,0.4732,-142527.2
BTCUSDT,2,dcrowd,12,288,0.05,2016,144,True,2580,1.178,1.53,0.5058,1.0222,3960.1,0.8369,-32159.9,0.6868,-68279.9,0.5656,-104399.9
BTCUSDT,2,dcrowd,12,288,0.05,2016,144,False,2580,1.178,-1.53,0.4938,0.9783,-3960.1,0.8011,-40080.1,0.6578,-76200.1,0.5421,-112320.1
BTCUSDT,2,dcrowd,12,288,0.05,2016,288,True,1587,0.725,-10.87,0.4972,0.8988,-17258.3,0.7832,-39476.3,0.6828,-61694.3,0.5956,-83912.3
BTCUSDT,2,dcrowd,12,288,0.05,2016,288,False,1587,0.725,10.87,0.5022,1.1127,17258.3,0.9699,-4959.7,0.8463,-27177.7,0.7396,-49395.7
BTCUSDT,2,dcrowd,12,288,0.05,2016,576,True,925,0.422,21.63,0.5049,1.1604,20011.9,1.0538,7061.9,0.9573,-5888.1,0.8701,-18838.1
BTCUSDT,2,dcrowd,12,288,0.05,2016,576,False,925,0.422,-21.63,0.4951,0.8618,-20011.9,0.7823,-32961.9,0.71,-45911.9,0.6443,-58861.9
BTCUSDT,2,dcrowd,12,288,0.05,2016,864,True,649,0.296,2.16,0.5177,1.0115,1400.2,0.9389,-7685.8,0.8715,-16771.8,0.8089,-25857.8
BTCUSDT,2,dcrowd,12,288,0.05,2016,864,False,649,0.296,-2.16,0.4823,0.9886,-1400.2,0.9177,-10486.2,0.8521,-19572.2,0.7915,-28658.2
BTCUSDT,0,dcrowd,12,288,0.05,8640,96,True,3198,1.46,-4.04,0.4862,0.9312,-12935.3,0.7284,-57707.3,0.5723,-102479.3,0.4534,-147251.3
BTCUSDT,0,dcrowd,12,288,0.05,8640,96,False,3198,1.46,4.04,0.5138,1.0739,12935.3,0.8395,-31836.7,0.6584,-76608.7,0.5194,-121380.7
