ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym
2023-09-28 13:00:00+00:00,13,2023,8559,13.317352510321452,13.31254937411351,13.33748277241701,XAGUSD
2023-09-28 17:00:00+00:00,17,2023,1852,13.325338137027302,13.325989304732532,13.340448239061338,XAGUSD
2023-10-09 01:00:00+00:00,1,2023,6243,13.748854262145342,13.747024811572308,13.786764705881243,XAGUSD
2023-10-09 09:00:00+00:00,9,2023,1764,13.837638376384287,13.839649879675893,13.859821768904803,XAGUSD
2023-10-09 17:00:00+00:00,17,2023,1574,13.739094600869954,13.745943438633912,13.779798814937823,XAGUSD
2023-10-17 01:00:00+00:00,1,2023,1721,13.325634078087145,13.32619956579195,13.352917612497256,XAGUSD
2023-10-17 05:00:00+00:00,5,2023,1130,13.341041490637961,13.342185128379485,13.353511973649574,XAGUSD
2023-10-17 09:00:00+00:00,9,2023,1689,13.225763787859249,13.231139404295329,13.259082471491906,XAGUSD
2023-10-17 13:00:00+00:00,13,2023,8436,13.198996876237906,13.170898680033051,13.242109909512749,XAGUSD
2023-10-17 17:00:00+00:00,17,2023,1799,13.129677447591202,13.126431368476235,13.155586739167505,XAGUSD
2023-10-26 01:00:00+00:00,1,2023,1511,13.09529006067534,13.096585831607662,13.114754098361152,XAGUSD
2023-10-26 05:00:00+00:00,5,2023,1483,13.051422605064445,13.053417248882948,13.070756361100377,XAGUSD
2023-10-26 09:00:00+00:00,9,2023,1610,12.988137501082836,12.985675808617314,12.996014555536794,XAGUSD
2023-10-26 13:00:00+00:00,13,2023,7827,13.163090693695377,13.158447792688074,13.189712024621295,XAGUSD
2023-10-26 17:00:00+00:00,17,2023,2392,13.168579775015735,13.169691145484693,13.187914597359,XAGUSD
2023-11-03 01:00:00+00:00,1,2023,1452,13.229263130044158,13.227514252869124,13.24327903588822,XAGUSD
2023-11-03 05:00:00+00:00,5,2023,678,13.217605850994024,13.217495463775181,13.224772649513323,XAGUSD
2023-11-03 09:00:00+00:00,9,2023,1385,13.244448368725944,13.243515952788163,13.252054068379534,XAGUSD
2023-11-03 13:00:00+00:00,13,2023,15163,12.968486577616885,12.970822644536725,13.066771200836769,XAGUSD
2023-11-03 17:00:00+00:00,17,2023,1954,12.93661060801966,12.936308397288617,12.946101065894611,XAGUSD
2023-11-14 01:00:00+00:00,1,2023,1785,13.421617752326922,13.419089650894705,13.42918789870199,XAGUSD
2023-11-14 17:00:00+00:00,17,2023,3343,12.992074834351538,12.990626569711376,13.000520020801323,XAGUSD
2023-11-14 21:00:00+00:00,21,2023,500,12.98926220990697,13.112381495088263,12.995451591943311,XAGUSD
2023-11-23 01:00:00+00:00,1,2023,2443,12.675342234240805,12.675913741053982,12.686598722881374,XAGUSD
2023-11-23 09:00:00+00:00,9,2023,2543,12.668918918919399,12.668165835132584,12.674806709198165,XAGUSD
2023-11-23 17:00:00+00:00,17,2023,652,12.656625743577242,12.657033823428574,12.661967669774866,XAGUSD
2023-12-01 01:00:00+00:00,1,2023,3558,11.834786382106252,11.826547068319837,11.847873306740487,XAGUSD
2023-12-01 05:00:00+00:00,5,2023,1615,11.857238844313498,9.857469621913474,11.87037549954542,XAGUSD
