sym,session,cond,n,q1,q5,spread,null_max,beats_null,best_bucket_bps
ETHUSDT,ict,prem_z,1520,4.652798174481867,-12.5736595671432,-17.226457741625065,57.9818769897348,False,4.652798174481867
ETHUSDT,ict,imb_z,805,-5.695352812878623,-4.822552737987321,0.8728000748913018,42.220580640448,False,-4.822552737987321
ETHUSDT,ict,dvol_z,1237,25.750078577580066,-24.12659572246894,-49.876674300049004,41.230134874076185,True,25.750078577580066
ETHUSDT,ict_lat,crowd_z,1270,-16.830141201480533,-15.324985122566973,1.5051560789135596,34.88268453682021,False,9.75539801277458
ETHUSDT,ict_lat,oi_z,1289,-11.22893850742192,-8.616440792332583,2.6124977150893383,57.77261611503975,False,-1.6305159484006049
ETHUSDT,ict_lat,doi_1d,1288,-14.579762709358198,6.03422167419016,20.613984383548356,45.18214985368482,False,16.405992681496578
ETHUSDT,ict_lat,prem_z,1790,11.334727443499318,-15.42527025917228,-26.759997702671598,66.35792482073862,False,11.334727443499318
ETHUSDT,ict_lat,imb_z,947,-31.727335505117058,-24.993066044075697,6.734269461041361,54.2538766913906,False,-2.037156686495185
ETHUSDT,ict_lat,dvol_z,1461,5.5356774961461745,-37.23794413708688,-42.77362163323305,46.4145819018445,False,12.37741318101307
ETHUSDT,utc_day,crowd_z,1594,-15.853268415009584,-27.039096020458995,-11.185827605449411,26.68188615205711,False,2.012686658659528
ETHUSDT,utc_day,oi_z,1615,-4.366716323810591,-9.759821836352,-5.393105512541409,46.40216102062604,False,-2.5024054422167112
ETHUSDT,utc_day,doi_1d,1614,-6.602256415989307,1.7359047503781875,8.338161166367493,34.35808011178676,False,5.492122021094248
ETHUSDT,utc_day,prem_z,2177,0.4978935508607222,-22.21410674293639,-22.712000293797114,33.65336177443801,False,0.4978935508607222
ETHUSDT,utc_day,imb_z,1205,-23.664934495136972,-19.645855311760897,4.019079183376075,37.82633105665971,False,-7.536722777353988
ETHUSDT,utc_day,dvol_z,1808,-8.780673046514252,-36.36456936645156,-27.58389631993731,35.86265327271813,False,7.58077086934564
ETHUSDT,fast,crowd_z,1096,6.878707590754192,-5.636149101105404,-12.514856691859595,36.252768015881195,False,17.537000084778956
ETHUSDT,fast,oi_z,1109,5.692244356061599,-17.4166971345475,-23.1089414906091,31.706826514005215,False,22.812062954093356
ETHUSDT,fast,doi_1d,1109,8.868145931628264,-29.45147467504199,-38.319620606670256,51.51070960733262,False,10.021734867982133
ETHUSDT,fast,prem_z,1568,-14.335880023807073,-7.5436632335348035,6.79221679027227,46.27458002583889,False,4.738496982378367
ETHUSDT,fast,imb_z,831,1.1062674240809385,-22.439051701463043,-23.545319125543983,28.49148921342363,False,1.1062674240809385
ETHUSDT,fast,dvol_z,1270,-5.78547632176504,-12.250176541587807,-6.464700219822768,33.1679485648089,False,17.84830450348652
SOLUSDT,ict,crowd_z,1129,-1.991676513841246,-13.054236610087184,-11.062560096245939,70.426207938728,False,26.029891264977028
SOLUSDT,ict,oi_z,1142,-2.698545055282763,-15.779725340009557,-13.081180284726795,75.86493650389349,False,25.24156744611154
SOLUSDT,ict,doi_1d,1142,-42.35971072742,37.852959462616745,80.21267019003675,87.22648594433468,False,37.852959462616745
SOLUSDT,ict,prem_z,1432,-9.900195204614338,-11.07777037393449,-1.1775751693201517,59.72700590193881,False,43.8795630824823
SOLUSDT,ict,imb_z,834,-39.24038349961591,2.682545212007126,41.92292871162304,68.3785691852474,False,3.330676024326016
SOLUSDT,ict_lat,crowd_z,1244,-40.72964281933931,-6.049525756352201,34.68011706298711,61.554710664915845,False,30.863578296917215
SOLUSDT,ict_lat,oi_z,1259,12.119980940777825,-46.59650948469488,-58.7164904254727,40.32412150876598,True,21.87189100179312
SOLUSDT,ict_lat,doi_1d,1259,-17.881919973006738,-22.178256619347664,-4.296336646340926,43.973642641137715,False,32.008118115622715
SOLUSDT,ict_lat,prem_z,1574,17.379360332100852,19.802513774993674,2.423153442892822,72.87463605384774,False,20.52527974060406
SOLUSDT,ict_lat,imb_z,929,-22.687740001987468,-4.657286637085264,18.030453364902204,76.44347431559626,False,39.0542312014508
SOLUSDT,utc_day,crowd_z,1531,-21.40638787909832,-26.551787849603773,-5.145399970505451,52.489405144586996,False,19.1625179923846
SOLUSDT,utc_day,oi_z,1547,8.459705109752027,-11.934441348817968,-20.394146458569995,49.95068729272999,False,12.449014611101365
SOLUSDT,utc_day,doi_1d,1547,-26.223805862832386,-15.000044827082526,11.22376103574986,65.09947326656423,False,23.29527046215957
SOLUSDT,utc_day,prem_z,1918,35.14655368290443,10.437352676629414,-24.709201006275016,90.6209654425463,False,35.14655368290443
SOLUSDT,utc_day,imb_z,1153,-29.154312420447678,6.069216892635397,35.22352931308308,49.69433856727506,False,17.382781010815986
SOLUSDT,fast,crowd_z,1155,-6.415292916920449,37.994335426202476,44.409628343122925,86.43451618125198,False,37.994335426202476
SOLUSDT,fast,oi_z,1170,31.322199278794923,-2.165171366198032,-33.48737064499296,61.722743137786296,False,31.322199278794923
SOLUSDT,fast,doi_1d,1169,3.3226779238740085,-2.4251117901382946,-5.747789714012303,63.7593883318757,False,25.666340508329796
SOLUSDT,fast,prem_z,1450,-13.545399158540418,-17.264444260608922,-3.7190451020685042,73.63448934023145,False,23.614595500565947
SOLUSDT,fast,imb_z,876,15.882644688930185,43.084566509088695,27.20192182015851,41.584534158080444,False,43.084566509088695
