sym,what,n,mean_bps,median_bps,win,hold_h,net_taker1x,net_taker2x,net_mixed,net_maker2x
ETHUSDT,ict reversal,1528,-8.229315934270792,-0.884757195958822,0.4967277486910995,11.933736910994766,-22.229315934270794,-36.229315934270794,-17.229315934270794,-16.229315934270794
ETHUSDT,ict continuation,300,3.7475084064728312,0.58316993763906,0.5,8.916666666666666,-10.252491593527168,-24.252491593527168,-5.252491593527169,-4.252491593527169
ETHUSDT,ict INVERSE,1528,8.229315934270792,0.884757195958822,0.5019633507853403,11.933736910994766,-5.770684065729208,-19.770684065729206,-0.770684065729208,0.229315934270792
ETHUSDT,ict_lat reversal,1800,-12.530982895086678,-0.8119472888705185,0.49833333333333335,11.419444444444444,-26.53098289508668,-40.53098289508668,-21.53098289508668,-20.53098289508668
ETHUSDT,ict_lat continuation,290,-10.222186723351081,-5.0783048332363485,0.4793103448275862,7.916666666666667,-24.22218672335108,-38.22218672335108,-19.22218672335108,-18.22218672335108
ETHUSDT,ict_lat INVERSE,1800,12.530982895086678,0.8119472888705185,0.5016666666666667,11.419444444444444,-1.4690171049133216,-15.469017104913322,3.5309828950866784,4.530982895086678
ETHUSDT,utc_day reversal,2187,-17.082712109178615,-5.379193280391084,0.48605395518975764,12.627686328303612,-31.082712109178615,-45.082712109178615,-26.082712109178615,-25.082712109178615
ETHUSDT,utc_day continuation,303,-16.643296607595158,-15.731673353254484,0.46204620462046203,7.916666666666667,-30.643296607595158,-44.64329660759516,-25.643296607595158,-24.643296607595158
ETHUSDT,utc_day INVERSE,2187,17.082712109178615,5.379193280391084,0.5134887974394147,12.627686328303612,3.0827121091786154,-10.917287890821385,8.082712109178615,9.082712109178615
ETHUSDT,fast reversal,1576,-5.116106391853734,-0.21348077739005672,0.4993654822335025,10.367544416243655,-19.116106391853734,-33.116106391853734,-14.116106391853734,-13.116106391853734
ETHUSDT,fast continuation,272,-31.87621661292669,-13.800476761848572,0.47058823529411764,7.916666666666667,-45.87621661292669,-59.87621661292669,-40.87621661292669,-39.87621661292669
ETHUSDT,fast INVERSE,1576,5.116106391853734,0.21348077739005672,0.5,10.367544416243655,-8.883893608146266,-22.883893608146266,-3.8838936081462663,-2.8838936081462663
SOLUSDT,ict reversal,1439,12.43689590279538,15.499635302698268,0.5191104933981932,12.025770210794533,-1.5631040972046204,-15.56310409720462,3.4368959027953796,4.43689590279538
SOLUSDT,ict continuation,240,1.1643317810755756,-11.856530252781237,0.4875,8.916666666666666,-12.835668218924425,-26.835668218924425,-7.835668218924424,-6.835668218924424
SOLUSDT,ict INVERSE,1439,-12.43689590279538,-15.499635302698268,0.4794996525364837,12.025770210794533,-26.436895902795378,-40.43689590279538,-21.436895902795378,-20.436895902795378
SOLUSDT,ict_lat reversal,1582,14.568974354948514,16.681667415544513,0.5233881163084703,11.527549515381374,0.568974354948514,-13.431025645051486,5.568974354948514,6.568974354948514
SOLUSDT,ict_lat continuation,226,-3.19524668667063,-19.968701760529548,0.47345132743362833,7.916666666666667,-17.19524668667063,-31.19524668667063,-12.19524668667063,-11.19524668667063
SOLUSDT,ict_lat INVERSE,1582,-14.568974354948514,-16.681667415544513,0.4747155499367889,11.527549515381374,-28.568974354948516,-42.568974354948516,-23.568974354948516,-22.568974354948516
SOLUSDT,utc_day reversal,1926,7.820109104687033,10.656412639694945,0.5129802699896158,12.710886119764623,-6.179890895312967,-20.179890895312965,-1.1798908953129672,-0.1798908953129672
SOLUSDT,utc_day continuation,237,-15.688664995233054,-11.13585746102492,0.4767932489451477,7.916666666666667,-29.688664995233054,-43.688664995233054,-24.688664995233054,-23.688664995233054
SOLUSDT,utc_day INVERSE,1926,-7.820109104687033,-10.656412639694945,0.48650051921079956,12.710886119764623,-21.820109104687035,-35.820109104687035,-16.820109104687035,-15.820109104687033
SOLUSDT,fast reversal,1458,1.2895955015952107,-0.9651013127756253,0.49588477366255146,10.425411522633745,-12.71040449840479,-26.710404498404788,-7.710404498404789,-6.710404498404789
SOLUSDT,fast continuation,293,34.46664413458015,22.797371597157262,0.5460750853242321,7.916666666666667,20.46664413458015,6.46664413458015,25.46664413458015,26.46664413458015
