symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
GBPUSD,1h,30,1,7,2,69,0.783,0.643,0.112,-6.44
GBPUSD,5m,100,10,7,3,1993,0.78,0.6,3.138,-27.71
GBPUSD,5m,30,10,7,2,905,0.78,0.629,1.423,-15.33
USDCAD,1h,100,10,7,1,1829,0.778,0.593,2.891,-21.37
EURUSD,5m,100,10,7,0,2382,0.777,0.627,3.758,-33.45
USDCHF,3m,100,10,7,3,2342,0.777,0.581,3.686,-51.83
BTCUSDT,1h,100,10,7,1,2373,0.774,0.591,3.743,-24.2
AUDUSD,1h,100,1,7,2,229,0.761,0.647,0.361,-15.94
NZDUSD,15m,100,1,7,2,179,0.761,0.585,0.283,-20.86
GBPUSD,30m,30,1,7,2,78,0.76,0.653,0.127,-7.69
USDJPY,30m,30,1,7,2,60,0.759,0.657,0.099,-8.35
EURUSD,30m,100,1,7,2,224,0.759,0.628,0.354,-36.26
AUDUSD,4h,30,10,7,2,719,0.758,0.661,1.133,-3.88
EURUSD,30m,100,10,7,1,2303,0.758,0.617,3.623,-31.81
USDCHF,1h,100,10,7,2,1935,0.756,0.614,3.048,-24.21
USDCHF,15m,100,10,7,1,2080,0.752,0.602,3.281,-27.92
AUDUSD,5m,100,10,7,2,2510,0.751,0.587,3.963,-44.64
USDCAD,5m,30,10,7,3,619,0.75,0.546,0.983,-17.57
BTCUSDT,15m,30,1,7,2,65,0.75,0.634,0.104,-9.08
AUDUSD,30m,30,10,7,3,796,0.748,0.65,1.253,-7.56
USDCAD,15m,100,10,7,0,2086,0.744,0.545,3.297,-35.02
EURUSD,30m,30,1,7,2,50,0.742,0.646,0.082,-6.75
AUDUSD,15m,100,1,7,3,194,0.741,0.593,0.307,-30.13
AUDUSD,3m,100,10,7,1,2540,0.739,0.557,3.988,-69.02
BTCUSDT,15m,100,10,7,1,2794,0.738,0.579,4.397,-40.12
AUDUSD,30m,100,1,7,2,259,0.732,0.621,0.408,-28.16
USDJPY,15m,30,10,7,3,939,0.731,0.629,1.492,-15.36
GBPUSD,15m,30,1,7,3,67,0.728,0.633,0.109,-15.15
USDCHF,5m,30,10,7,2,874,0.727,0.598,1.384,-18.6
NZDUSD,1h,100,10,7,0,2033,0.723,0.576,3.225,-25.63
BTCUSDT,30m,30,1,7,2,68,0.723,0.588,0.108,-5.4
GBPUSD,15m,30,10,7,1,691,0.722,0.616,1.093,-12.5
GBPUSD,30m,30,10,7,0,750,0.721,0.612,1.182,-11.45
USDCAD,5m,100,10,7,0,2783,0.72,0.533,4.389,-56.81
NZDUSD,15m,30,1,7,1,63,0.719,0.58,0.101,-11.96
NZDUSD,30m,30,10,7,2,668,0.719,0.578,1.065,-8.0
NZDUSD,15m,100,10,7,0,1938,0.719,0.545,3.053,-27.7
EURUSD,5m,30,10,7,1,827,0.717,0.594,1.325,-17.12
XAUUSD,3m,30,10,7,1,938,0.716,0.58,1.486,-24.72
USDCHF,4h,100,1,1,0,16,0.703,0.642,0.179,-1.81
BTCUSDT,30m,30,10,7,1,708,0.698,0.541,1.124,-8.85
GBPUSD,3m,100,10,7,0,2068,0.692,0.55,3.256,-50.45
USDCAD,4h,30,1,7,2,54,0.69,0.521,0.088,-4.62
NZDUSD,30m,100,10,7,0,2540,0.69,0.534,4.021,-43.64
USDJPY,30m,100,1,7,1,185,0.69,0.579,0.292,-22.01
USDCHF,3m,100,1,7,3,207,0.686,0.504,0.328,-71.72
EURUSD,1h,100,1,7,1,233,0.685,0.514,0.368,-29.38
USDCHF,15m,100,1,7,1,205,0.684,0.547,0.326,-39.35
USDCHF,4h,100,10,1,0,160,0.682,0.592,1.781,-1.92
BTCUSDT,30m,100,1,7,2,183,0.672,0.548,0.294,-41.48
BTCUSDT,1h,100,1,7,1,228,0.67,0.529,0.36,-37.62
USDJPY,1h,30,10,7,3,693,0.662,0.598,1.104,-10.46
NZDUSD,30m,100,1,7,1,194,0.638,0.49,0.308,-35.82
EURUSD,3m,30,10,7,1,899,0.636,0.504,1.421,-22.01
GBPUSD,3m,30,10,7,1,771,0.634,0.509,1.216,-22.28
USDCHF,3m,30,10,7,2,1076,0.627,0.473,1.71,-43.41
AUDUSD,3m,30,10,7,2,872,0.623,0.478,1.549,-20.7
USDJPY,15m,30,1,7,2,79,0.605,0.519,0.13,-20.64
BTCUSDT,4h,30,10,7,1,594,0.603,0.445,0.943,-4.89
NZDUSD,5m,100,10,7,0,2430,0.603,0.469,3.821,-73.19
USDCAD,3m,100,10,7,0,2354,0.602,0.456,3.716,-71.19
USDCHF,3m,30,1,7,2,86,0.596,0.457,0.137,-32.28
AUDUSD,3m,100,1,7,1,307,0.591,0.44,0.484,-142.53
AUDUSD,30m,30,1,7,3,84,0.582,0.506,0.132,-12.51
EURUSD,15m,100,1,7,0,192,0.58,0.482,0.303,-41.67
USDCAD,5m,30,1,7,3,45,0.566,0.408,0.072,-24.47
AUDUSD,15m,30,1,7,2,81,0.566,0.46,0.13,-22.52
USDCAD,3m,100,1,7,1,199,0.562,0.44,0.317,-70.61
NZDUSD,3m,100,10,7,1,2199,0.555,0.4,3.453,-97.64
USDCHF,5m,30,1,7,1,79,0.552,0.458,0.13,-27.73
XAUUSD,3m,30,1,7,3,76,0.543,0.421,0.12,-37.15
BTCUSDT,1h,30,10,7,1,689,0.54,0.423,1.103,-9.35
USDCAD,4h,30,10,7,0,556,0.529,0.402,0.902,-7.55
USDCHF,1h,100,1,7,2,171,0.522,0.403,0.27,-29.57
USDCAD,3m,30,1,7,2,54,0.509,0.383,0.086,-21.36
USDJPY,1h,100,1,7,0,191,0.504,0.406,0.302,-33.78
AUDUSD,3m,30,1,7,3,76,0.497,0.403,0.135,-20.04
NZDUSD,5m,30,10,7,1,549,0.496,0.396,0.88,-22.37
NZDUSD,3m,100,1,7,1,174,0.491,0.341,0.278,-89.51
GBPUSD,5m,30,1,7,1,84,0.477,0.388,0.132,-41.67
NZDUSD,5m,100,1,7,2,270,0.429,0.316,0.428,-147.84
BTCUSDT,4h,30,1,6,1,61,0.371,0.266,0.132,-14.81
NZDUSD,3m,30,1,7,3,41,0.363,0.261,0.066,-22.68
NZDUSD,5m,30,1,7,2,54,0.356,0.277,0.087,-27.17
EURUSD,3m,30,1,7,2,82,0.339,0.254,0.13,-35.2
NZDUSD,3m,30,10,7,0,602,0.337,0.251,0.95,-40.19
BTCUSDT,1h,30,1,7,2,75,0.308,0.244,0.123,-17.58
EURUSD,5m,30,1,7,0,97,0.276,0.204,0.158,-55.01
