symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
EURUSD,15m,100,10,7,0,3008,0.69,0.585,4.759,-38.76
USDCHF,15m,100,10,7,1,2430,0.689,0.567,3.817,-46.66
EURUSD,15m,30,10,7,1,770,0.687,0.573,1.211,-13.79
EURUSD,1h,100,10,7,0,1985,0.683,0.574,3.128,-26.91
USDJPY,1h,100,1,7,2,225,0.683,0.604,0.356,-29.5
USDCHF,5m,30,10,7,3,850,0.68,0.515,1.346,-26.58
NZDUSD,15m,100,10,7,1,2320,0.679,0.527,3.644,-29.2
USDCAD,5m,100,10,7,1,2407,0.677,0.499,3.793,-62.98
USDCAD,30m,100,10,7,1,2216,0.676,0.52,3.482,-31.49
AUDUSD,15m,30,10,7,1,867,0.675,0.557,1.37,-13.07
AUDUSD,5m,100,10,7,1,2303,0.674,0.545,3.612,-58.93
USDJPY,15m,30,10,7,1,694,0.668,0.521,1.107,-10.74
USDCHF,4h,30,10,7,1,712,0.666,0.556,1.123,-4.8
USDJPY,5m,30,10,7,1,680,0.66,0.551,1.075,-22.37
NZDUSD,15m,30,10,7,1,916,0.657,0.477,1.443,-14.2
USDCHF,3m,100,10,7,1,2803,0.655,0.466,4.417,-56.89
BTCUSDT,30m,100,1,7,1,230,0.649,0.574,0.365,-41.1
USDCAD,30m,30,10,7,0,583,0.644,0.504,0.923,-14.28
EURUSD,3m,30,1,7,3,66,0.641,0.524,0.106,-20.35
EURUSD,5m,100,1,7,1,190,0.638,0.521,0.298,-44.2
USDCAD,1h,100,10,7,1,2100,0.635,0.499,3.316,-35.07
NZDUSD,30m,100,1,7,1,187,0.632,0.521,0.296,-44.03
EURUSD,5m,100,10,7,1,2227,0.618,0.498,3.491,-56.21
NZDUSD,5m,100,1,7,2,183,0.614,0.495,0.291,-67.06
XAUUSD,1h,100,1,7,3,204,0.603,0.536,0.321,-34.44
BTCUSDT,15m,100,1,7,3,249,0.602,0.506,0.392,-66.48
GBPUSD,5m,30,10,7,0,985,0.601,0.48,1.566,-33.72
NZDUSD,5m,30,10,7,1,710,0.598,0.442,1.123,-21.58
USDCAD,1h,30,10,7,0,626,0.594,0.497,1.013,-11.74
EURUSD,5m,30,10,7,1,608,0.588,0.454,0.955,-15.43
USDCAD,3m,30,10,7,1,715,0.584,0.422,1.14,-23.07
USDCHF,3m,100,1,7,2,241,0.577,0.414,0.386,-69.62
NZDUSD,15m,30,1,7,1,79,0.574,0.413,0.125,-15.51
USDCAD,3m,100,10,7,0,2395,0.572,0.418,3.759,-97.15
EURUSD,5m,30,1,7,2,67,0.571,0.434,0.106,-9.87
GBPUSD,5m,30,1,7,2,93,0.57,0.457,0.153,-38.51
USDJPY,5m,100,1,7,0,238,0.57,0.49,0.376,-83.13
EURUSD,1h,100,1,7,2,180,0.57,0.485,0.286,-30.94
AUDUSD,3m,100,10,7,1,2668,0.564,0.442,4.185,-90.85
USDJPY,15m,100,10,7,1,2447,0.561,0.461,3.86,-49.73
USDCHF,3m,30,1,7,3,77,0.558,0.431,0.123,-19.43
EURUSD,15m,30,1,7,0,82,0.555,0.484,0.133,-16.97
EURUSD,4h,30,10,7,0,726,0.549,0.48,1.161,-6.25
EURUSD,30m,30,10,7,1,736,0.54,0.451,1.172,-17.59
AUDUSD,30m,30,1,7,1,72,0.539,0.45,0.114,-15.74
GBPUSD,3m,30,10,7,1,686,0.538,0.401,1.088,-30.3
USDJPY,5m,30,1,7,2,67,0.535,0.468,0.108,-27.71
BTCUSDT,15m,30,1,7,1,67,0.535,0.426,0.105,-17.76
USDCAD,5m,100,1,7,3,245,0.524,0.387,0.386,-102.12
BTCUSDT,30m,30,10,7,0,911,0.518,0.442,1.447,-24.09
USDCHF,4h,30,1,7,1,69,0.518,0.443,0.109,-5.32
AUDUSD,1h,30,1,7,2,64,0.516,0.469,0.109,-9.76
USDCHF,15m,30,1,7,2,65,0.514,0.425,0.107,-24.48
USDCAD,1h,30,1,7,2,43,0.503,0.451,0.07,-10.69
EURUSD,30m,30,1,7,2,62,0.503,0.44,0.1,-20.04
XAUUSD,30m,30,1,7,4,60,0.503,0.428,0.097,-18.22
USDCHF,1h,30,1,7,2,67,0.485,0.398,0.108,-10.35
XAUUSD,3m,30,1,7,2,75,0.483,0.367,0.12,-46.62
BTCUSDT,1h,30,1,7,1,65,0.481,0.42,0.102,-13.96
USDCAD,15m,30,10,7,2,863,0.477,0.346,1.354,-31.27
EURUSD,3m,30,10,7,0,757,0.476,0.381,1.216,-32.47
XAUUSD,15m,100,1,7,1,209,0.472,0.39,0.329,-80.0
USDCHF,15m,30,10,7,0,710,0.463,0.372,1.117,-29.93
XAUUSD,5m,30,10,7,1,771,0.456,0.37,1.245,-40.66
AUDUSD,3m,30,10,7,0,604,0.455,0.358,0.969,-30.15
USDJPY,15m,30,1,7,1,67,0.437,0.353,0.112,-19.76
USDCHF,3m,30,10,7,1,954,0.433,0.323,1.518,-33.91
XAUUSD,30m,30,10,7,2,668,0.432,0.357,1.08,-24.6
USDCHF,5m,30,1,7,0,71,0.405,0.31,0.113,-33.94
BTCUSDT,30m,30,1,7,0,87,0.402,0.342,0.138,-28.46
AUDUSD,5m,100,1,7,0,231,0.392,0.303,0.369,-125.51
XAUUSD,5m,100,1,7,1,222,0.387,0.307,0.351,-99.71
AUDUSD,3m,100,1,7,1,201,0.384,0.289,0.317,-108.03
GBPUSD,3m,30,1,7,1,58,0.381,0.292,0.095,-44.68
USDCHF,5m,100,1,7,1,215,0.378,0.283,0.341,-160.89
USDCAD,30m,100,1,7,0,224,0.368,0.259,0.356,-65.76
USDJPY,15m,100,1,7,1,223,0.366,0.3,0.353,-94.32
USDCAD,3m,100,1,7,0,206,0.33,0.242,0.325,-157.37
USDCAD,15m,30,1,7,1,71,0.264,0.183,0.115,-39.71
XAUUSD,5m,30,1,7,0,83,0.117,0.089,0.137,-85.13
