symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
USDCHF,15m,30,10,7,2,725,0.799,0.64,1.142,-9.93
BTCUSDT,4h,100,1,2,1,44,0.799,0.61,0.163,-1.1
USDCHF,5m,100,1,7,3,242,0.798,0.615,0.381,-33.77
BTCUSDT,1h,30,1,7,3,65,0.797,0.66,0.106,-2.83
GBPUSD,1h,30,10,7,2,593,0.789,0.677,0.944,-3.81
USDJPY,5m,100,10,7,3,2540,0.783,0.64,4.005,-39.78
BTCUSDT,1h,100,1,7,3,214,0.779,0.647,0.337,-12.54
USDCAD,4h,30,10,7,3,417,0.767,0.637,0.661,-3.64
USDJPY,30m,100,1,7,3,243,0.766,0.66,0.382,-30.28
USDCAD,15m,30,1,7,2,102,0.766,0.645,0.169,-16.84
USDJPY,4h,100,1,3,2,60,0.766,0.696,0.273,-4.46
BTCUSDT,15m,100,10,7,2,2833,0.766,0.621,4.461,-31.71
XAUUSD,1h,30,1,7,3,93,0.762,0.654,0.15,-4.72
NZDUSD,5m,30,10,7,3,704,0.762,0.612,1.113,-13.51
EURUSD,3m,30,1,7,2,78,0.762,0.639,0.128,-15.78
EURUSD,15m,30,10,7,2,712,0.761,0.622,1.131,-10.07
GBPUSD,1h,100,10,7,2,2398,0.758,0.617,3.766,-16.8
NZDUSD,1h,100,1,7,1,170,0.757,0.666,0.267,-14.17
NZDUSD,5m,100,1,7,1,198,0.755,0.631,0.314,-38.19
USDCAD,3m,30,10,7,2,731,0.746,0.567,1.176,-16.64
USDJPY,1h,30,10,7,1,660,0.739,0.664,1.067,-6.0
USDCHF,30m,100,1,7,1,191,0.739,0.649,0.3,-19.51
GBPUSD,30m,100,10,7,0,2264,0.738,0.597,3.549,-29.75
NZDUSD,3m,100,10,7,1,2457,0.734,0.563,3.865,-50.83
XAUUSD,1h,30,10,7,3,944,0.728,0.62,1.491,-5.42
BTCUSDT,4h,30,1,7,5,64,0.727,0.634,0.104,-5.24
USDCHF,3m,100,10,7,1,2618,0.724,0.506,4.132,-71.05
USDCAD,30m,30,10,7,1,902,0.723,0.578,1.416,-16.77
EURUSD,15m,30,1,7,3,66,0.721,0.56,0.112,-11.65
XAUUSD,30m,30,1,7,1,67,0.715,0.622,0.112,-17.3
EURUSD,30m,100,10,7,1,2694,0.711,0.59,4.228,-35.57
USDCHF,15m,100,1,7,1,221,0.711,0.581,0.349,-35.92
USDCHF,30m,30,10,7,3,718,0.709,0.591,1.128,-10.86
USDCAD,30m,100,10,7,1,2195,0.709,0.555,3.441,-23.86
AUDUSD,5m,100,1,7,1,211,0.708,0.603,0.332,-37.47
USDCAD,5m,100,10,7,1,2387,0.705,0.52,3.749,-56.34
GBPUSD,4h,30,10,7,2,708,0.704,0.607,1.124,-3.32
BTCUSDT,15m,100,1,7,1,290,0.703,0.576,0.459,-37.83
AUDUSD,1h,30,1,7,3,59,0.703,0.616,0.095,-6.28
XAUUSD,30m,30,10,7,1,755,0.701,0.598,1.194,-12.83
NZDUSD,5m,100,10,7,1,2347,0.701,0.564,3.696,-53.62
USDCHF,30m,100,10,7,0,1991,0.701,0.58,3.127,-32.75
AUDUSD,5m,100,10,7,0,2544,0.701,0.566,3.988,-46.72
GBPUSD,30m,30,10,7,3,649,0.698,0.584,1.025,-8.4
USDCAD,5m,100,1,7,2,246,0.698,0.524,0.387,-70.63
USDCAD,3m,100,10,7,3,2402,0.697,0.521,3.766,-54.87
USDCAD,1h,100,10,7,1,1665,0.697,0.521,2.626,-14.94
AUDUSD,3m,30,1,7,2,62,0.694,0.519,0.098,-23.15
AUDUSD,5m,30,1,7,1,69,0.679,0.533,0.11,-12.64
AUDUSD,15m,30,1,7,2,61,0.67,0.528,0.097,-12.46
EURUSD,1h,30,1,7,2,71,0.662,0.568,0.117,-11.1
USDCHF,15m,100,10,7,1,2248,0.662,0.51,3.533,-54.31
USDCAD,30m,100,1,7,0,202,0.659,0.505,0.317,-22.46
XAUUSD,3m,100,1,7,2,290,0.655,0.491,0.456,-113.56
BTCUSDT,30m,30,10,7,1,787,0.649,0.541,1.243,-15.52
XAUUSD,30m,100,10,7,0,2075,0.646,0.536,3.272,-38.14
NZDUSD,1h,100,10,7,0,1843,0.643,0.538,2.892,-29.95
NZDUSD,3m,30,10,7,3,704,0.642,0.489,1.135,-25.26
BTCUSDT,30m,100,10,7,1,2079,0.636,0.517,3.284,-41.67
GBPUSD,5m,100,1,7,2,227,0.635,0.514,0.36,-51.44
NZDUSD,5m,30,1,7,3,67,0.634,0.529,0.108,-17.82
USDCAD,4h,30,1,6,2,33,0.631,0.535,0.055,-5.36
AUDUSD,3m,30,10,7,2,602,0.628,0.48,0.953,-25.96
USDJPY,15m,30,10,7,3,698,0.607,0.505,1.103,-19.03
USDCHF,5m,30,1,7,4,59,0.607,0.468,0.096,-18.52
NZDUSD,15m,30,10,7,3,784,0.606,0.473,1.254,-16.72
USDJPY,15m,30,1,7,4,87,0.596,0.504,0.14,-25.43
USDCAD,1h,30,10,7,0,611,0.591,0.488,0.984,-9.37
USDJPY,5m,30,1,7,1,59,0.583,0.449,0.097,-18.22
USDCHF,30m,30,1,7,3,61,0.581,0.498,0.098,-19.61
AUDUSD,3m,100,1,7,0,284,0.581,0.459,0.447,-124.9
USDJPY,5m,30,10,7,2,619,0.58,0.451,0.978,-25.84
AUDUSD,1h,100,10,7,0,2240,0.579,0.503,3.526,-35.57
AUDUSD,5m,30,10,7,1,787,0.568,0.418,1.244,-17.51
USDCHF,3m,30,10,7,0,650,0.545,0.385,1.038,-22.24
USDCHF,4h,30,1,7,1,88,0.542,0.47,0.139,-12.98
GBPUSD,4h,30,1,7,1,76,0.527,0.424,0.134,-6.83
GBPUSD,1h,100,1,7,3,228,0.519,0.392,0.361,-25.83
XAUUSD,4h,30,1,6,1,55,0.503,0.468,0.104,-8.21
BTCUSDT,30m,30,1,7,3,85,0.503,0.41,0.134,-27.35
USDJPY,4h,30,10,7,0,586,0.495,0.442,0.963,-7.07
AUDUSD,30m,30,10,7,0,623,0.494,0.412,0.99,-16.9
XAUUSD,30m,100,1,7,1,213,0.479,0.392,0.336,-55.95
USDJPY,5m,100,1,7,3,248,0.477,0.385,0.392,-125.65
USDCHF,3m,30,1,7,1,72,0.406,0.29,0.12,-32.07
NZDUSD,30m,30,10,7,1,645,0.4,0.329,1.017,-26.28
AUDUSD,1h,100,1,7,1,212,0.391,0.35,0.335,-45.3
GBPUSD,30m,30,1,7,1,59,0.353,0.28,0.094,-15.85
USDCAD,1h,30,1,7,0,56,0.327,0.267,0.09,-14.86
NZDUSD,15m,30,1,7,2,92,0.315,0.24,0.148,-45.26
AUDUSD,30m,30,1,7,1,63,0.217,0.172,0.102,-24.82
NZDUSD,30m,30,1,7,1,61,0.207,0.171,0.096,-33.15
