symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
USDCHF,3m,100,10,7,2,2435,0.722,0.541,3.829,-65.74
EURUSD,30m,100,10,7,0,2625,0.716,0.584,4.119,-34.99
AUDUSD,30m,30,10,7,1,708,0.714,0.617,1.118,-11.14
USDJPY,30m,100,1,7,2,197,0.712,0.636,0.311,-22.18
NZDUSD,30m,100,10,7,1,2092,0.712,0.578,3.322,-36.73
XAUUSD,30m,30,1,7,3,65,0.71,0.617,0.11,-8.84
NZDUSD,4h,30,10,7,1,583,0.709,0.624,0.917,-5.52
EURUSD,5m,100,10,7,2,2676,0.705,0.555,4.204,-68.96
USDJPY,3m,30,10,7,3,656,0.704,0.557,1.037,-17.47
USDCAD,30m,100,10,7,1,1962,0.7,0.515,3.079,-27.26
BTCUSDT,15m,100,10,7,2,2277,0.7,0.563,3.581,-41.38
USDJPY,4h,30,10,7,2,680,0.698,0.631,1.073,-6.42
NZDUSD,3m,100,10,7,0,3047,0.697,0.553,4.785,-71.43
USDJPY,15m,30,10,7,3,710,0.692,0.571,1.132,-11.95
AUDUSD,3m,100,1,7,1,217,0.687,0.557,0.341,-53.37
USDCHF,1h,30,1,7,4,50,0.684,0.587,0.08,-5.03
EURUSD,3m,100,10,7,0,2262,0.683,0.547,3.561,-58.57
USDCHF,3m,100,1,7,3,213,0.679,0.494,0.336,-80.06
GBPUSD,5m,100,10,7,1,2590,0.678,0.553,4.06,-60.48
USDCHF,1h,100,10,7,0,1989,0.676,0.567,3.128,-17.65
AUDUSD,15m,30,1,7,3,46,0.674,0.544,0.08,-5.89
USDCAD,15m,100,10,7,0,2350,0.672,0.513,3.684,-55.6
USDCAD,3m,100,10,7,0,2610,0.672,0.49,4.095,-75.47
USDJPY,30m,30,10,7,2,655,0.663,0.576,1.032,-11.2
USDCAD,15m,100,1,7,1,219,0.662,0.507,0.344,-58.1
NZDUSD,5m,100,1,7,3,243,0.661,0.476,0.382,-48.33
BTCUSDT,30m,30,10,7,0,620,0.66,0.545,0.979,-10.14
XAUUSD,30m,30,10,7,3,675,0.652,0.566,1.105,-11.85
AUDUSD,5m,100,10,7,1,3678,0.645,0.523,5.773,-72.38
XAUUSD,1h,100,1,7,1,236,0.645,0.543,0.371,-35.85
AUDUSD,4h,30,10,7,3,648,0.641,0.578,1.059,-5.38
BTCUSDT,30m,100,10,7,1,1992,0.635,0.521,3.125,-33.49
XAUUSD,3m,100,10,7,1,2625,0.635,0.496,4.164,-98.96
BTCUSDT,30m,100,1,7,1,197,0.629,0.516,0.315,-29.74
GBPUSD,5m,30,10,7,1,764,0.626,0.508,1.201,-22.87
USDCHF,1h,100,1,7,0,198,0.624,0.512,0.313,-13.97
AUDUSD,1h,100,1,7,1,200,0.619,0.533,0.318,-35.25
XAUUSD,30m,100,1,7,3,244,0.617,0.547,0.386,-36.32
NZDUSD,30m,30,1,7,2,68,0.613,0.534,0.108,-10.85
EURUSD,30m,30,10,7,2,644,0.608,0.495,1.011,-11.66
USDCHF,30m,100,1,7,1,204,0.607,0.501,0.322,-51.82
BTCUSDT,1h,30,1,7,3,76,0.604,0.476,0.123,-8.09
USDCHF,5m,30,10,7,2,1003,0.594,0.462,1.575,-37.85
GBPUSD,15m,100,1,7,1,274,0.592,0.493,0.432,-57.71
NZDUSD,5m,30,1,7,2,51,0.586,0.313,0.081,-9.25
NZDUSD,1h,30,10,7,0,617,0.584,0.511,1.001,-11.03
