symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,tpd,total_r
AUDUSD,4h,30,10,7,4,658,1.0,0.904,1.034,0.01
BTCUSDT,4h,100,10,5,3,957,0.991,0.796,2.172,-0.16
XAUUSD,30m,100,10,7,3,2274,0.986,0.868,3.6,-1.41
USDJPY,1h,30,1,7,4,71,0.98,0.85,0.117,-0.42
EURUSD,5m,100,10,7,2,2257,0.979,0.763,3.538,-3.3
USDJPY,15m,100,10,7,2,2104,0.964,0.794,3.311,-5.71
XAUUSD,1h,100,1,7,3,170,0.959,0.843,0.271,-1.31
NZDUSD,4h,100,10,1,0,190,0.936,0.844,2.127,-0.33
NZDUSD,1h,100,10,7,3,2448,0.932,0.779,3.839,-4.33
AUDUSD,30m,100,1,7,3,223,0.916,0.765,0.354,-6.34
EURUSD,30m,30,10,7,2,669,0.909,0.767,1.062,-1.6
BTCUSDT,15m,30,1,7,2,73,0.908,0.721,0.116,-4.07
AUDUSD,15m,100,1,7,3,213,0.907,0.838,0.334,-11.8
AUDUSD,15m,100,10,7,1,2589,0.9,0.786,4.059,-13.59
USDCHF,1h,30,1,7,3,49,0.897,0.767,0.083,-1.0
EURUSD,4h,100,1,1,0,20,0.896,0.841,0.273,-0.38
XAUUSD,3m,30,1,7,3,67,0.89,0.705,0.111,-8.62
USDCAD,3m,30,1,7,3,51,0.889,0.673,0.084,-5.3
EURUSD,3m,100,10,7,3,2511,0.88,0.7,3.938,-30.12
GBPUSD,15m,30,1,7,2,55,0.879,0.679,0.091,-4.43
USDCHF,1h,100,10,7,2,2031,0.875,0.74,3.266,-8.09
USDJPY,15m,30,1,7,3,61,0.865,0.714,0.098,-4.66
BTCUSDT,1h,30,10,7,3,551,0.862,0.737,0.885,-2.23
EURUSD,30m,100,1,7,4,202,0.857,0.657,0.325,-13.82
EURUSD,30m,100,10,7,3,2079,0.856,0.684,3.264,-18.87
GBPUSD,30m,100,10,7,2,2654,0.854,0.723,4.191,-18.79
GBPUSD,30m,100,1,7,3,257,0.853,0.734,0.408,-17.77
AUDUSD,30m,100,10,7,4,2192,0.852,0.701,3.45,-10.69
NZDUSD,5m,100,10,7,4,2374,0.846,0.633,3.722,-18.9
BTCUSDT,15m,100,10,7,1,2615,0.842,0.707,4.108,-23.1
EURUSD,3m,30,10,7,2,933,0.841,0.672,1.475,-10.86
BTCUSDT,15m,100,1,7,3,219,0.839,0.721,0.35,-22.98
BTCUSDT,4h,30,10,7,2,804,0.839,0.697,1.288,-2.38
USDJPY,1h,30,10,7,3,709,0.837,0.719,1.119,-3.93
BTCUSDT,30m,30,10,7,2,568,0.836,0.644,0.897,-3.21
BTCUSDT,15m,30,10,7,2,932,0.833,0.674,1.465,-11.79
GBPUSD,4h,30,1,7,4,63,0.832,0.784,0.102,-3.98
NZDUSD,3m,100,10,7,1,2582,0.83,0.676,4.047,-33.2
NZDUSD,1h,100,1,7,3,250,0.828,0.704,0.392,-10.37
EURUSD,1h,100,10,7,3,1950,0.817,0.669,3.066,-10.46
XAUUSD,15m,100,10,7,1,2572,0.813,0.679,4.047,-33.06
USDJPY,1h,100,10,7,2,2011,0.811,0.713,3.177,-10.97
USDCHF,4h,30,1,7,3,63,0.805,0.726,0.102,-2.4
NZDUSD,3m,100,1,7,1,322,0.8,0.662,0.505,-52.92
USDJPY,4h,100,1,1,0,21,0.797,0.755,0.246,-0.57
NZDUSD,1h,30,1,7,2,67,0.797,0.675,0.108,-2.94
BTCUSDT,4h,30,1,7,2,83,0.795,0.692,0.134,-3.53
USDCHF,15m,30,10,7,2,621,0.795,0.644,0.981,-9.61
XAUUSD,1h,100,10,7,2,1803,0.794,0.697,2.867,-15.05
BTCUSDT,1h,100,1,7,2,191,0.791,0.65,0.308,-14.15
GBPUSD,1h,100,10,7,1,2012,0.788,0.687,3.159,-17.23
NZDUSD,1h,30,10,7,2,621,0.786,0.655,0.979,-3.13
GBPUSD,30m,30,10,7,2,867,0.785,0.676,1.369,-9.44
USDCAD,3m,30,10,7,2,687,0.781,0.582,1.1,-13.78
XAUUSD,15m,30,1,7,5,58,0.776,0.615,0.096,-2.35
EURUSD,4h,30,1,5,2,59,0.773,0.711,0.131,-1.87
USDJPY,4h,30,10,7,2,671,0.771,0.714,1.074,-4.24
NZDUSD,5m,100,1,7,4,214,0.769,0.573,0.346,-25.49
BTCUSDT,1h,100,10,7,1,1904,0.769,0.642,2.989,-15.42
BTCUSDT,30m,30,1,7,4,50,0.769,0.585,0.08,-4.85
USDCHF,15m,100,1,7,1,252,0.768,0.667,0.398,-35.7
USDJPY,4h,30,1,7,2,65,0.765,0.736,0.105,-4.98
AUDUSD,3m,30,1,7,2,77,0.761,0.659,0.122,-12.94
AUDUSD,1h,100,1,7,2,208,0.755,0.642,0.328,-26.95
NZDUSD,15m,100,10,7,1,2224,0.753,0.581,3.506,-27.21
USDCHF,15m,100,10,7,1,2683,0.751,0.619,4.214,-35.52
AUDUSD,1h,100,10,7,2,2000,0.746,0.638,3.145,-23.33
USDCAD,30m,100,10,7,1,1980,0.745,0.594,3.118,-28.98
BTCUSDT,30m,100,10,7,0,2483,0.74,0.611,3.899,-30.87
NZDUSD,3m,30,1,7,2,59,0.736,0.555,0.103,-14.94
USDCAD,30m,30,10,7,2,1069,0.734,0.598,1.692,-14.76
USDCAD,30m,30,1,7,2,79,0.733,0.592,0.127,-10.88
USDCAD,5m,100,1,7,0,282,0.731,0.565,0.443,-55.07
GBPUSD,30m,30,1,7,1,75,0.725,0.617,0.119,-9.91
USDCAD,15m,30,1,7,2,63,0.724,0.533,0.103,-9.59
USDJPY,5m,100,1,7,3,264,0.724,0.58,0.418,-52.73
USDCAD,4h,30,1,7,2,62,0.723,0.541,0.099,-3.51
USDJPY,30m,100,10,7,0,2047,0.722,0.63,3.223,-33.3
USDCAD,5m,100,10,7,0,2781,0.72,0.559,4.367,-57.28
GBPUSD,15m,30,10,7,1,634,0.717,0.589,0.995,-11.55
EURUSD,5m,30,10,7,2,691,0.717,0.575,1.114,-16.23
USDCAD,15m,100,1,7,1,238,0.713,0.567,0.376,-53.5
USDCHF,30m,100,10,7,1,2825,0.711,0.6,4.45,-35.55
XAUUSD,5m,100,10,7,2,3080,0.711,0.563,4.843,-84.95
USDCAD,5m,30,10,7,2,877,0.705,0.523,1.399,-19.14
USDCHF,30m,100,1,7,3,280,0.705,0.59,0.442,-32.77
USDJPY,3m,100,10,7,1,2521,0.702,0.559,3.963,-63.78
GBPUSD,15m,100,10,7,1,2386,0.699,0.577,3.742,-43.33
USDCAD,3m,100,10,7,1,2387,0.697,0.485,3.759,-56.2
AUDUSD,3m,100,10,7,0,3281,0.696,0.554,5.186,-71.1
USDCAD,15m,100,10,7,1,2211,0.696,0.551,3.469,-44.35
USDJPY,30m,100,1,7,0,195,0.695,0.608,0.31,-39.59
USDJPY,5m,100,10,7,1,2576,0.695,0.562,4.047,-51.29
BTCUSDT,1h,30,1,7,3,53,0.688,0.623,0.092,-6.03
AUDUSD,3m,30,10,7,1,835,0.684,0.549,1.31,-21.4
USDJPY,3m,100,1,7,1,246,0.683,0.544,0.388,-67.09
USDCAD,15m,30,10,7,2,738,0.682,0.523,1.163,-16.56
GBPUSD,1h,100,1,7,1,197,0.681,0.594,0.309,-23.92
NZDUSD,30m,100,10,7,2,1873,0.677,0.551,2.944,-37.12
XAUUSD,5m,100,1,7,2,278,0.676,0.531,0.438,-107.24
USDCHF,5m,100,1,7,1,259,0.674,0.551,0.408,-71.55
AUDUSD,3m,100,1,7,1,324,0.668,0.525,0.517,-100.13
XAUUSD,4h,30,10,7,2,655,0.662,0.613,1.043,-6.64
USDCAD,1h,100,10,7,1,2042,0.655,0.517,3.214,-27.43
USDCHF,5m,100,10,7,1,2758,0.644,0.495,4.334,-71.63
EURUSD,1h,30,10,7,1,663,0.641,0.572,1.046,-10.75
USDCHF,5m,30,1,7,1,71,0.64,0.524,0.112,-20.23
USDJPY,1h,100,1,7,0,205,0.636,0.565,0.326,-19.64
AUDUSD,1h,30,10,7,2,765,0.636,0.563,1.205,-10.19
GBPUSD,5m,100,10,7,1,2451,0.635,0.508,3.844,-77.46
NZDUSD,5m,30,1,7,1,85,0.633,0.455,0.138,-27.68
EURUSD,3m,100,1,7,2,247,0.621,0.485,0.389,-108.14
EURUSD,15m,100,10,7,2,2561,0.618,0.503,4.019,-56.85
USDCHF,4h,30,10,7,2,603,0.615,0.543,0.97,-5.28
GBPUSD,3m,100,10,7,2,2415,0.614,0.475,3.807,-84.64
EURUSD,1h,100,1,7,4,202,0.613,0.523,0.32,-25.57
USDCAD,4h,30,10,7,1,610,0.61,0.504,0.965,-7.83
USDCAD,1h,30,10,7,2,544,0.607,0.494,0.872,-9.0
AUDUSD,1h,30,1,7,3,78,0.604,0.54,0.125,-9.36
BTCUSDT,30m,100,1,7,2,234,0.599,0.481,0.368,-50.58
AUDUSD,30m,30,1,7,1,74,0.591,0.507,0.123,-8.66
USDJPY,3m,30,10,7,1,666,0.586,0.467,1.065,-23.59
EURUSD,1h,30,1,7,4,59,0.581,0.497,0.099,-7.98
NZDUSD,5m,30,10,7,1,776,0.572,0.403,1.231,-26.32
EURUSD,15m,100,1,7,2,247,0.565,0.446,0.39,-74.08
GBPUSD,15m,100,1,7,2,236,0.562,0.455,0.373,-79.71
NZDUSD,15m,100,1,7,1,203,0.556,0.466,0.322,-51.25
XAUUSD,5m,30,10,7,2,927,0.554,0.429,1.47,-39.15
USDJPY,15m,30,10,7,2,637,0.549,0.453,1.02,-18.11
AUDUSD,30m,30,10,7,1,768,0.548,0.429,1.206,-9.19
XAUUSD,5m,30,1,7,2,109,0.543,0.414,0.176,-56.61
NZDUSD,30m,100,1,7,1,183,0.538,0.426,0.291,-64.7
NZDUSD,30m,30,10,7,0,785,0.53,0.435,1.246,-21.95
USDCHF,5m,30,10,7,1,787,0.518,0.403,1.239,-26.85
USDCAD,1h,100,1,7,2,195,0.514,0.419,0.308,-48.72
NZDUSD,15m,30,10,7,2,813,0.508,0.389,1.28,-38.02
GBPUSD,3m,30,10,7,1,724,0.498,0.384,1.158,-28.75
USDCAD,5m,30,1,7,2,87,0.491,0.369,0.139,-32.08
USDCHF,15m,30,1,7,1,60,0.491,0.392,0.095,-22.97
GBPUSD,3m,100,1,7,1,229,0.482,0.385,0.364,-114.89
USDCHF,3m,100,10,7,0,2661,0.464,0.322,4.183,-100.07
NZDUSD,3m,30,10,7,1,708,0.464,0.343,1.118,-32.96
USDJPY,4h,100,10,1,0,214,0.455,0.411,2.508,-2.75
EURUSD,15m,30,1,7,2,63,0.434,0.334,0.101,-22.4
XAUUSD,15m,100,1,7,0,231,0.434,0.352,0.363,-112.68
USDCAD,1h,30,1,7,2,52,0.43,0.337,0.088,-11.82
USDCHF,30m,30,10,7,1,704,0.419,0.349,1.107,-21.56
GBPUSD,5m,100,1,7,1,219,0.417,0.339,0.344,-118.02
EURUSD,15m,30,10,7,2,640,0.416,0.319,1.013,-22.67
GBPUSD,1h,30,10,7,1,703,0.403,0.339,1.104,-20.0
XAUUSD,4h,30,1,6,1,53,0.398,0.374,0.097,-11.63
USDCAD,30m,100,1,7,1,196,0.396,0.301,0.31,-91.03
GBPUSD,3m,30,1,7,2,89,0.391,0.307,0.142,-45.53
GBPUSD,1h,30,1,7,2,60,0.381,0.299,0.096,-17.1
USDCHF,30m,30,1,7,1,63,0.368,0.303,0.1,-17.39
USDJPY,3m,30,1,7,0,65,0.364,0.298,0.107,-33.53
NZDUSD,30m,30,1,7,1,70,0.328,0.264,0.112,-31.96
USDCHF,3m,100,1,7,0,313,0.295,0.202,0.494,-157.78
USDJPY,5m,30,10,7,0,702,0.255,0.206,1.116,-38.21
NZDUSD,15m,30,1,7,0,88,0.241,0.179,0.139,-80.76
EURUSD,5m,30,1,7,1,68,0.217,0.171,0.11,-49.73
USDJPY,5m,30,1,7,0,68,0.08,0.062,0.109,-49.78
