n_legs,legs,r_per_day,max_dd_r,K,trades,tpd
4,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.10771,-8.58241,0.01255,717,1.07982
4,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.10088,-10.8622,0.00929,834,1.25602
4,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.07524,-10.97493,0.00686,637,0.95934
4,BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.06841,-10.866,0.0063,754,1.13554
4,BTCUSDT 30m + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.05961,-10.83746,0.0055,718,1.08953
4,BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.13485,-9.38095,0.01437,768,1.15663
4,BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.12801,-9.07231,0.01411,885,1.33283
4,BTCUSDT 30m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.11877,-7.77855,0.01527,849,1.27861
4,BTCUSDT 30m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.08629,-7.56992,0.0114,769,1.15813
4,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.10101,-8.70785,0.0116,620,0.93373
4,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.09177,-4.37421,0.02098,584,0.87952
4,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.08481,-9.10424,0.00932,701,1.05414
4,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.05929,-9.41793,0.0063,504,0.75904
4,BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.05238,-9.1108,0.00575,621,0.93383
4,BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.04315,-9.18761,0.0047,585,0.8797
4,BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.11908,-7.31877,0.01627,635,0.95777
4,BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.1119,-7.88257,0.0142,752,1.13083
4,BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.10267,-5.09349,0.02016,716,1.07669
4,BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07024,-6.1817,0.01136,636,0.95639
4,ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.11433,-8.54476,0.01338,553,0.83409
4,ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.10732,-8.05329,0.01333,670,1.00904
4,ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.09808,-8.30574,0.01181,634,0.95482
4,ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.0656,-9.0237,0.00727,554,0.83434
4,ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.12521,-6.66421,0.01879,685,1.03163
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h,0.0772,-14.96007,0.00516,1003,1.50827
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m,0.05126,-12.19118,0.0042,923,1.38797
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h,0.04388,-15.19875,0.00289,887,1.33383
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 15m + XAUUSD 5m,0.03842,-19.4243,0.00198,1004,1.50977
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + ETHUSDT 30m,0.09887,-11.3043,0.00875,1054,1.58496
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + SOLUSDT 4h,0.09149,-11.75309,0.00778,1018,1.53083
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 1h + XAUUSD 5m,0.08603,-15.97863,0.00538,1135,1.70677
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m + SOLUSDT 4h,0.06555,-9.63568,0.0068,938,1.41053
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + ETHUSDT 30m + XAUUSD 5m,0.06009,-13.39193,0.00449,1055,1.58647
5,BTCUSDT 1h + BTCUSDT 30m + BTCUSDT 4h + SOLUSDT 4h + XAUUSD 5m,0.05271,-16.14911,0.00326,1019,1.53233
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.09523,-12.49591,0.00762,972,1.46386
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.08783,-14.39707,0.0061,936,1.40964
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.08224,-18.55257,0.00443,1053,1.58346
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.06185,-11.94081,0.00518,856,1.28916
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.0563,-15.7223,0.00358,973,1.46316
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.04892,-18.72304,0.00261,937,1.40902
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m + SOLUSDT 4h,0.10954,-10.60167,0.01033,987,1.48645
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + ETHUSDT 30m + XAUUSD 5m,0.10391,-13.56529,0.00766,1104,1.66015
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 1h + SOLUSDT 4h + XAUUSD 5m,0.09653,-15.27738,0.00632,1068,1.60602
5,BTCUSDT 1h + BTCUSDT 30m + ETHUSDT 30m + SOLUSDT 4h + XAUUSD 5m,0.07059,-13.07656,0.0054,988,1.48571
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + ETHUSDT 30m,0.08247,-10.87499,0.00758,839,1.26355
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + SOLUSDT 4h,0.07508,-13.17187,0.0057,803,1.20934
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 1h + XAUUSD 5m,0.0695,-16.63846,0.00418,920,1.38346
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + SOLUSDT 4h,0.0491,-10.15802,0.00483,723,1.08886
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + ETHUSDT 30m + XAUUSD 5m,0.04356,-14.23061,0.00306,840,1.26316
5,BTCUSDT 1h + BTCUSDT 4h + ETHUSDT 15m + SOLUSDT 4h + XAUUSD 5m,0.03618,-16.85738,0.00215,804,1.20902
