legs,n_legs,target,risk,mean_corr,active_days_per_day,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,median_days,p25_days,pass_within_7,pass_within_14,pass_within_30
NZDUSD 4h,1,5%,0.0075,0.0,0.131,0.0517,-0.0243,1.03,0.5579,0.0,0.0,199.0,116.0,0.0,0.0,0.0156
NZDUSD 4h,1,8%,0.01,0.0,0.131,0.0679,-0.0313,1.03,0.375,0.0,0.0,272.0,180.75,0.0,0.0,0.0
NZDUSD 4h,1,5%,0.01,0.0,0.131,0.0679,-0.0313,1.03,0.7059,0.0,0.0,202.0,100.75,0.0,0.0,0.0358
NZDUSD 4h,1,8%,0.015,0.0,0.131,0.0989,-0.0444,1.03,0.6985,0.0,0.0,201.0,105.0,0.0,0.0,0.0193
NZDUSD 4h,1,5%,0.015,0.0,0.131,0.0989,-0.0444,1.03,0.7877,0.0,0.0,137.0,64.0,0.0,0.0028,0.091
NZDUSD 4h,1,8%,0.02,0.0,0.131,0.1282,-0.0564,1.03,0.7574,0.0,0.0395,189.5,77.0,0.0,0.0,0.0671
NZDUSD 4h,1,5%,0.02,0.0,0.131,0.1282,-0.0564,1.03,0.8226,0.0,0.0257,119.0,52.0,0.0,0.0028,0.1066
NZDUSD 4h,1,8%,0.03,0.0,0.131,0.1828,-0.0782,1.03,0.4982,0.4099,0.0257,78.5,38.0,0.0,0.0028,0.102
NZDUSD 4h,1,5%,0.03,0.0,0.131,0.1828,-0.0782,1.03,0.6737,0.239,0.0211,71.0,31.0,0.0,0.0074,0.1682
GBPUSD 4h,1,8%,0.005,0.0,0.14,0.0298,-0.0505,0.77,0.2509,0.0,0.0,301.0,231.0,0.0,0.0,0.0
GBPUSD 4h,1,5%,0.005,0.0,0.14,0.0298,-0.0505,0.77,0.4881,0.0,0.0,216.0,130.0,0.0,0.0,0.0
GBPUSD 4h,1,8%,0.0075,0.0,0.14,0.0441,-0.0712,0.77,0.4642,0.0312,0.0,221.0,137.0,0.0,0.0,0.0
GBPUSD 4h,1,5%,0.0075,0.0,0.14,0.0441,-0.0712,0.77,0.5267,0.0312,0.0,119.0,73.0,0.0,0.0,0.0083
GBPUSD 4h,1,8%,0.01,0.0,0.14,0.058,-0.0895,0.77,0.5267,0.2436,0.0,144.0,93.0,0.0,0.0,0.0018
GBPUSD 4h,1,5%,0.01,0.0,0.14,0.058,-0.0895,0.77,0.5285,0.2417,0.0,97.0,51.5,0.0,0.0,0.0395
GBPUSD 4h,1,8%,0.015,0.0,0.14,0.0847,-0.1204,0.77,0.4871,0.3796,0.0,94.5,53.25,0.0,0.0,0.0349
GBPUSD 4h,1,5%,0.015,0.0,0.14,0.0847,-0.1204,0.77,0.5653,0.3015,0.0,54.0,34.0,0.0,0.0,0.1094
GBPUSD 4h,1,8%,0.02,0.0,0.14,0.1102,-0.1455,0.77,0.5147,0.3529,0.0,70.0,39.0,0.0,0.0,0.0708
GBPUSD 4h,1,5%,0.02,0.0,0.14,0.1102,-0.1455,0.77,0.5735,0.2941,0.0,46.0,33.0,0.0,0.0,0.1176
