book,legs,trades,pf,total_r,max_dd_r,r_per_day,tpd,win,avg_r,risk,pass_rate,median_days,expected_days,one_step_days,fail_max,fail_daily,weighting,combo,tag
5m+30m [equal],2,2393,2.178,101.09,7.54,0.1636,3.87,0.3899,0.0422,0.01,0.7855,143.0,182.0,62.4,0.0,0.0,equal,5m+30m,real_fixed
5m+4h [equal],2,2532,1.78,86.78,8.6,0.1404,4.1,0.3945,0.0343,0.0075,0.8129,151.0,185.8,72.6,0.0,0.0,equal,5m+4h,real_fixed
5m+1h+4h [equal],3,2672,1.785,76.62,8.34,0.124,4.32,0.3918,0.0287,0.0075,0.8371,156.0,186.4,93.1,0.0,0.0,equal,5m+1h+4h,real_fixed
15m+1h+4h [equal],3,2719,1.531,56.87,9.63,0.092,4.4,0.3373,0.0209,0.0075,0.8984,168.0,187.0,106.4,0.0,0.0,equal,15m+1h+4h,real_fixed
15m+1h+4h [sig_cost],3,2719,1.507,61.87,10.29,0.1001,4.4,0.3373,0.0228,0.0075,0.8984,169.0,188.1,88.6,0.0,0.0,sig_cost,15m+1h+4h,real_fixed
5m+15m+4h [by_r],3,4921,1.759,106.98,9.85,0.1731,7.96,0.3621,0.0217,0.0075,0.7758,147.0,189.5,65.9,0.0,0.0,by_r,5m+15m+4h,real_fixed
5m+15m+4h [sig_cost],3,4921,1.788,109.04,9.68,0.1764,7.96,0.3621,0.0222,0.0075,0.7758,147.0,189.5,65.3,0.0,0.0,sig_cost,5m+15m+4h,real_fixed
5m+15m+1h [sig_cost],3,4871,1.824,114.26,9.72,0.1849,7.88,0.358,0.0235,0.0075,0.7806,148.0,189.6,67.7,0.0,0.0,sig_cost,5m+15m+1h,real_fixed
5m+1h [sig_cost],2,2482,1.985,126.36,9.66,0.2045,4.02,0.3872,0.0509,0.0075,0.7855,150.0,191.0,57.9,0.0,0.0,sig_cost,5m+1h,real_fixed
5m+15m+1h+4h [sig_cost],4,5061,1.789,103.61,9.18,0.1677,8.19,0.3616,0.0205,0.0075,0.779,151.0,193.8,67.4,0.0,0.0,sig_cost,5m+15m+1h+4h,real_fixed
5m+15m+1h [by_r],3,4871,1.79,105.59,9.34,0.1709,7.88,0.358,0.0217,0.0075,0.7806,154.0,197.3,78.6,0.0,0.0,by_r,5m+15m+1h,real_fixed
5m+1h+4h [sig_cost],3,2672,1.917,110.46,8.53,0.1787,4.32,0.3918,0.0413,0.0075,0.7758,154.0,198.5,62.8,0.0,0.0,sig_cost,5m+1h+4h,real_fixed
5m+30m+1h [sig_cost],3,2533,2.089,105.32,7.95,0.1704,4.1,0.3873,0.0416,0.01,0.7919,158.0,199.5,54.8,0.0,0.0,sig_cost,5m+30m+1h,real_fixed
5m+1h [by_r],2,2482,1.969,115.87,9.98,0.1875,4.02,0.3872,0.0467,0.0075,0.7823,157.0,200.7,66.7,0.0,0.0,by_r,5m+1h,real_fixed
15m+30m+1h [sig_cost],3,2580,1.784,67.87,7.99,0.1098,4.17,0.3298,0.0263,0.01,0.8806,183.5,208.4,88.1,0.0,0.0,sig_cost,15m+30m+1h,real_fixed
30m+1h+4h [equal],3,381,1.82,50.78,7.85,0.0822,0.62,0.4042,0.1333,0.01,0.8484,177.5,209.2,109.5,0.0,0.0,equal,30m+1h+4h,real_fixed
5m+30m [by_r],2,2393,2.09,115.95,8.41,0.1876,3.87,0.3899,0.0485,0.0075,0.7839,165.5,211.1,62.3,0.0,0.0,by_r,5m+30m,real_fixed
15m+30m+1h [by_r],3,2580,1.695,68.01,9.92,0.1101,4.17,0.3298,0.0264,0.0075,0.8581,183.5,213.8,96.7,0.0,0.0,by_r,15m+30m+1h,real_fixed
15m+30m+1h [equal],3,2580,1.737,66.41,9.93,0.1075,4.17,0.3298,0.0257,0.0075,0.821,177.0,215.6,118.2,0.0,0.0,equal,15m+30m+1h,real_fixed
15m+1h [sig_cost],2,2529,1.531,73.07,14.4,0.1182,4.09,0.3286,0.0289,0.005,0.8452,183.0,216.5,118.0,0.0,0.0,sig_cost,15m+1h,real_fixed
15m+1h [by_r],2,2529,1.553,70.6,14.98,0.1142,4.09,0.3286,0.0279,0.005,0.8306,181.0,217.9,121.3,0.0,0.0,by_r,15m+1h,real_fixed
5m+30m [sig_cost],2,2393,2.114,111.27,8.14,0.1801,3.87,0.3899,0.0465,0.0075,0.779,170.0,218.2,69.0,0.0,0.0,sig_cost,5m+30m,real_fixed
5m+15m+30m [by_r],3,4782,1.855,105.87,9.34,0.1713,7.74,0.3588,0.0221,0.0075,0.7758,170.0,219.1,78.7,0.0,0.0,by_r,5m+15m+30m,real_fixed
5m+30m+1h [by_r],3,2533,2.045,102.96,8.65,0.1666,4.1,0.3873,0.0406,0.0075,0.7758,171.0,220.4,80.1,0.0,0.0,by_r,5m+30m+1h,real_fixed
5m+30m+4h [by_r],3,2583,2.011,104.2,8.02,0.1686,4.18,0.3945,0.0403,0.0075,0.7758,171.0,220.4,70.1,0.0,0.0,by_r,5m+30m+4h,real_fixed
5m+15m+30m+1h [sig_cost],4,4922,1.91,100.51,8.53,0.1626,7.96,0.3584,0.0204,0.0075,0.7758,172.0,221.7,84.3,0.0,0.0,sig_cost,5m+15m+30m+1h,real_fixed
5m+30m+1h [equal],3,2533,2.068,86.16,9.12,0.1394,4.1,0.3873,0.034,0.0075,0.8274,185.0,223.6,132.0,0.0,0.0,equal,5m+30m+1h,real_fixed
1h+4h [sig_cost],2,330,1.562,43.6,9.2,0.0705,0.53,0.4061,0.1321,0.0075,0.8194,183.5,223.9,140.1,0.0,0.0,sig_cost,1h+4h,real_fixed
5m+30m+1h+4h [by_r],4,2723,1.981,94.97,8.01,0.1537,4.41,0.3918,0.0349,0.0075,0.7742,173.5,224.1,82.1,0.0,0.0,by_r,5m+30m+1h+4h,real_fixed
5m+15m+30m+1h [by_r],4,4922,1.849,97.64,8.59,0.158,7.96,0.3584,0.0198,0.0075,0.7806,176.5,226.1,81.9,0.0,0.0,by_r,5m+15m+30m+1h,real_fixed
15m+1h [equal],2,2529,1.575,68.44,15.48,0.1107,4.09,0.3286,0.0271,0.005,0.7435,169.0,227.3,128.0,0.0,0.0,equal,15m+1h,real_fixed
5m+15m+30m+4h [by_r],4,4972,1.822,98.19,8.95,0.1589,8.05,0.3624,0.0197,0.0075,0.7758,177.0,228.2,83.2,0.0,0.0,by_r,5m+15m+30m+4h,real_fixed
5m+15m+30m [sig_cost],3,4782,1.916,104.74,8.89,0.1695,7.74,0.3588,0.0219,0.0075,0.7758,177.0,228.2,78.3,0.0,0.0,sig_cost,5m+15m+30m,real_fixed
5m+15m+30m+1h+4h [sig_cost],5,5112,1.87,93.78,8.24,0.1517,8.27,0.3619,0.0183,0.0075,0.7758,178.0,229.4,86.5,0.0,0.0,sig_cost,5m+15m+30m+1h+4h,real_fixed
5m+15m+30m+4h [sig_cost],4,4972,1.874,96.97,8.53,0.1569,8.05,0.3624,0.0195,0.0075,0.7758,178.0,229.4,83.2,0.0,0.0,sig_cost,5m+15m+30m+4h,real_fixed
15m+30m+1h+4h [equal],4,2770,1.659,58.23,8.41,0.0942,4.48,0.3383,0.021,0.0075,0.8403,193.0,229.7,98.8,0.0,0.0,equal,15m+30m+1h+4h,real_fixed
1h+4h [equal],2,330,1.586,45.0,9.94,0.0728,0.53,0.4061,0.1364,0.0075,0.8419,194.5,231.0,143.5,0.0,0.0,equal,1h+4h,real_fixed
5m+15m+30m+4h [equal],4,4972,1.749,79.12,8.73,0.128,8.05,0.3624,0.0159,0.0075,0.8226,190.0,231.0,91.4,0.0,0.0,equal,5m+15m+30m+4h,real_fixed
5m+15m+30m [equal],3,4782,1.833,94.26,8.91,0.1525,7.74,0.3588,0.0197,0.0075,0.7758,187.0,241.0,85.4,0.0,0.0,equal,5m+15m+30m,real_fixed
15m+30m [by_r],2,2440,1.669,72.63,9.31,0.1175,3.95,0.3291,0.0298,0.0075,0.8145,198.0,243.1,94.0,0.0,0.0,by_r,15m+30m,real_fixed
5m+15m [equal],2,4731,1.718,110.22,10.74,0.1784,7.66,0.3585,0.0233,0.005,0.7629,188.0,246.4,89.0,0.0,0.0,equal,5m+15m,real_fixed
30m+1h [equal],2,191,2.155,59.31,10.61,0.0968,0.31,0.356,0.3105,0.0075,0.7138,181.0,253.6,153.2,0.0,0.0,equal,30m+1h,real_fixed
5m+15m+30m+1h+4h [equal],5,5112,1.756,74.56,8.26,0.1206,8.27,0.3619,0.0146,0.0075,0.8242,210.0,254.8,94.5,0.0,0.0,equal,5m+15m+30m+1h+4h,real_fixed
15m+30m+1h+4h [by_r],4,2770,1.659,63.05,8.64,0.102,4.48,0.3383,0.0228,0.0075,0.8032,205.5,255.9,96.2,0.0,0.0,by_r,15m+30m+1h+4h,real_fixed
5m+1h [equal],2,2482,1.935,98.07,11.7,0.1587,4.02,0.3872,0.0395,0.005,0.7516,194.5,258.8,132.5,0.0,0.0,equal,5m+1h,real_fixed
15m+30m+4h [by_r],3,2630,1.629,65.2,9.36,0.1055,4.26,0.338,0.0248,0.0075,0.8129,214.5,263.9,107.7,0.0,0.0,by_r,15m+30m+4h,real_fixed
30m+4h [equal],2,241,1.832,48.02,7.42,0.0782,0.39,0.4398,0.1993,0.01,0.7435,201.5,271.0,130.6,0.0,0.0,equal,30m+4h,real_fixed
30m+1h [by_r],2,191,2.18,59.47,10.24,0.097,0.31,0.356,0.3113,0.0075,0.7122,195.5,274.5,197.1,0.0,0.0,by_r,30m+1h,real_fixed
15m+1h+4h [by_r],3,2719,1.533,63.31,10.98,0.1024,4.4,0.3373,0.0233,0.005,0.6419,183.5,285.9,129.1,0.0,0.0,by_r,15m+1h+4h,real_fixed
30m+1h [sig_cost],2,191,2.458,60.84,7.41,0.0992,0.31,0.356,0.3185,0.01,0.665,196.0,294.7,182.9,0.0,0.0,sig_cost,30m+1h,real_fixed
30m+4h [by_r],2,241,2.043,52.29,6.77,0.0852,0.39,0.4398,0.217,0.01,0.7094,211.0,297.4,184.7,0.0,0.0,by_r,30m+4h,real_fixed
30m+4h [sig_cost],2,241,2.136,53.83,6.54,0.0877,0.39,0.4398,0.2233,0.01,0.6916,208.5,301.5,198.9,0.0,0.0,sig_cost,30m+4h,real_fixed
30m+1h+4h [sig_cost],3,381,2.05,54.29,6.51,0.0878,0.62,0.4042,0.1425,0.01,0.6613,201.5,304.7,175.7,0.0,0.0,sig_cost,30m+1h+4h,real_fixed
15m+30m [sig_cost],2,2440,1.782,70.07,8.3,0.1134,3.95,0.3291,0.0287,0.0075,0.6694,207.0,309.2,203.7,0.0,0.0,sig_cost,15m+30m,real_fixed
15m+30m+1h+4h [sig_cost],4,2770,1.722,62.06,8.26,0.1004,4.48,0.3383,0.0224,0.0075,0.7177,222.0,309.3,181.9,0.0,0.0,sig_cost,15m+30m+1h+4h,real_fixed
15m+30m [equal],2,2440,1.715,71.46,8.85,0.1156,3.95,0.3291,0.0293,0.0075,0.7355,227.5,309.3,125.5,0.0,0.0,equal,15m+30m,real_fixed
15m+30m+4h [sig_cost],3,2630,1.713,62.94,8.55,0.1018,4.26,0.338,0.0239,0.0075,0.7113,221.0,310.7,176.2,0.0,0.0,sig_cost,15m+30m+4h,real_fixed
15m+4h [sig_cost],2,2579,1.464,63.46,11.4,0.1027,4.17,0.337,0.0246,0.005,0.7581,241.5,318.6,137.2,0.0,0.0,sig_cost,15m+4h,real_fixed
15m+30m+4h [equal],3,2630,1.624,58.88,9.09,0.0953,4.26,0.338,0.0224,0.0075,0.7516,240.5,320.0,159.9,0.0,0.0,equal,15m+30m+4h,real_fixed
30m+1h+4h [by_r],3,381,1.933,53.77,8.19,0.087,0.62,0.4042,0.1411,0.0075,0.6694,223.0,333.1,203.0,0.0,0.0,by_r,30m+1h+4h,real_fixed
15m+4h [by_r],2,2579,1.468,66.77,11.6,0.108,4.17,0.337,0.0259,0.005,0.6823,269.0,394.3,120.6,0.0,0.0,by_r,15m+4h,real_fixed
15m+4h [equal],2,2579,1.456,57.15,11.02,0.0925,4.17,0.337,0.0222,0.005,0.6887,292.0,424.0,168.3,0.0,0.0,equal,15m+4h,real_fixed
1h+4h [by_r],2,330,1.636,47.83,11.74,0.0774,0.53,0.4061,0.1449,0.005,0.4452,268.5,603.1,171.4,0.0,0.0,by_r,1h+4h,real_fixed
