symbol,tf,floor,topn,quarters,q_above_1,pf,trades,trades_per_day,trades_per_week,avg_hold_h,win_rate,avg_r,max_dd_r,max_dd_pct,sharpe,days_to_target,days_to_breach,pf_2x
AUDUSD,30m,100,1,7,4,0.825,228,0.364,2.55,7.5,0.2018,-0.1804,-58.8,-0.441,-0.696,87.7,57.0,0.64
XAUUSD,4h,30,10,7,4,0.824,728,1.157,8.1,12.02,0.4148,-0.0084,-9.04,-0.0678,-0.749,31940.0,1067.4,0.688
GBPUSD,1h,100,10,7,2,0.818,2485,3.911,27.38,8.43,0.3252,-0.013,-42.72,-0.3204,-1.389,1744.5,188.1,0.665
USDCAD,15m,30,1,7,4,0.815,97,0.154,1.07,9.47,0.268,-0.1702,-18.33,-0.1375,-0.499,306.1,175.1,0.591
GBPUSD,30m,100,10,7,0,0.814,2652,4.181,29.26,7.38,0.2628,-0.0168,-50.64,-0.3798,-1.29,459.1,114.4,0.626
EURUSD,15m,100,10,7,1,0.812,3183,5.0,35.0,6.9,0.2567,-0.0159,-50.79,-0.3809,-1.537,631.9,110.9,0.634
USDJPY,4h,100,1,7,2,0.801,227,0.359,2.51,4.48,0.2996,-0.1245,-42.88,-0.3216,-0.652,177.8,101.9,0.625
GBPUSD,5m,100,10,7,1,0.796,3217,5.085,35.6,8.14,0.258,-0.0173,-65.64,-0.4923,-1.613,563.0,99.8,0.636
NZDUSD,15m,100,10,7,3,0.795,2629,4.135,28.94,11.89,0.2385,-0.0179,-65.6,-0.492,-1.461,631.2,117.2,0.632
USDCAD,4h,100,10,7,1,0.792,2034,3.197,22.38,10.5,0.3692,-0.0072,-15.84,-0.1188,-1.233,21217.2,452.1,0.603
AUDUSD,1h,30,10,7,2,0.786,842,1.332,9.32,12.3,0.3076,-0.0148,-24.15,-0.1812,-0.965,7992.9,506.1,0.666
USDCHF,5m,100,10,7,1,0.784,2567,4.052,28.37,11.75,0.2369,-0.0186,-54.02,-0.4051,-1.185,280.2,94.1,0.605
GBPUSD,1h,100,1,7,4,0.783,226,0.359,2.51,8.38,0.2522,-0.1909,-48.42,-0.3632,-0.924,167.4,80.7,0.637
USDJPY,30m,30,1,7,3,0.781,95,0.152,1.06,2.01,0.3158,-0.1786,-27.74,-0.208,-0.678,665.4,247.3,0.606
GBPUSD,1h,30,10,7,2,0.779,1280,2.03,14.21,5.71,0.2781,-0.0194,-28.67,-0.2151,-0.805,438.3,167.5,0.576
USDCHF,15m,100,1,7,3,0.776,269,0.425,2.97,12.33,0.2379,-0.1521,-75.18,-0.5639,-0.849,152.2,79.2,0.637
USDCHF,15m,100,10,7,2,0.774,2536,3.985,27.89,12.09,0.2603,-0.016,-42.09,-0.3157,-1.55,1363.5,149.6,0.615
USDJPY,15m,100,10,7,0,0.769,3136,4.928,34.5,4.51,0.2258,-0.0189,-67.65,-0.5074,-1.647,513.5,93.6,0.61
USDCAD,30m,30,10,7,2,0.765,830,1.309,9.16,7.74,0.3494,-0.0181,-17.5,-0.1312,-1.142,10874.1,433.1,0.562
GBPUSD,15m,100,1,7,1,0.763,245,0.388,2.72,10.9,0.2612,-0.1708,-59.12,-0.4434,-1.007,234.4,95.6,0.606
USDCAD,30m,100,10,7,1,0.762,2291,3.618,25.33,10.72,0.2907,-0.0179,-49.7,-0.3728,-1.751,2473.6,154.7,0.564
GBPUSD,4h,100,10,7,1,0.761,2055,3.246,22.72,8.08,0.3718,-0.0074,-18.05,-0.1354,-1.939,4110804.6,443.2,0.643
EURUSD,5m,30,1,7,2,0.761,135,0.216,1.51,10.09,0.1556,-0.2588,-55.63,-0.4172,-0.729,142.6,81.7,0.581
