sym,tf,thr,stop_sig,rr,hold,n,win,avg_r,pf,null_pf,tpd,r_per_day
XAUUSD,4h,2.5,1.0,2.0,96,319,19.1,-0.5616,0.392,0.392,0.29,-0.1635
XAUUSD,4h,2.5,1.0,4.0,24,317,16.7,-0.2997,0.684,0.533,0.29,-0.0867
XAUUSD,4h,2.5,1.0,4.0,48,317,16.7,-0.2997,0.684,0.527,0.29,-0.0867
XAUUSD,4h,2.5,1.0,4.0,96,317,16.7,-0.2997,0.684,0.527,0.29,-0.0867
XAUUSD,4h,2.5,1.0,6.0,24,311,13.2,-0.212,0.785,0.663,0.28,-0.0602
XAUUSD,4h,2.5,1.0,6.0,48,311,13.2,-0.212,0.785,0.657,0.28,-0.0602
XAUUSD,4h,2.5,1.0,6.0,96,311,13.2,-0.212,0.785,0.657,0.28,-0.0602
XAUUSD,4h,2.5,1.0,8.0,24,310,11.6,-0.09,0.91,0.79,0.28,-0.0255
XAUUSD,4h,2.5,1.0,8.0,48,310,11.6,-0.09,0.91,0.755,0.28,-0.0255
XAUUSD,4h,2.5,1.0,8.0,96,310,11.6,-0.09,0.91,0.755,0.28,-0.0255
XAUUSD,4h,2.5,1.0,0.0,24,284,7.4,0.5141,1.488,0.156,0.26,0.1332
XAUUSD,4h,2.5,1.0,0.0,48,264,4.5,0.0253,1.023,0.067,0.24,0.0061
XAUUSD,4h,2.5,1.0,0.0,96,248,2.8,0.6982,1.632,0.102,0.23,0.158
XAUUSD,4h,2.5,1.5,2.0,24,369,23.0,-0.4281,0.507,0.444,0.34,-0.1441
XAUUSD,4h,2.5,1.5,2.0,48,369,23.0,-0.4281,0.507,0.439,0.34,-0.1441
XAUUSD,4h,2.5,1.5,2.0,96,369,23.0,-0.4281,0.507,0.439,0.34,-0.1441
XAUUSD,4h,2.5,1.5,4.0,24,353,18.1,-0.2283,0.752,0.632,0.32,-0.0735
XAUUSD,4h,2.5,1.5,4.0,48,351,17.4,-0.2503,0.731,0.627,0.32,-0.0802
XAUUSD,4h,2.5,1.5,4.0,96,351,17.4,-0.2503,0.731,0.627,0.32,-0.0802
XAUUSD,4h,2.5,1.5,6.0,24,347,15.6,-0.1025,0.892,0.793,0.32,-0.0325
XAUUSD,4h,2.5,1.5,6.0,48,340,14.4,-0.1094,0.886,0.75,0.31,-0.0339
XAUUSD,4h,2.5,1.5,6.0,96,340,14.4,-0.1094,0.886,0.769,0.31,-0.0339
XAUUSD,4h,2.5,1.5,8.0,24,340,15.3,0.0865,1.091,0.662,0.31,0.0268
XAUUSD,4h,2.5,1.5,8.0,48,331,13.3,0.0541,1.056,0.642,0.3,0.0163
XAUUSD,4h,2.5,1.5,8.0,96,330,12.7,0.026,1.027,0.642,0.3,0.0078
XAUUSD,4h,2.5,1.5,0.0,24,309,11.7,0.8863,1.892,0.813,0.28,0.2499
XAUUSD,4h,2.5,1.5,0.0,48,269,7.4,0.8299,1.8,0.785,0.25,0.2037
XAUUSD,4h,2.5,1.5,0.0,96,250,4.8,1.8189,2.704,0.822,0.23,0.4149
XAUUSD,4h,2.5,2.0,2.0,24,394,25.4,-0.3457,0.585,0.444,0.36,-0.1243
XAUUSD,4h,2.5,2.0,2.0,48,394,25.4,-0.3457,0.585,0.447,0.36,-0.1243
XAUUSD,4h,2.5,2.0,2.0,96,394,25.4,-0.3457,0.585,0.451,0.36,-0.1243
XAUUSD,4h,2.5,2.0,4.0,24,374,20.3,-0.1193,0.866,0.631,0.34,-0.0407
XAUUSD,4h,2.5,2.0,4.0,48,370,19.5,-0.1336,0.851,0.605,0.34,-0.0451
XAUUSD,4h,2.5,2.0,4.0,96,370,19.5,-0.1336,0.851,0.63,0.34,-0.0451
XAUUSD,4h,2.5,2.0,6.0,24,360,18.9,0.0804,1.089,0.529,0.33,0.0264
XAUUSD,4h,2.5,2.0,6.0,48,348,17.2,0.0702,1.076,0.52,0.32,0.0223
XAUUSD,4h,2.5,2.0,6.0,96,347,16.4,0.0429,1.046,0.528,0.32,0.0136
XAUUSD,4h,2.5,2.0,8.0,24,353,16.1,0.0865,1.093,0.528,0.32,0.0279
XAUUSD,4h,2.5,2.0,8.0,48,335,14.0,0.0659,1.069,0.52,0.31,0.0201
XAUUSD,4h,2.5,2.0,8.0,96,334,12.6,0.0253,1.026,0.527,0.3,0.0077
XAUUSD,4h,2.5,2.0,0.0,24,323,12.1,0.4823,1.493,0.651,0.29,0.1421
XAUUSD,4h,2.5,2.0,0.0,48,279,7.9,0.4132,1.404,0.635,0.25,0.1052
XAUUSD,4h,2.5,2.0,0.0,96,246,5.7,1.2172,2.166,0.674,0.22,0.2732
XAUUSD,4h,2.5,3.0,2.0,24,380,28.9,-0.2312,0.702,0.53,0.35,-0.0802
XAUUSD,4h,2.5,3.0,2.0,48,369,27.9,-0.2419,0.691,0.545,0.34,-0.0814
XAUUSD,4h,2.5,3.0,2.0,96,366,27.9,-0.2457,0.688,0.547,0.33,-0.082
XAUUSD,4h,2.5,3.0,4.0,24,353,24.9,0.0515,1.063,0.547,0.32,0.0166
XAUUSD,4h,2.5,3.0,4.0,48,336,23.2,0.0609,1.074,0.544,0.31,0.0187
XAUUSD,4h,2.5,3.0,4.0,96,333,21.9,0.0167,1.02,0.56,0.3,0.0051
XAUUSD,4h,2.5,3.0,6.0,24,338,19.5,0.0325,1.037,0.544,0.31,0.01
XAUUSD,4h,2.5,3.0,6.0,48,318,16.4,-0.0012,0.999,0.522,0.29,-0.0003
XAUUSD,4h,2.5,3.0,6.0,96,314,15.0,-0.0308,0.966,0.546,0.29,-0.0088
XAUUSD,4h,2.5,3.0,8.0,24,333,18.6,0.1718,1.194,0.61,0.3,0.0522
XAUUSD,4h,2.5,3.0,8.0,48,313,15.3,0.1732,1.19,0.603,0.29,0.0495
XAUUSD,4h,2.5,3.0,8.0,96,307,13.7,0.1287,1.138,0.616,0.28,0.0361
XAUUSD,4h,2.5,3.0,0.0,24,310,15.2,0.1989,1.216,0.921,0.28,0.0563
XAUUSD,4h,2.5,3.0,0.0,48,267,9.0,0.1099,1.112,1.016,0.24,0.0268
XAUUSD,4h,2.5,3.0,0.0,96,238,5.9,0.5415,1.532,0.86,0.22,0.1176
BTCUSDT,4h,1.0,1.0,2.0,24,2657,24.0,-0.6867,0.374,0.374,2.42,-1.6647
BTCUSDT,4h,1.0,1.0,2.0,48,2641,24.1,-0.6837,0.376,0.377,2.41,-1.6475
BTCUSDT,4h,1.0,1.0,2.0,96,2637,24.2,-0.6814,0.378,0.377,2.41,-1.6395
BTCUSDT,4h,1.0,1.0,4.0,24,2084,17.3,-0.5619,0.522,0.453,1.9,-1.0684
BTCUSDT,4h,1.0,1.0,4.0,48,2013,17.4,-0.5503,0.532,0.447,1.84,-1.0107
BTCUSDT,4h,1.0,1.0,4.0,96,1955,17.4,-0.5395,0.54,0.447,1.78,-0.9623
BTCUSDT,4h,1.0,1.0,6.0,24,1855,14.3,-0.4673,0.617,0.457,1.69,-0.7909
BTCUSDT,4h,1.0,1.0,6.0,48,1739,14.2,-0.4501,0.631,0.448,1.59,-0.7142
BTCUSDT,4h,1.0,1.0,6.0,96,1641,14.2,-0.4351,0.642,0.443,1.5,-0.6515
BTCUSDT,4h,1.0,1.0,8.0,24,1774,12.0,-0.4217,0.663,0.475,1.62,-0.6826
BTCUSDT,4h,1.0,1.0,8.0,48,1623,12.0,-0.3817,0.694,0.467,1.48,-0.5652
BTCUSDT,4h,1.0,1.0,8.0,96,1544,11.7,-0.3913,0.688,0.441,1.41,-0.5512
BTCUSDT,4h,1.0,1.0,0.0,24,1348,6.5,-0.3499,0.743,0.331,1.23,-0.4304
BTCUSDT,4h,1.0,1.0,0.0,48,982,5.7,-0.222,0.839,0.215,0.9,-0.1989
BTCUSDT,4h,1.0,1.0,0.0,96,738,4.3,-0.4188,0.699,0.222,0.67,-0.282
BTCUSDT,4h,1.0,1.5,2.0,24,1894,28.1,-0.4584,0.518,0.447,1.73,-0.7922
BTCUSDT,4h,1.0,1.5,2.0,48,1825,28.2,-0.4556,0.522,0.446,1.67,-0.7586
BTCUSDT,4h,1.0,1.5,2.0,96,1790,28.3,-0.4431,0.533,0.442,1.63,-0.7237
