sym,tf,dirn,thr,hold,n,avg_r,pf,win,total_r,null_pf
BTCUSDT,4h,fade,2.0,2,916,-1.5137,0.835,50.8,-1386.5,0.721
BTCUSDT,4h,follow,2.0,2,916,-1.2109,0.867,42.9,-1109.2,1.014
BTCUSDT,4h,fade,2.0,4,728,1.2825,1.127,52.1,933.7,0.865
BTCUSDT,4h,follow,2.0,4,728,-3.989,0.693,41.3,-2904.0,0.921
BTCUSDT,4h,fade,2.0,8,506,1.743,1.123,52.8,882.0,1.073
BTCUSDT,4h,follow,2.0,8,506,-4.2374,0.755,42.7,-2144.1,0.771
BTCUSDT,4h,fade,2.0,12,380,-3.555,0.771,50.3,-1350.9,1.163
BTCUSDT,4h,follow,2.0,12,380,1.3688,1.104,47.4,520.2,0.745
BTCUSDT,4h,fade,2.5,1,590,-3.054,0.726,48.8,-1801.9,0.799
BTCUSDT,4h,follow,2.5,1,590,-0.9158,0.909,45.4,-540.3,0.836
BTCUSDT,4h,fade,2.5,2,531,-4.0411,0.724,50.8,-2145.8,0.68
BTCUSDT,4h,follow,2.5,2,531,-0.0427,0.997,43.3,-22.7,1.079
BTCUSDT,4h,fade,2.5,4,457,-2.0761,0.88,49.2,-948.8,0.868
BTCUSDT,4h,follow,2.5,4,457,-2.306,0.869,43.8,-1053.9,0.923
BTCUSDT,4h,fade,2.5,8,345,-0.5707,0.976,51.3,-196.9,1.115
BTCUSDT,4h,follow,2.5,8,345,-3.7894,0.851,45.2,-1307.4,0.74
BTCUSDT,4h,fade,2.5,12,285,-7.1129,0.774,50.9,-2027.2,1.203
BTCUSDT,4h,follow,2.5,12,285,2.7424,1.103,47.0,781.6,0.712
BTCUSDT,4h,fade,3.0,1,344,-5.6543,0.665,47.1,-1945.1,0.809
BTCUSDT,4h,follow,3.0,1,344,-0.2226,0.984,45.3,-76.6,0.824
BTCUSDT,4h,fade,3.0,2,325,-8.3981,0.626,46.2,-2729.4,0.656
BTCUSDT,4h,follow,3.0,2,325,2.3734,1.14,47.4,771.3,1.116
BTCUSDT,4h,fade,3.0,4,308,-4.8207,0.81,45.1,-1484.8,0.826
BTCUSDT,4h,follow,3.0,4,308,-1.267,0.947,47.1,-390.2,0.969
BTCUSDT,4h,fade,3.0,8,247,-5.1016,0.865,49.4,-1260.1,1.067
BTCUSDT,4h,follow,3.0,8,247,-1.2718,0.965,45.7,-314.1,0.776
BTCUSDT,4h,fade,3.0,12,218,-12.1798,0.733,48.2,-2655.2,1.14
BTCUSDT,4h,follow,3.0,12,218,6.0397,1.166,48.2,1316.7,0.754
ETHUSDT,4h,fade,1.0,1,2324,-1.3714,0.705,49.0,-3187.1,0.827
ETHUSDT,4h,follow,1.0,1,2324,0.1871,1.048,45.2,434.9,0.895
ETHUSDT,4h,fade,1.0,2,1721,-1.3165,0.765,50.0,-2265.8,0.814
ETHUSDT,4h,follow,1.0,2,1721,0.095,1.019,45.0,163.5,0.969
ETHUSDT,4h,fade,1.0,4,1084,-2.9575,0.748,49.0,-3206.0,0.902
