sym,tf,thr,stop,hold,n,win,avg_r,pf,null_pf,tpd,days60,pass60,risk60
XAUUSD,4h,0.75,2.0,384,142,5.6,1.5276,2.543,2.403,0.13,107.5,67.9,0.5
XAUUSD,4h,1.0,0.75,96,572,3.7,0.3858,1.362,0.566,0.52,,,
XAUUSD,4h,1.0,0.75,192,445,2.9,0.2242,1.207,0.675,0.41,,,
XAUUSD,4h,1.0,0.75,384,379,1.8,0.7815,1.716,0.645,0.35,,,
XAUUSD,4h,1.0,1.0,96,471,4.9,0.7493,1.726,0.611,0.43,,,
XAUUSD,4h,1.0,1.0,192,380,3.2,0.8426,1.8,0.65,0.35,,,
XAUUSD,4h,1.0,1.0,384,303,2.3,1.9582,2.833,0.763,0.28,76.4,62.8,0.25
XAUUSD,4h,1.0,1.25,96,405,6.7,1.1284,2.128,0.504,0.37,47.7,69.1,0.25
XAUUSD,4h,1.0,1.25,192,303,4.6,1.1815,2.147,0.542,0.28,,,
XAUUSD,4h,1.0,1.25,384,171,4.7,3.4925,4.393,0.698,0.16,67.3,63.8,1.75
XAUUSD,4h,1.0,1.5,96,372,7.5,0.6096,1.622,0.409,0.34,67.9,60.4,0.25
XAUUSD,4h,1.0,1.5,192,250,6.0,1.0442,2.037,0.522,0.23,60.5,64.4,0.5
XAUUSD,4h,1.0,1.5,384,163,4.3,2.8785,3.841,0.479,0.15,107.1,78.4,0.25
XAUUSD,4h,1.0,2.0,96,299,9.0,0.8228,1.868,0.806,0.27,73.9,63.6,0.25
XAUUSD,4h,1.0,2.0,192,176,10.2,0.4668,1.496,1.308,0.16,59.6,60.4,0.75
XAUUSD,4h,1.0,2.0,384,135,5.9,1.5507,2.571,1.083,0.12,107.2,60.7,0.5
XAUUSD,4h,1.25,0.75,96,557,3.6,0.3258,1.306,0.465,0.51,,,
XAUUSD,4h,1.25,0.75,192,439,2.5,0.2216,1.205,0.429,0.4,,,
XAUUSD,4h,1.25,0.75,384,343,2.0,0.9788,1.898,0.863,0.31,,,
XAUUSD,4h,1.25,1.0,96,481,4.4,0.6691,1.643,0.594,0.44,,,
XAUUSD,4h,1.25,1.0,192,379,3.2,0.8454,1.801,0.622,0.35,,,
XAUUSD,4h,1.25,1.0,384,290,2.4,2.0913,2.953,0.637,0.26,76.8,65.7,0.25
XAUUSD,4h,1.25,1.25,96,411,6.1,0.7269,1.72,0.553,0.38,58.8,62.9,0.25
XAUUSD,4h,1.25,1.25,192,303,4.6,1.1487,2.111,0.553,0.28,,,
XAUUSD,4h,1.25,1.25,384,155,5.2,4.3544,5.234,0.566,0.14,66.7,70.4,1.0
XAUUSD,4h,1.25,1.5,96,345,8.1,0.4515,1.464,0.459,0.31,71.4,60.2,0.25
XAUUSD,4h,1.25,1.5,192,238,5.9,0.5471,1.547,0.49,0.22,68.1,61.7,0.5
XAUUSD,4h,1.25,1.5,384,128,5.5,3.8541,4.83,0.584,0.12,89.5,67.0,1.0
XAUUSD,4h,1.25,2.0,96,302,8.9,0.6306,1.662,1.046,0.28,86.2,68.5,0.25
XAUUSD,4h,1.25,2.0,192,200,7.5,0.4493,1.463,1.401,0.18,38.2,62.8,1.75
XAUUSD,4h,1.25,2.0,384,128,6.2,1.2252,2.252,0.541,0.12,108.3,73.0,0.5
XAGUSD,1h,0.25,0.75,96,1913,5.0,-0.2511,0.802,0.552,1.75,,,
