symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
BTCUSDT,4h,2019-07-01,100,10,1.391,100,2711,365,0.651,0.525,-4.766,3.975,0.463,-1,24,1,1,2.0,1,2.0,3,1.0,0,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2019-10-01,30,1,2.189,38,7740,5,0.665,0.444,-1.875,0.054,0.2,8,0,1,1,1.5,0,0.5,0,0.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2019-10-01,30,10,2.189,38,7740,72,0.863,0.618,-0.282,0.784,0.4444,8,0,1,1,1.5,0,0.5,0,0.0,0,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2019-10-01,100,1,1.466,181,2761,56,0.956,0.812,-0.543,0.61,0.5,-1,24,1,1,1.5,1,2.0,1,0.0,3,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2019-10-01,100,10,1.466,181,2761,423,0.686,0.518,-4.754,4.606,0.4586,-1,24,1,1,1.5,1,2.0,1,0.0,3,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2020-01-01,30,1,2.703,34,8032,7,0.944,0.883,-0.063,0.077,0.7143,8,0,1,1,1.5,1,2.0,2,0.0,3,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2020-01-01,30,10,2.703,34,8032,93,1.608,1.275,2.465,1.024,0.5054,8,0,1,1,1.5,1,2.0,2,0.0,3,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2020-01-01,100,1,1.477,102,2822,20,1.456,1.061,3.886,0.22,0.45,-1,24,2,1,2.5,0,0.5,1,0.0,1,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2020-01-01,100,10,1.477,102,2822,244,1.017,0.78,0.101,2.686,0.418,-1,24,2,1,2.5,0,0.5,1,0.0,1,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2020-04-01,30,1,2.595,37,8536,5,1.171,0.599,0.036,0.055,0.6,8,0,4,1,2.0,1,2.0,3,1.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2020-04-01,30,10,2.595,37,8536,71,0.206,0.11,-2.483,0.782,0.4366,8,0,4,1,2.0,1,2.0,3,1.0,3,2.0,0.0,0.0,2,10.0,rvol>2.0
BTCUSDT,4h,2020-04-01,100,1,1.615,127,2860,32,1.035,0.824,0.23,0.352,0.4062,-1,24,2,1,1.5,1,1.0,3,2.0,1,0.0,0.5,0.0,2,10.0,ATRrank>0.5
