symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
EURUSD,5m,100,1,7,1,226,0.656,0.505,0.1858,-0.3544,-80.11,0.357,-80.9,1.43
USDCAD,30m,100,10,7,0,2789,0.653,0.498,0.2926,-0.0239,-66.54,4.376,-66.78,1.327
EURUSD,30m,100,10,7,0,3267,0.651,0.501,0.2923,-0.0253,-82.63,5.123,-83.3,1.385
GBPUSD,1h,100,10,7,1,2716,0.651,0.53,0.3428,-0.0162,-43.9,4.262,-48.48,1.59
USDJPY,5m,100,10,7,0,4208,0.647,0.516,0.2132,-0.0258,-108.72,6.606,-112.03,1.476
EURUSD,15m,30,1,7,3,99,0.647,0.52,0.2121,-0.3073,-30.43,0.159,-53.17,2.255
USDCHF,30m,100,10,7,1,3621,0.645,0.51,0.2414,-0.0177,-64.06,5.687,-80.99,1.425
GBPUSD,1h,30,10,7,0,835,0.643,0.498,0.3617,-0.0207,-17.3,1.326,-17.43,2.372
USDJPY,4h,30,10,7,3,685,0.643,0.498,0.3723,-0.0195,-13.39,1.106,-19.15,2.953
NZDUSD,30m,100,10,7,1,2307,0.642,0.475,0.3286,-0.0241,-55.57,3.623,-57.19,1.493
USDCHF,5m,30,10,7,0,1425,0.634,0.532,0.2989,-0.026,-37.02,2.238,-41.05,1.808
USDCHF,1h,100,10,7,0,2815,0.634,0.48,0.3776,-0.0232,-65.28,4.428,-65.61,1.55
USDJPY,15m,100,1,7,2,241,0.628,0.479,0.249,-0.3214,-77.46,0.379,-94.47,1.685
EURUSD,30m,100,1,7,2,270,0.624,0.483,0.3481,-0.2205,-59.54,0.425,-65.25,1.385
USDCHF,30m,30,10,7,1,865,0.621,0.463,0.3191,-0.026,-22.5,1.36,-25.02,2.169
USDCAD,5m,100,1,7,1,241,0.619,0.479,0.1909,-0.369,-88.93,0.384,-98.78,1.335
XAUUSD,30m,100,1,7,2,321,0.617,0.467,0.1838,-0.3955,-126.95,0.504,-128.62,1.732
AUDUSD,1h,30,10,7,2,829,0.615,0.473,0.3571,-0.0231,-19.13,1.322,-20.67,2.093
USDCAD,4h,100,10,7,2,2175,0.614,0.467,0.3959,-0.0072,-15.72,3.418,-15.75,1.371
USDCAD,5m,30,1,7,2,144,0.614,0.461,0.2708,-0.3245,-46.72,0.23,-68.18,1.509
USDJPY,5m,100,1,7,1,404,0.61,0.481,0.2277,-0.2768,-111.82,0.647,-146.7,1.476
AUDUSD,1h,100,10,7,0,3054,0.608,0.477,0.3428,-0.0156,-47.49,4.805,-48.88,1.601
AUDUSD,1h,30,1,7,2,63,0.607,0.494,0.4762,-0.1632,-10.28,0.111,-15.65,2.093
EURUSD,4h,30,1,7,2,66,0.607,0.496,0.3788,-0.1191,-7.86,0.106,-7.89,2.992
USDCHF,15m,100,10,7,1,2757,0.602,0.483,0.2597,-0.0279,-77.0,4.353,-78.55,1.438
GBPUSD,15m,30,10,7,0,1241,0.6,0.471,0.2732,-0.0299,-37.15,1.948,-42.55,1.838
