symbol,tf,floor,topn,quarters,q_above_1,trades,pf,pf_2x,win,avg_r,total_r,tpd,max_dd_r,train_pf_med
BTCUSDT,4h,30,1,30,14,317,1.072,0.882,0.4637,0.0172,5.44,0.116,-11.89,3.092
BTCUSDT,15m,100,10,30,15,10315,1.07,0.831,0.2528,0.0061,63.23,3.769,-105.04,1.869
XAGUSD,15m,100,1,7,5,426,1.069,0.94,0.2488,0.0287,12.21,0.672,-37.96,1.759
EURUSD,1h,30,10,7,2,948,1.061,0.908,0.3217,0.0041,3.86,1.492,-11.76,2.458
BTCUSDT,30m,30,10,30,14,4054,1.06,0.849,0.3143,0.0043,17.57,1.482,-39.96,2.938
BTCUSDT,30m,100,1,30,12,941,1.053,0.83,0.2295,0.0491,46.23,0.345,-125.71,1.865
USDJPY,15m,30,10,7,4,1346,1.05,0.851,0.2979,0.0037,5.03,2.117,-14.92,2.163
XAUUSD,30m,30,1,7,4,78,1.044,0.892,0.3205,0.0307,2.39,0.125,-20.04,2.41
USDJPY,5m,30,1,7,2,77,1.03,0.893,0.3377,0.0193,1.49,0.123,-18.96,2.469
AUDUSD,5m,100,1,7,4,287,1.03,0.873,0.2195,0.0258,7.4,0.454,-31.49,1.565
USDJPY,1h,100,10,7,3,2566,1.027,0.837,0.3581,0.0014,3.58,4.032,-14.21,1.763
AUDUSD,1h,100,1,7,5,222,1.027,0.875,0.3964,0.0147,3.27,0.351,-29.45,1.855
BTCUSDT,15m,30,10,30,13,5219,1.02,0.798,0.3001,0.0016,8.1,1.912,-43.29,2.744
USDJPY,5m,100,1,7,3,224,1.019,0.81,0.2009,0.0167,3.75,0.352,-50.51,1.816
AUDUSD,4h,30,10,7,3,745,1.015,0.839,0.4886,0.0005,0.41,1.193,-6.53,2.93
GBPUSD,30m,30,1,7,2,196,1.015,0.747,0.2347,0.0148,2.9,0.309,-45.11,2.184
AUDUSD,4h,30,1,7,3,58,0.999,0.819,0.5,-0.0005,-0.03,0.093,-6.25,2.93
GBPUSD,15m,30,10,7,3,1697,0.994,0.798,0.3159,-0.0005,-0.81,2.671,-25.06,2.079
NZDUSD,15m,30,10,7,4,1299,0.992,0.809,0.2771,-0.0006,-0.8,2.056,-16.72,1.794
USDCHF,30m,30,10,7,3,877,0.988,0.788,0.3478,-0.0008,-0.74,1.407,-13.14,2.246
GBPUSD,15m,30,1,7,4,138,0.986,0.81,0.3043,-0.0108,-1.49,0.218,-37.24,2.079
XAUUSD,15m,100,1,7,4,318,0.985,0.81,0.217,-0.0093,-2.95,0.504,-45.41,1.744
USDJPY,15m,30,1,7,3,90,0.984,0.837,0.3222,-0.0105,-0.94,0.144,-17.06,2.163
XAGUSD,5m,100,1,7,4,206,0.981,0.866,0.2136,-0.0162,-3.34,0.327,-38.27,1.695
BTCUSDT,1h,30,10,30,16,3630,0.98,0.766,0.3369,-0.0014,-5.14,1.338,-35.7,2.971
USDJPY,15m,100,1,7,3,318,0.978,0.8,0.1918,-0.0198,-6.29,0.505,-58.44,1.751
GBPUSD,4h,100,1,7,4,198,0.975,0.856,0.4343,-0.009,-1.79,0.313,-14.95,1.397
USDJPY,5m,100,10,7,3,3145,0.97,0.778,0.22,-0.0027,-8.34,4.937,-32.57,1.816
USDCHF,30m,30,1,7,4,60,0.967,0.755,0.4,-0.0214,-1.28,0.097,-7.27,2.246
AUDUSD,15m,100,1,7,3,226,0.962,0.817,0.2035,-0.0348,-7.86,0.358,-67.4,1.61
EURUSD,4h,30,1,7,4,90,0.96,0.827,0.4556,-0.0149,-1.34,0.144,-11.58,2.262
GBPUSD,5m,30,10,7,3,1554,0.96,0.769,0.3089,-0.003,-4.72,2.452,-15.96,1.622
XAGUSD,1h,100,1,7,3,148,0.956,0.805,0.3784,-0.0222,-3.28,0.234,-17.39,1.788
XAUUSD,30m,100,1,7,3,190,0.954,0.81,0.2579,-0.0363,-6.89,0.3,-33.29,1.688
EURUSD,1h,100,10,7,2,2469,0.954,0.802,0.3451,-0.0028,-6.9,3.881,-12.29,1.773
GBPUSD,30m,30,10,7,4,1743,0.954,0.723,0.2943,-0.0038,-6.67,2.748,-28.14,2.184
USDJPY,5m,30,10,7,3,1017,0.944,0.793,0.3294,-0.0037,-3.76,1.6,-17.93,2.469
GBPUSD,1h,30,10,7,2,1323,0.93,0.738,0.3477,-0.0046,-6.08,2.091,-15.32,2.377
EURUSD,5m,100,10,7,3,3025,0.926,0.735,0.2169,-0.0069,-20.92,4.761,-47.96,1.619
GBPUSD,4h,30,1,7,3,90,0.922,0.798,0.3111,-0.0342,-3.08,0.142,-10.01,2.616
USDJPY,4h,100,10,7,4,2024,0.919,0.725,0.3547,-0.0041,-8.28,3.188,-25.76,1.746
GBPUSD,1h,30,1,7,3,104,0.91,0.781,0.3462,-0.0541,-5.63,0.173,-15.43,2.377
USDCAD,30m,30,1,7,3,91,0.906,0.658,0.2857,-0.0847,-7.7,0.145,-27.64,1.637
NZDUSD,15m,100,10,7,2,2636,0.905,0.74,0.264,-0.0069,-18.12,4.146,-30.02,1.464
GBPUSD,15m,100,10,7,3,2864,0.902,0.71,0.2992,-0.0072,-20.55,4.508,-47.68,1.654
USDJPY,30m,30,1,7,4,84,0.901,0.751,0.3929,-0.0474,-3.98,0.136,-9.92,2.877
BTCUSDT,1h,30,1,30,12,348,0.898,0.697,0.2902,-0.0815,-28.37,0.133,-73.07,2.971
AUDUSD,1h,100,10,7,4,2313,0.897,0.76,0.3895,-0.0057,-13.19,3.652,-22.1,1.855
XAGUSD,30m,100,1,7,3,263,0.896,0.742,0.2167,-0.0911,-23.95,0.416,-73.84,1.912
AUDUSD,4h,100,10,7,2,1781,0.891,0.73,0.4206,-0.0038,-6.69,2.8,-11.06,1.518
AUDUSD,4h,100,1,7,3,169,0.885,0.746,0.4142,-0.0319,-5.39,0.269,-15.37,1.518
NZDUSD,15m,100,1,7,2,260,0.884,0.725,0.2731,-0.0847,-22.01,0.409,-47.74,1.464
EURUSD,4h,30,10,7,4,879,0.883,0.769,0.4323,-0.0041,-3.61,1.399,-8.03,2.262
AUDUSD,15m,100,10,7,1,2674,0.882,0.742,0.2304,-0.0103,-27.47,4.206,-38.06,1.61
USDJPY,30m,30,10,7,2,787,0.881,0.703,0.3748,-0.0065,-5.15,1.273,-11.41,2.877
GBPUSD,1h,100,10,7,2,2725,0.876,0.699,0.3501,-0.0082,-22.26,4.289,-41.68,1.657
