tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,16,1.5,4,True,null0,38005,2209,17.20461747397012,4.30115436849253,0.9951046602729835,0.5254312042919032,0.2834657430839547,0.15869840120859896,0.38173924483620575,-0.07742731785561657,-2942.625215102708,2943.707026707486,1.0,-17.64780040134339,-1.3321073857413797,inf
15m,50,16,1.5,4,False,null0,38005,2209,17.20461747397012,4.30115436849253,0.9980859370006654,0.7208732578270142,0.5221356952042091,0.3805567744596053,0.4395211156426786,-0.038233284413031206,-1453.055974117251,1454.3373575448836,1.0,-8.923464919550717,-0.6577890330997063,inf
15m,50,16,2.0,1,True,null0,66323,2209,30.023992756903578,7.5059981892258945,1.009241284316201,0.3841907332160252,0.16206897337895432,0.0771838442600178,0.3098623403645794,-0.14846500956444061,-9846.644829342395,9847.292836089293,0.25,-32.86353668836919,-4.457512371816385,inf
15m,50,16,2.0,1,False,null0,66323,2209,30.023992756903578,7.5059981892258945,1.008019234442488,0.611863757499362,0.3780237587074201,0.24018535502122756,0.3976448592494308,-0.0729253387340509,-4836.627240858457,4838.614299714043,0.25,-16.67094425190625,-2.189509841945884,inf
15m,50,16,2.0,2,True,null0,33192,2209,15.025803531009506,3.7564508827523766,1.013933769258236,0.45085703850113057,0.21103368475031498,0.10653373702133224,0.34939141961918535,-0.10420499149961938,-3458.7720778553667,3460.4769093367527,0.5,-19.798880921691786,-1.5657637292237967,inf
15m,50,16,2.0,2,False,null0,33192,2209,15.025803531009506,3.7564508827523766,1.012629194051572,0.6681858839775539,0.444340846891951,0.2997867353555915,0.4213364666184623,-0.05083407807954245,-1687.2847196161729,1689.900181881051,0.5,-9.928664499338995,-0.7638228699032018,inf
15m,50,16,2.0,4,True,null0,16578,2209,7.504753282028067,1.8761883205070167,1.0039710995510278,0.5247949400332848,0.2801397216250653,0.15497947349386437,0.3844854626613584,-0.0745771270843684,-1236.3396128046593,1236.593191743007,1.0,-11.698107396968094,-0.559682939250638,inf
15m,50,16,2.0,4,False,null0,16578,2209,7.504753282028067,1.8761883205070167,1.0067715356794125,0.7230677955915003,0.5207077330056418,0.3772963200757853,0.44052358547472553,-0.03634652137944861,-602.5526314284991,602.9937790429168,1.0,-5.849591556992832,-0.2727716756127203,inf
15m,50,16,2.5,1,True,null0,25477,2209,11.53327297419647,2.8833182435491174,0.988111018641514,0.3781308730955201,0.16010492542939928,0.07604448578532623,0.3091023275895906,-0.14545130975214016,-3705.6630185552744,3705.6630185552817,0.25,-20.66697143401874,-1.6775296598258371,inf
15m,50,16,2.5,1,False,null0,25477,2209,11.53327297419647,2.8833182435491174,0.9877392219114156,0.6003217333392268,0.3711260269955004,0.23607229925828382,0.3987125642736586,-0.07276725389830771,-1853.8913275671855,1853.9125506208204,0.25,-10.699553916612095,-0.839244602791845,inf
15m,50,16,2.5,2,True,null0,12776,2209,5.783612494341331,1.4459031235853328,1.0001988966692417,0.44632125746121554,0.20989751378609858,0.10671017155855081,0.34971822166562305,-0.10150200352485977,-1296.7895970336085,1296.9391840212386,0.5,-12.413571379433654,-0.5870482557870568,inf
15m,50,16,2.5,2,False,null0,12776,2209,5.783612494341331,1.4459031235853328,1.00486159985888,0.6630960693293579,0.44124432213392045,0.29807759947312124,0.4172667501565435,-0.04959037548980042,-633.5666372576902,634.3718242071407,0.5,-6.25437122107948,-0.2868115152818878,inf
15m,50,16,2.5,4,True,null0,6383,2208,2.8908514492753623,0.7227128623188406,0.9815997848733276,0.5223477676893585,0.28341248859166784,0.15888156068806186,0.38320538931536896,-0.0737043822145641,-470.45507167556264,472.029004279558,1.0,-7.243287389266328,-0.21306842014291785,inf
15m,50,16,2.5,4,False,null0,6383,2208,2.8908514492753623,0.7227128623188406,0.9966586473846737,0.7210412721617422,0.5229454879291683,0.3817394054080358,0.43897853673821086,-0.03575462160444991,-228.22174970120378,230.64114339663374,1.0,-3.6212561711285,-0.1033612996835162,inf
15m,50,16,3.0,1,True,null0,8820,2208,3.994565217391304,0.998641304347826,1.0363048355820332,0.3990595364411654,0.17109456461185085,0.08266104101995932,0.31099773242630385,-0.1295233855425562,-1142.396260485346,1142.3962604853446,0.25,-11.469515640994562,-0.5173896107270588,inf
15m,50,16,3.0,1,False,null0,8820,2208,3.994565217391304,0.998641304347826,1.0296584585477362,0.6263046395133398,0.38769956110135523,0.24756437010624108,0.40147392290249434,-0.06251457667295608,-551.3785662554726,551.3785662554726,0.25,-5.755776393048489,-0.24971855355773215,inf
15m,50,16,3.0,2,True,null0,4411,2207,1.9986406887177164,0.4996601721794291,1.0514974075561152,0.46452110665246427,0.21903597739897937,0.11246348338276137,0.3448197687599184,-0.08910330140764987,-393.0346625091436,393.0346625091443,0.5,-7.00332002506325,-0.1780854836924076,inf
15m,50,16,3.0,2,False,null0,4411,2207,1.9986406887177164,0.4996601721794291,1.050742306381515,0.6882643761105699,0.4556569935011856,0.30716864838312147,0.41872591249149854,-0.041385749628215944,-182.55254161006053,182.84042447145308,0.5,-3.3487884795639666,-0.08271524314003649,inf
15m,50,16,3.0,4,True,null0,2204,2206,0.99909338168631,0.2497733454215775,1.0021294937408902,0.5333467418510548,0.2888825987347878,0.16228150232730695,0.3874773139745917,-0.0668367725560133,-147.3082467134533,148.12243265986197,1.0,-4.1455514971322085,-0.06677617711398608,inf
15m,50,16,3.0,4,False,null0,2204,2206,0.99909338168631,0.2497733454215775,1.0072292890662176,0.728546288282295,0.5281739535796469,0.3851903543089663,0.4396551724137931,-0.03239092927607789,-71.38960812447567,72.69177932235428,1.0,-2.072290417604292,-0.032361563066398764,inf
