tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,4,1.5,4,True,real,27061,2209,12.250339520144863,3.0625848800362157,1.0283938137133566,0.21991415973015177,0.06696719586217298,0.027512679830467,0.27219984479509257,-0.19661323885043364,-5320.550856531585,5320.921469800965,1.0,-33.94247087370979,-2.4085789300731486,inf
15m,50,4,1.5,4,False,real,27061,2209,12.250339520144863,3.0625848800362157,1.0133597618675523,0.5965205017806037,0.3592100929029914,0.22489369318644792,0.4219356269169654,-0.058273190194200346,-1576.9307998452555,1582.6586140328384,1.0,-11.719471270952177,-0.7138663648009305,inf
15m,50,4,2.0,1,True,real,49698,2209,22.497962879130828,5.624490719782707,1.0150979644243248,0.10693230024870796,0.02516051726492338,0.009299788305872294,0.17805545494788522,-0.37125335542717947,-18450.549258019964,18450.54925802007,0.25,-68.61929528878198,-8.352444209153447,inf
15m,50,4,2.0,1,False,real,49698,2209,22.497962879130828,5.624490719782707,0.9766090176191362,0.4100010179014432,0.18550689266605055,0.09412085817796811,0.37331482152199286,-0.1201566937892727,-5971.547367939274,5972.107465824517,0.25,-26.368096951791202,-2.703280836550147,inf
15m,50,4,2.0,2,True,real,24801,2209,11.22725215029425,2.8068130375735625,1.0141078905761083,0.17114661874252585,0.04788018115706179,0.019144797327522507,0.2385790895528406,-0.27403012651696956,-6796.2211677473615,6796.267648642674,0.5,-37.55856031181476,-3.076605327183052,inf
15m,50,4,2.0,2,False,real,24801,2209,11.22725215029425,2.8068130375735625,0.9760860790476372,0.509983209497628,0.27502851085093216,0.15739037192049274,0.4107898875045361,-0.08645072337775202,-2144.064390491628,2145.700347883724,0.5,-14.29296217852117,-0.9706040699373598,inf
15m,50,4,2.0,4,True,real,12397,2209,5.612041647804436,1.403010411951109,0.9966110183961165,0.2504002900781979,0.08406969082913153,0.036706218630612034,0.29603936436234574,-0.19844752400894047,-2460.153955138835,2460.8534726711523,1.0,-20.84609263235937,-1.1136957696418448,inf
15m,50,4,2.0,4,False,real,12397,2209,5.612041647804436,1.403010411951109,0.9663528535247433,0.594268527482725,0.3711264085846117,0.23912379881341495,0.4334113091877067,-0.06340018780235188,-785.9721281857562,789.3574863811784,1.0,-7.975145882571011,-0.35580449442542156,inf
15m,50,4,2.5,1,True,real,23973,2209,10.852421910366681,2.7131054775916703,1.0156202695063647,0.1377170966987053,0.0348834875879728,0.013343804677798724,0.21048679764735329,-0.361717030420896,-8671.44237028014,8671.442370280167,0.25,-41.91896392768834,-3.925505826292503,inf
15m,50,4,2.5,1,False,real,23973,2209,10.852421910366681,2.7131054775916703,0.9799509682756951,0.453507736366994,0.22060584325075522,0.11745221502571397,0.3946523171901723,-0.11768950999111816,-2821.3706230170756,2821.9479919449336,0.25,-16.214917802156,-1.277216216847929,inf
15m,50,4,2.5,2,True,real,12055,2209,5.457220461747397,1.3643051154368493,1.0547234168941453,0.22013123200467946,0.06742830972645897,0.028590762540582158,0.27457486520116137,-0.2593185309701223,-3126.0848908448243,3126.262421561664,0.5,-22.468795053046783,-1.4151583933204275,inf
15m,50,4,2.5,2,False,real,12055,2209,5.457220461747397,1.3643051154368493,0.9930500993391105,0.5576769910342178,0.3195254877866231,0.19143829303585636,0.43119037743674826,-0.08247252026229737,-994.2062317619948,996.5318927440541,0.5,-8.619872508739876,-0.450070725107286,inf
15m,50,4,2.5,4,True,real,6000,2209,2.716161158895428,0.679040289723857,1.0711474732641428,0.30848762915977723,0.11174125754681202,0.05081048601489697,0.32366666666666666,-0.18208411394241755,-1092.5046836545052,1093.0148620216698,1.0,-12.52146816368455,-0.49456979794228395,inf
15m,50,4,2.5,4,False,real,6000,2209,2.716161158895428,0.679040289723857,1.0052520282138546,0.6454912498503834,0.4193967024830498,0.279612023531705,0.44716666666666666,-0.057117163616340956,-342.70298169804573,346.69740288758777,1.0,-4.747680875951146,-0.1551394213209804,inf
15m,50,4,3.0,1,True,real,12218,2208,5.533514492753623,1.3833786231884058,0.9885400441929952,0.16670242088231635,0.04573826424700195,0.01808382369915613,0.2387461122933377,-0.35630967826879756,-4353.391649088168,4353.391649088157,0.25,-26.56795199315692,-1.971644768608772,inf
15m,50,4,3.0,1,False,real,12218,2208,5.533514492753623,1.3833786231884058,0.9610264361796069,0.4817577904964245,0.248736448792061,0.1381688381455433,0.41348829595678505,-0.1191282799981564,-1455.5093250174748,1456.3496046674957,0.25,-10.495999594210337,-0.65919806386661,inf
15m,50,4,3.0,2,True,real,6184,2208,2.800724637681159,0.7001811594202898,1.054298164181365,0.2613620236105731,0.08711208461251416,0.0383773153070274,0.3023932729624838,-0.2503084833818506,-1547.907661233364,1548.0216715310469,0.5,-14.732634109462959,-0.701045136428154,inf
15m,50,4,3.0,2,False,real,6184,2208,2.800724637681159,0.7001811594202898,0.9840848709720593,0.5838806135194071,0.35067023755452936,0.2182470896825584,0.4421086675291074,-0.08232280799338652,-509.08424463110225,512.4498453090471,0.5,-5.898077111727295,-0.23056351659017313,inf
15m,50,4,3.0,4,True,real,3029,2208,1.3718297101449275,0.3429574275362319,1.0571281009272488,0.34771985060962596,0.13585022073723216,0.06408526592468582,0.35061076262793,-0.17647219140148376,-534.5342677550943,535.355423946589,1.0,-8.048440934933224,-0.24208979517893764,inf
15m,50,4,3.0,4,False,real,3029,2208,1.3718297101449275,0.3429574275362319,1.023231645949317,0.6857789245458775,0.4627437383814536,0.3178881520085588,0.46186860349950476,-0.05298288613991665,-160.48516211780753,165.72492284431172,1.0,-2.924358872982611,-0.07268349733596356,inf
15m,50,8,1.5,1,True,real,120928,2209,54.74332277048438,13.685830692621096,1.0302591157254268,0.077387564518098,0.016433979477555174,0.005846508573175144,0.14429247155332098,-0.3717327502914093,-44952.89802723954,44952.89802723892,0.25,-124.2416030483756,-20.34988593356249,inf
15m,50,8,1.5,1,False,real,120928,2209,54.74332277048438,13.685830692621096,0.9920978325837319,0.3658116517526782,0.1512289244119782,0.07216589825541252,0.34709083090764753,-0.11857940696153646,-14339.57052504468,14339.768368074485,0.25,-47.298102726199744,-6.491430749228013,inf
15m,50,8,1.5,2,True,real,60530,2209,27.40153915799004,6.85038478949751,1.0415937607977286,0.13684280318965683,0.03458139610767341,0.013172320355554604,0.20779778622170825,-0.2722869567382109,-16481.529491363905,16481.529491363865,0.5,-66.56836463150184,-7.461081707272026,inf
15m,50,8,1.5,2,False,real,60530,2209,27.40153915799004,6.85038478949751,0.9978073995648502,0.4793064679983738,0.24259044290000167,0.13265222085659287,0.3906823062943995,-0.0840857440595972,-5089.7100879274185,5089.710087927396,0.5,-24.531031805530443,-2.3040788084777812,inf
15m,50,8,1.5,4,True,real,30318,2209,13.724762335898596,3.431190583974649,1.041201141034386,0.2192299884916837,0.06673210705462651,0.027543926195127966,0.267530839765156,-0.1935099837980378,-5866.83568878891,5867.265260516258,1.0,-35.72005595758684,-2.655878537251657,inf
15m,50,8,1.5,4,False,real,30318,2209,13.724762335898596,3.431190583974649,0.9886613635068376,0.5753018415146877,0.3429141396450822,0.21276250953124545,0.4167491259317897,-0.06055404174917907,-1835.877437751611,1837.3356377521025,1.0,-13.160503483750473,-0.831089831485564,inf
15m,50,8,2.0,1,True,real,55867,2209,25.29062924400181,6.3226573110004525,1.0315433464300003,0.1014381580169374,0.02359294587198924,0.008780367844455928,0.17101329944332075,-0.36722285478948086,-20515.639228523927,20515.953050033993,0.25,-74.92042754983662,-9.287297070404675,inf
15m,50,8,2.0,1,False,real,55867,2209,25.29062924400181,6.3226573110004525,0.9862240022047497,0.4020055692870039,0.17829037641712506,0.0890940864277478,0.3652603504752358,-0.11837170687530893,-6613.072148002884,6614.015917592259,0.25,-28.862908290981405,-2.993694951563098,inf
15m,50,8,2.0,2,True,real,27975,2209,12.664101403349932,3.166025350837483,1.0460855155296667,0.16750340914649925,0.045958959846342747,0.01822116952496244,0.23352993744414655,-0.26859628702738136,-7513.981129590993,7514.158660307887,0.5,-40.73308100920386,-3.401530615478041,inf
15m,50,8,2.0,2,False,real,27975,2209,12.664101403349932,3.166025350837483,1.0001154340218605,0.5122961318902518,0.2722136500070587,0.15359461702752322,0.4083288650580876,-0.08301597375221562,-2322.3718657182317,2322.5843221156606,0.5,-15.235855310536815,-1.0513227096958948,inf
15m,50,8,2.0,4,True,real,13922,2209,6.302399275690358,1.5755998189225895,1.033162142266169,0.24812570514395407,0.08016765686334815,0.03379797199843671,0.2894699037494613,-0.19211079984295948,-2674.5665554136817,2675.076733780837,1.0,-22.520630531500974,-1.210758965782563,inf
15m,50,8,2.0,4,False,real,13922,2209,6.302399275690358,1.5755998189225895,0.9921058073033483,0.6023912298611944,0.37171298550979676,0.2368348589280649,0.43391754058324955,-0.059708921911520545,-831.267610852189,832.4226086049019,1.0,-8.304935738995841,-0.37630946620741923,inf
15m,50,8,2.5,1,True,real,25907,2208,11.733242753623188,2.933310688405797,1.0100695813837213,0.13117308750464626,0.03330656654543942,0.012882634669728329,0.20183734125911915,-0.3588551971302637,-9296.861592053741,9296.861592053812,0.25,-43.89254360522101,-4.210535141328688,inf
15m,50,8,2.5,1,False,real,25907,2208,11.733242753623188,2.933310688405797,0.9786198648184646,0.4436903982971438,0.21272742640572284,0.11221241329344132,0.38723125024124755,-0.11661229666879974,-3021.074769798595,3021.358999528876,0.25,-16.971620504619114,-1.368240384872552,inf
