sym,feature,horizon,n,q1,q3,q5,spread,abs_spread,monotone,null_best,beats_null,years_same_sign,years,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,dimb_1_4h,30m,377009,0.23632733290545707,0.06528501544820361,0.6598267226662288,0.4234993897607717,0.4234993897607717,0.75,0.787195260967242,False,4,4,False,False,False,False
BTCUSDT,dimb_1_4h,1h,377003,0.7828344002558092,0.15539095708101985,0.7808678893180216,-0.0019665109377875467,0.0019665109377875467,0.5,1.4350223795442707,False,2,4,False,False,False,False
BTCUSDT,dimb_1_4h,2h,376991,1.5183154105001617,0.9769314067269809,0.7830982774118468,-0.7352171330883149,0.7352171330883149,0.5,1.841708390219581,False,3,4,False,False,False,False
BTCUSDT,dimb_1_4h,4h,376967,0.9028384517159537,2.75716606230753,1.9741932642262554,1.0713548125103016,1.0713548125103016,0.75,2.920810713527082,False,3,4,False,False,False,False
BTCUSDT,imbxthin_1,15m,371428,0.27488349995838124,0.1589655151877395,0.1375153127981274,-0.13736818716025384,0.13736818716025384,0.5,0.16285243789241874,False,3,4,False,False,False,False
BTCUSDT,imbxthin_1,30m,371425,0.49456859499392597,0.32302660274558304,0.3613785098942432,-0.13319008509968278,0.13319008509968278,0.5,0.3801602727924577,False,2,4,False,False,False,False
BTCUSDT,imbxthin_1,1h,371419,0.5501297997759292,0.3486938633361367,0.8719142137497091,0.3217844139737799,0.3217844139737799,0.75,1.3567599949526477,False,3,4,False,False,False,False
BTCUSDT,imbxthin_1,2h,371407,0.09068296188321126,0.852765774405809,2.055433004347058,1.9647500424638469,1.9647500424638469,0.75,1.4538093785699597,True,4,4,False,False,False,False
BTCUSDT,imbxthin_1,4h,371383,-0.6314904748150835,2.3628578855988005,3.4842901681824388,4.115780642997522,4.115780642997522,0.75,3.7598870926234587,True,4,4,False,False,False,False
BTCUSDT,imbxthin_0.2,15m,65067,0.2522410017497108,0.20501560379397735,-0.4488072230588514,-0.7010482248085622,0.7010482248085622,0.75,0.39910933229056555,True,1,1,False,False,False,False
BTCUSDT,imbxthin_0.2,30m,65064,0.13070010707517538,0.0980041550016561,-0.5600575968293993,-0.6907577039045747,0.6907577039045747,0.75,0.8861401936397516,False,1,1,False,False,False,False
BTCUSDT,imbxthin_0.2,1h,65058,0.7791791901754902,0.5222879588667789,-1.394499267063736,-2.1736784572392263,2.1736784572392263,0.75,2.782691936813001,False,1,1,False,False,False,False
BTCUSDT,imbxthin_0.2,2h,65046,-0.40647207441197064,1.3638306677155334,-1.700944633049296,-1.2944725586373256,1.2944725586373256,0.75,2.769344041401651,False,1,1,False,False,False,False
BTCUSDT,imbxthin_0.2,4h,65022,-3.0373980215370824,1.3748246215659101,-2.1728749614566745,0.8645230600804079,0.8645230600804079,0.5,7.8682891173616145,False,1,1,False,False,False,False
ETHUSDT,imbz_0.2,15m,65067,-0.24650680520875287,-0.08798871430857161,-0.10215869843844763,0.14434810677030524,0.14434810677030524,0.5,0.8156585253935185,False,1,1,False,False,False,False
ETHUSDT,imbz_0.2,30m,65064,-0.7673106603163715,0.31059798054565974,-0.7370303924759679,0.030280267840403607,0.030280267840403607,0.5,1.3056123561188575,False,1,1,False,False,False,False
ETHUSDT,imbz_0.2,1h,65058,-0.9288822640425612,0.4870610552306374,-1.2831291511549587,-0.3542468871123975,0.3542468871123975,0.5,2.726035181402725,False,1,1,False,False,False,False
ETHUSDT,imbz_0.2,2h,65046,-2.185162021463568,0.6627312344728776,-0.7586169949346595,1.4265450265289084,1.4265450265289084,0.75,2.7826901463894176,False,1,1,False,False,False,False
ETHUSDT,imbz_0.2,4h,65022,-2.0148295770962905,-0.27627509254773247,-2.3618886855848116,-0.34705910848852106,0.34705910848852106,0.75,8.681013941715849,False,1,1,False,False,False,False
ETHUSDT,depz_0.2,15m,65067,-0.27027121687345274,-0.3227506256169374,0.042581280622372736,0.31285249749582544,0.31285249749582544,0.75,0.6830225295569541,False,1,1,False,False,False,False
ETHUSDT,depz_0.2,30m,65064,-0.9615289378017277,-0.3965066733155828,0.29022956256279203,1.2517585003645197,1.2517585003645197,0.5,1.8913964463490207,False,1,1,False,False,False,False
