sym,clip_usd,mode,median_bps_fine,n_fine,fillable,median_bps,p90_bps,p99_bps,round_trip_median
ETHUSDT,1000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
ETHUSDT,5000000,uniform,3.2479439236279894,3508,1.0,4.3578802245026065,6.270883612149974,8.174132323903413,8.715760449005213
ETHUSDT,5000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
SOLUSDT,1000,uniform,0.0025998741367243843,3509,1.0,0.0034812578487725446,0.017490015065481715,0.026894209662119157,0.006962515697545089
SOLUSDT,1000,edge,20.0,3509,1.0,100.0,100.0,100.0,200.0
SOLUSDT,10000,uniform,0.025998741367243842,3509,1.0,0.03481257848772545,0.17490015065481718,0.26894209662119156,0.0696251569754509
SOLUSDT,10000,edge,20.0,3509,1.0,100.0,100.0,100.0,200.0
SOLUSDT,50000,uniform,0.12999370683621922,3509,1.0,0.17406289243862724,0.8745007532740858,1.3447104831059575,0.3481257848772545
SOLUSDT,50000,edge,20.0,3509,1.0,100.0,100.0,100.0,200.0
SOLUSDT,250000,uniform,0.6499685341810961,3509,1.0,0.8703144621931361,4.372503766370429,6.723552415529788,1.7406289243862723
SOLUSDT,250000,edge,20.0,3509,1.0,100.0,100.0,100.0,200.0
SOLUSDT,1000000,uniform,2.5998741367243845,3509,1.0,3.4812578487725445,17.490015065481717,26.894209662119152,6.962515697545089
SOLUSDT,1000000,edge,20.0,3509,1.0,100.0,100.0,100.0,200.0
SOLUSDT,5000000,uniform,13.039364542751454,3509,0.9996515332536838,17.28413941264719,92.7104016616976,151.07618153682637,34.56827882529438
SOLUSDT,5000000,edge,38.458559304880005,3509,0.9996515332536838,100.0,144.332995724,203.37216664220003,200.0
XRPUSDT,1000,uniform,0.005229256890634285,3508,1.0,0.007470664304038842,0.013432106367224746,0.019441337024190274,0.014941328608077684
XRPUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
XRPUSDT,10000,uniform,0.052292568906342846,3508,1.0,0.07470664304038842,0.13432106367224747,0.19441337024190275,0.14941328608077684
XRPUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
XRPUSDT,50000,uniform,0.2614628445317143,3508,1.0,0.3735332152019421,0.6716053183612374,0.9720668512095139,0.7470664304038842
XRPUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
XRPUSDT,250000,uniform,1.307314222658571,3508,1.0,1.8676660760097104,3.3580265918061865,4.860334256047569,3.7353321520194207
XRPUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
XRPUSDT,1000000,uniform,5.229256890634284,3508,1.0,7.470664304038841,13.430165435568188,19.437546349751106,14.941328608077683
XRPUSDT,1000000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
XRPUSDT,5000000,uniform,26.110288590905117,3508,0.9999502561806696,35.52138655293871,69.96254875892394,104.45821375086015,71.04277310587742
XRPUSDT,5000000,edge,69.40291791544621,3508,0.9999502561806696,100.0,125.50503987442,158.68924637693448,200.0
DOGEUSDT,1000,uniform,0.008516352806976352,3508,1.0,0.009513341151213186,0.016180877548322294,0.020613848293486985,0.019026682302426372
DOGEUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOGEUSDT,10000,uniform,0.08516352806976349,3508,1.0,0.09513341151213187,0.16180877548322292,0.20613848293486986,0.19026682302426373
DOGEUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOGEUSDT,50000,uniform,0.4258176403488175,3508,1.0,0.4756670575606593,0.8090438774161148,1.0306924146743492,0.9513341151213186
DOGEUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
DOGEUSDT,250000,uniform,2.129088201744088,3508,1.0,2.3783352878032966,4.045219387080574,5.153462073371746,4.756670575606593
