sym,feature,horizon,n,q1,q3,q5,spread,abs_spread,monotone,null_best,beats_null,years_same_sign,years,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,ddvol_1d,15m,568640,-0.14429111734991984,-0.02964433654378574,0.18305824241605564,0.32734935976597546,0.32734935976597546,0.75,0.40666090621899165,False,6,6,False,False,False,False
BTCUSDT,ddvol_1d,30m,568637,-0.33830340067421766,-0.05188104200863439,0.30723802661472094,0.6455414272889386,0.6455414272889386,0.75,0.8700785782550706,False,5,6,False,False,False,False
BTCUSDT,ddvol_1d,1h,568631,-0.6024648078807248,-0.03352846846106791,0.4807044222671748,1.0831692301478997,1.0831692301478997,0.75,0.8157665090101436,True,5,6,False,False,False,False
BTCUSDT,ddvol_1d,2h,568619,-1.3213862833850674,0.056826967913111155,0.7950932488446566,2.116479532229724,2.116479532229724,0.75,3.0259196439137015,False,5,6,False,False,False,False
BTCUSDT,ddvol_1d,4h,568595,-2.8763588877710777,1.3763397133782354,0.4012815868715196,3.277640474642597,3.277640474642597,0.75,3.6077627583768135,False,4,6,False,False,False,False
BTCUSDT,vrp,15m,565615,-0.1984285665605687,-0.1939958962704075,0.02136110050619323,0.21978966706676192,0.21978966706676192,0.5,0.42891744279029503,False,4,6,False,False,False,False
BTCUSDT,vrp,30m,565612,-0.417776160154102,-0.31996294761942334,0.04551376062400152,0.46328992077810355,0.46328992077810355,0.5,0.6078305297001552,False,4,6,False,False,False,False
BTCUSDT,vrp,1h,565606,-0.8470641976624688,-0.4959011483785169,0.08489688710934233,0.931961084771811,0.931961084771811,0.5,0.7673154845380742,True,4,6,False,False,False,False
BTCUSDT,vrp,2h,565594,-1.6494121501054801,-1.013741093438492,0.39177227823471394,2.041184428340194,2.041184428340194,0.5,2.8643463652180285,False,4,6,False,False,False,False
BTCUSDT,vrp,4h,565570,-3.3119339253089453,-1.962608160731912,0.8686691516053161,4.180603076914261,4.180603076914261,0.5,3.7176942849597268,True,4,6,False,False,False,False
BTCUSDT,vrpz,15m,564607,-0.1680637682428234,-0.03107071908175515,0.3298104846964447,0.4978742529392681,0.4978742529392681,0.75,0.3946278930109778,True,6,6,False,False,False,False
BTCUSDT,vrpz,30m,564604,-0.33342758972657266,0.000726648731010018,0.6552498248334344,0.988677414560007,0.988677414560007,0.75,0.7529706044454938,True,6,6,False,False,False,False
BTCUSDT,vrpz,1h,564598,-0.8268164757375847,0.1153322043153802,1.221901167489823,2.0487176432274077,2.0487176432274077,0.75,1.0741458569503104,True,6,6,False,False,False,False
BTCUSDT,vrpz,2h,564586,-1.8116450322443576,0.8201863401201902,1.9521727049473354,3.763817737191693,3.763817737191693,0.75,1.5049902290199952,True,6,6,False,False,False,False
