filter,symbol,configs,median_pf_base,median_pf_filtered,median_lift,share_improved,trades_kept,best_pf,median_tpd
entry window 16 bars,XAUUSD,1440,0.76,0.761,0.0,0.319,0.995,1.263,0.683
breakeven at 1.5R,XAUUSD,1440,0.76,0.75,0.0,0.162,1.0,1.144,0.697
range > 0.5x ATR,XAUUSD,1440,0.76,0.761,0.0,0.115,1.0,1.275,0.696
range > 1.0x ATR,XAUUSD,1440,0.76,0.763,0.0,0.305,0.991,1.355,0.647
breakeven at 1.0R,XAUUSD,1440,0.76,0.731,-0.006,0.133,1.0,1.176,0.697
with 20-EMA,XAUUSD,1398,0.761,0.679,-0.016,0.234,0.996,1.188,0.667
"retest, 16 bars",XAUUSD,1440,0.76,0.732,-0.024,0.399,0.856,1.168,0.587
"retest, 4 bars",XAUUSD,1440,0.76,0.732,-0.025,0.394,0.842,1.141,0.581
"retest, 8 bars",XAUUSD,1440,0.76,0.732,-0.026,0.392,0.853,1.137,0.586
against 200-EMA,XAUUSD,1440,0.76,0.717,-0.037,0.26,0.695,1.075,0.466
ATR rank < 0.5,XAUUSD,960,0.746,0.7,-0.044,0.249,0.363,1.381,0.256
against 5-day trend,XAUUSD,1440,0.76,0.699,-0.052,0.185,0.723,1.052,0.498
ATR rank < 0.3,XAUUSD,615,0.716,0.631,-0.063,0.249,0.259,1.318,0.173
breakeven at 0.5R,XAUUSD,1440,0.76,0.681,-0.066,0.095,1.0,1.162,0.697
