dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,hour,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,cost_mult
0,1,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,969,0.786,0.2497,-0.1535,-0.1535,0.996,6.97,1.38,-1.5571,-155.71,-1.595,-148.72,56.4,27.2,0.3251,0.469,0.698,0.0,0.302,OOS_cost0x,0.0
0,1,1,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,969,0.82,0.4469,-0.0959,-0.0959,0.996,6.97,0.55,-1.0143,-101.43,-1.872,-92.95,335.4,67.1,0.1666,0.469,0.521,0.432,0.046,OOS_cost0x,0.0
0,1,1,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,969,0.798,0.3581,-0.1239,-0.1239,0.996,6.97,0.78,-1.2589,-125.89,-2.067,-120.03,231.9,50.7,0.1795,0.469,0.599,0.308,0.094,OOS_cost0x,0.0
0,1,1,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,969,0.801,0.3137,-0.1307,-0.1307,0.996,6.97,0.94,-1.4229,-142.29,-1.956,-126.66,162.0,44.6,0.2158,0.469,0.641,0.232,0.127,OOS_cost0x,0.0
0,1,1,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,969,0.796,0.2735,-0.1414,-0.1414,0.996,6.97,1.13,-1.5129,-151.29,-1.859,-136.98,110.1,37.5,0.2541,0.469,0.676,0.136,0.188,OOS_cost0x,0.0
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,946,0.891,0.2791,-0.0746,-0.0746,0.972,6.8,1.56,-0.9837,-98.37,-0.726,-70.6,41.5,30.2,0.4209,0.462,0.668,0.0,0.332,OOS_cost0x,0.0
0,1,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,946,1.44,0.3721,0.2624,0.2624,0.972,6.8,1.82,-0.3125,-31.25,2.422,248.25,19.9,54.7,0.7327,0.538,0.577,0.0,0.423,OOS_cost0x,0.0
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,946,0.807,0.4482,-0.1037,-0.1037,0.972,6.8,0.67,-1.0676,-106.76,-1.998,-98.13,371.9,65.4,0.1496,0.462,0.531,0.426,0.043,OOS_cost0x,0.0
0,1,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,946,1.18,0.5402,0.0805,0.0805,0.972,6.8,0.67,-0.2331,-23.31,1.547,76.13,75.6,289.4,0.7928,0.538,0.438,0.519,0.043,OOS_cost0x,0.0
0,1,2,1.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,946,0.801,0.3636,-0.1214,-0.1214,0.972,6.8,0.95,-1.2017,-120.17,-2.006,-114.87,234.9,52.6,0.1831,0.462,0.598,0.304,0.097,OOS_cost0x,0.0
0,1,2,1.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,946,1.235,0.463,0.1213,0.1213,0.972,6.8,0.97,-0.22,-22.0,1.908,114.71,50.4,195.5,0.795,0.538,0.504,0.406,0.09,OOS_cost0x,0.0
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,946,0.829,0.3266,-0.1098,-0.1098,0.972,6.8,1.11,-1.0869,-108.69,-1.627,-103.91,147.7,49.7,0.252,0.462,0.627,0.228,0.145,OOS_cost0x,0.0
0,1,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,946,1.285,0.4197,0.158,0.158,0.972,6.8,1.19,-0.2522,-25.22,2.166,149.46,38.5,146.9,0.7924,0.538,0.538,0.327,0.135,OOS_cost0x,0.0
0,1,2,1.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,946,0.833,0.296,-0.1115,-0.1115,0.972,6.8,1.31,-1.1741,-117.41,-1.464,-105.5,102.0,42.8,0.2957,0.462,0.653,0.131,0.216,OOS_cost0x,0.0
0,1,2,1.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,946,1.367,0.3858,0.2145,0.2145,0.972,6.8,1.5,-0.2049,-20.49,2.498,202.88,28.1,104.3,0.788,0.538,0.566,0.19,0.244,OOS_cost0x,0.0
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,968,0.809,0.3864,-0.0931,-0.0931,0.995,6.96,2.37,-0.9497,-94.97,-1.488,-90.14,160.2,56.1,0.2595,0.467,0.434,0.0,0.566,OOS_cost0x,0.0
0,1,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,968,1.46,0.5186,0.1707,0.1707,0.995,6.96,2.6,-0.1529,-15.29,2.757,165.2,40.6,289.3,0.877,0.533,0.313,0.0,0.687,OOS_cost0x,0.0
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,968,0.753,0.436,-0.112,-0.112,0.995,6.96,1.81,-1.1037,-110.37,-2.493,-108.41,759.7,65.7,0.0796,0.467,0.408,0.289,0.303,OOS_cost0x,0.0
0,1,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,968,1.328,0.564,0.112,0.112,0.995,6.96,1.81,-0.1406,-14.06,2.493,108.41,65.7,759.7,0.9204,0.533,0.289,0.408,0.303,OOS_cost0x,0.0
0,1,2,2.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,968,0.763,0.405,-0.1129,-0.1129,0.995,6.96,2.06,-1.1386,-113.86,-2.285,-109.27,477.3,62.0,0.115,0.467,0.425,0.165,0.41,OOS_cost0x,0.0
0,1,2,2.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,968,1.412,0.531,0.1488,0.1488,0.995,6.96,2.2,-0.1162,-11.62,2.889,144.08,49.5,587.5,0.9223,0.533,0.305,0.236,0.46,OOS_cost0x,0.0
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,968,0.76,0.3936,-0.1161,-0.1161,0.995,6.96,2.2,-1.2165,-121.65,-2.235,-112.37,393.7,59.0,0.1302,0.467,0.43,0.097,0.473,OOS_cost0x,0.0
0,1,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,968,1.426,0.5227,0.1565,0.1565,0.995,6.96,2.39,-0.1396,-13.96,2.854,151.45,46.3,459.5,0.9085,0.533,0.309,0.13,0.561,OOS_cost0x,0.0
0,1,2,2.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,16,968,0.778,0.3884,-0.1082,-0.1082,0.995,6.96,2.29,-1.1022,-110.22,-1.948,-104.78,275.0,58.5,0.1755,0.467,0.433,0.045,0.522,OOS_cost0x,0.0
0,1,2,2.0,3.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,16,968,1.435,0.5186,0.1613,0.1613,0.995,6.96,2.53,-0.1529,-15.29,2.765,156.16,43.7,353.8,0.89,0.533,0.313,0.048,0.639,OOS_cost0x,0.0
0,0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.805,0.1799,-0.1569,-0.1569,1.0,7.0,2.69,-1.5632,-156.32,-1.241,-152.71,27.5,17.9,0.394,0.478,0.799,0.0,0.201,OOS_cost0x,0.0
0,0,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.867,0.4645,-0.0709,-0.0709,1.0,7.0,0.73,-0.8199,-81.99,-1.362,-68.99,243.0,77.1,0.2409,0.478,0.53,0.46,0.009,OOS_cost0x,0.0
0,0,0,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.869,0.3679,-0.0815,-0.0815,1.0,7.0,1.12,-0.9417,-94.17,-1.303,-79.33,146.7,58.8,0.2863,0.478,0.62,0.359,0.022,OOS_cost0x,0.0
0,0,0,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.822,0.3022,-0.1222,-0.1222,1.0,7.0,1.5,-1.3506,-135.06,-1.75,-118.89,131.3,43.7,0.2498,0.478,0.681,0.27,0.048,OOS_cost0x,0.0
0,0,0,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.746,0.2302,-0.1921,-0.1921,1.0,7.0,1.93,-1.9607,-196.07,-2.41,-186.88,115.5,30.6,0.2097,0.478,0.75,0.168,0.082,OOS_cost0x,0.0
0,0,1,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.649,0.111,-0.3111,-0.3111,1.0,7.0,1.47,-3.1756,-317.56,-2.176,-302.75,24.5,12.5,0.3389,0.476,0.882,0.0,0.118,OOS_cost0x,0.0
0,0,1,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.544,0.3515,-0.2949,-0.2949,1.0,7.0,0.27,-2.9193,-291.93,-5.9,-286.93,4794.5,27.0,0.0056,0.476,0.644,0.351,0.004,OOS_cost0x,0.0
0,0,1,0.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.596,0.2847,-0.2881,-0.2881,1.0,7.0,0.42,-2.838,-283.8,-4.888,-280.3,1031.1,27.1,0.0256,0.476,0.71,0.283,0.007,OOS_cost0x,0.0
0,0,1,0.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.579,0.2282,-0.324,-0.324,1.0,7.0,0.56,-3.1624,-316.24,-4.968,-315.24,675.1,23.8,0.0341,0.476,0.767,0.22,0.013,OOS_cost0x,0.0
0,0,1,0.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,973,0.593,0.1757,-0.3345,-0.3345,1.0,7.0,0.78,-3.3047,-330.47,-4.363,-325.47,267.0,22.0,0.076,0.476,0.819,0.156,0.025,OOS_cost0x,0.0
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,949,0.807,0.1823,-0.1554,-0.1554,0.975,6.83,2.69,-1.5302,-153.02,-1.264,-147.51,31.1,19.6,0.3864,0.468,0.798,0.0,0.202,OOS_cost0x,0.0
0,0,2,1.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,32,949,0.973,0.2339,-0.0203,-0.0203,0.975,6.83,2.98,-0.835,-83.5,-0.174,-19.25,28.0,26.2,0.4833,0.532,0.747,0.0,0.253,OOS_cost0x,0.0
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,949,0.851,0.4605,-0.0805,-0.0805,0.975,6.83,0.7,-0.9036,-90.36,-1.524,-76.36,271.6,74.2,0.2145,0.468,0.538,0.458,0.003,OOS_cost0x,0.0
0,0,2,1.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,32,949,1.131,0.53,0.0615,0.0615,0.975,6.83,0.7,-0.14,-14.0,1.163,58.36,83.9,225.6,0.729,0.532,0.468,0.529,0.003,OOS_cost0x,0.0
0,0,2,1.0,1.5,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,949,0.781,0.3467,-0.1427,-0.1427,0.975,6.83,1.09,-1.4824,-148.24,-2.279,-135.42,238.3,46.3,0.1628,0.468,0.651,0.337,0.012,OOS_cost0x,0.0
0,0,2,1.0,1.5,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,32,949,1.013,0.4046,0.0074,0.0074,0.975,6.83,1.08,-0.3334,-33.34,0.115,7.06,84.8,91.8,0.52,0.532,0.592,0.395,0.013,OOS_cost0x,0.0
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,949,0.736,0.2803,-0.1877,-0.1877,0.975,6.83,1.5,-1.8568,-185.68,-2.712,-178.11,211.3,36.2,0.1464,0.468,0.707,0.251,0.042,OOS_cost0x,0.0
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0,1,32,949,1.003,0.3414,0.0021,0.0021,0.975,6.83,1.43,-0.2841,-28.41,0.028,1.97,66.9,68.0,0.5043,0.532,0.653,0.318,0.028,OOS_cost0x,0.0
0,0,2,1.0,3.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0,1,32,949,0.726,0.2244,-0.2094,-0.2094,0.975,6.83,1.94,-2.0539,-205.39,-2.612,-198.74,130.5,30.2,0.1876,0.468,0.758,0.164,0.078,OOS_cost0x,0.0
