hour,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,symbol,pf,trades,win_rate,avg_r,trades_per_day,max_dd,days_to_target
0,1,16,0,1,0.0,1.0,0,EURUSD,0.227,777,0.3964,-0.6816,0.71,-5.3207,294561.4
0,1,16,0,1,0.0,1.5,0,EURUSD,0.323,777,0.3282,-0.6566,0.71,-5.1441,21208.2
0,1,16,0,1,0.0,2.0,0,EURUSD,0.376,777,0.287,-0.6434,0.71,-5.0345,4808.2
0,1,16,0,1,0.0,3.0,0,EURUSD,0.382,777,0.2368,-0.679,0.71,-5.3218,2018.5
0,1,16,0,2,1.0,0.0,0,EURUSD,0.45,709,0.2271,-0.5896,0.647,-4.1802,475.7
0,1,16,0,2,1.0,0.0,1,EURUSD,0.603,709,0.2553,-0.4047,0.647,-2.9363,144.0
0,1,16,0,2,1.0,1.0,0,EURUSD,0.297,709,0.4231,-0.5777,0.647,-4.0956,78994.3
0,1,16,0,2,1.0,1.0,1,EURUSD,0.49,709,0.5515,-0.3236,0.647,-2.3138,5834.6
0,1,16,0,2,1.0,1.5,0,EURUSD,0.384,709,0.3399,-0.5784,0.647,-4.1008,8625.1
0,1,16,0,2,1.0,1.5,1,EURUSD,0.51,709,0.4048,-0.4085,0.647,-2.9157,2004.8
0,1,16,0,2,1.0,2.0,0,EURUSD,0.423,709,0.292,-0.5773,0.647,-4.0932,2849.8
0,1,16,0,2,1.0,2.0,1,EURUSD,0.546,709,0.3343,-0.4196,0.647,-3.0045,805.2
0,1,16,0,2,1.0,3.0,0,EURUSD,0.47,709,0.2609,-0.5494,0.647,-3.8955,859.5
0,1,16,0,2,1.0,3.0,1,EURUSD,0.578,709,0.2779,-0.4189,0.647,-3.0603,327.5
0,1,16,0,2,2.0,0.0,0,EURUSD,0.598,777,0.3848,-0.2579,0.71,-2.0149,837.2
0,1,16,0,2,2.0,0.0,1,EURUSD,0.639,777,0.3604,-0.2379,0.71,-1.916,460.2
0,1,16,0,2,2.0,1.0,0,EURUSD,0.586,777,0.4878,-0.2319,0.71,-1.812,3234.7
0,1,16,0,2,2.0,1.0,1,EURUSD,0.577,777,0.4633,-0.2426,0.71,-1.8933,3504.8
0,1,16,0,2,2.0,1.5,0,EURUSD,0.64,777,0.4363,-0.217,0.71,-1.6958,1125.8
0,1,16,0,2,2.0,1.5,1,EURUSD,0.611,777,0.3964,-0.2448,0.71,-1.9388,1336.4
0,1,16,0,2,2.0,2.0,0,EURUSD,0.612,777,0.4028,-0.2435,0.71,-1.9064,1074.5
0,1,16,0,2,2.0,2.0,1,EURUSD,0.604,777,0.3707,-0.2573,0.71,-2.037,1026.1
0,1,16,0,2,2.0,3.0,0,EURUSD,0.624,777,0.3887,-0.241,0.71,-1.8891,686.4
0,1,16,0,2,2.0,3.0,1,EURUSD,0.637,777,0.3642,-0.2387,0.71,-1.9422,574.8
0,1,16,1,0,0.0,0.0,0,EURUSD,0.519,775,0.3394,-0.3389,0.708,-2.6687,1273.4
0,1,16,1,0,0.0,1.0,0,EURUSD,0.525,775,0.471,-0.2711,0.708,-2.1065,6041.6
0,1,16,1,0,0.0,1.5,0,EURUSD,0.551,775,0.3974,-0.2908,0.708,-2.2657,2253.2
0,1,16,1,0,0.0,2.0,0,EURUSD,0.533,775,0.3613,-0.3188,0.708,-2.4957,1833.7
0,1,16,1,0,0.0,3.0,0,EURUSD,0.542,775,0.3445,-0.3201,0.708,-2.5175,1100.4
0,1,16,1,1,0.0,0.0,0,EURUSD,0.456,774,0.2855,-0.4992,0.707,-3.9111,849.4
0,1,16,1,1,0.0,1.0,0,EURUSD,0.412,774,0.4858,-0.401,0.707,-3.1296,14313.0
0,1,16,1,1,0.0,1.5,0,EURUSD,0.477,774,0.3928,-0.4111,0.707,-3.2071,3171.8
0,1,16,1,1,0.0,2.0,0,EURUSD,0.504,774,0.3488,-0.4168,0.707,-3.2612,1436.1
0,1,16,1,1,0.0,3.0,0,EURUSD,0.499,774,0.3049,-0.449,0.707,-3.5214,813.4
0,1,16,1,2,1.0,0.0,0,EURUSD,0.479,706,0.2592,-0.524,0.645,-3.7434,425.3
0,1,16,1,2,1.0,0.0,1,EURUSD,0.509,706,0.2535,-0.5009,0.645,-3.5413,281.6
0,1,16,1,2,1.0,1.0,0,EURUSD,0.388,706,0.4873,-0.4458,0.645,-3.1506,17612.8
0,1,16,1,2,1.0,1.0,1,EURUSD,0.401,706,0.5028,-0.4159,0.645,-2.9456,17663.4
0,1,16,1,2,1.0,1.5,0,EURUSD,0.45,706,0.3782,-0.4753,0.645,-3.3646,3879.8
0,1,16,1,2,1.0,1.5,1,EURUSD,0.461,706,0.3881,-0.4584,0.645,-3.2558,3610.5
0,1,16,1,2,1.0,2.0,0,EURUSD,0.483,706,0.3258,-0.4805,0.645,-3.4129,1559.1
0,1,16,1,2,1.0,2.0,1,EURUSD,0.481,706,0.3201,-0.4881,0.645,-3.4983,1589.8
0,1,16,1,2,1.0,3.0,0,EURUSD,0.477,706,0.2748,-0.5171,0.645,-3.6897,883.9
0,1,16,1,2,1.0,3.0,1,EURUSD,0.516,706,0.272,-0.4813,0.645,-3.4928,578.7
0,1,16,1,2,2.0,0.0,0,EURUSD,0.564,774,0.3747,-0.2676,0.707,-2.0983,1212.2
0,1,16,1,2,2.0,0.0,1,EURUSD,0.568,774,0.3656,-0.2715,0.707,-2.156,1023.6
0,1,16,1,2,2.0,1.0,0,EURUSD,0.588,774,0.478,-0.2185,0.707,-1.707,3583.1
0,1,16,1,2,2.0,1.0,1,EURUSD,0.543,774,0.4496,-0.2536,0.707,-1.9816,6118.1
0,1,16,1,2,2.0,1.5,0,EURUSD,0.557,774,0.4031,-0.2626,0.707,-2.0628,2787.0
0,1,16,1,2,2.0,1.5,1,EURUSD,0.568,774,0.3902,-0.2617,0.707,-2.0737,2383.4
0,1,16,1,2,2.0,2.0,0,EURUSD,0.586,774,0.3876,-0.2499,0.707,-1.9676,1458.1
0,1,16,1,2,2.0,2.0,1,EURUSD,0.55,774,0.3708,-0.2803,0.707,-2.1914,2205.9
0,1,16,1,2,2.0,3.0,0,EURUSD,0.569,774,0.3747,-0.2649,0.707,-2.0774,1304.7
0,1,16,1,2,2.0,3.0,1,EURUSD,0.57,774,0.3682,-0.2691,0.707,-2.1338,1334.6
0,1,32,0,0,0.0,0.0,0,EURUSD,0.518,778,0.1954,-0.5257,0.711,-4.1436,153.2
0,1,32,0,0,0.0,1.0,0,EURUSD,0.451,778,0.4987,-0.3767,0.711,-2.9371,8968.1
0,1,32,0,0,0.0,1.5,0,EURUSD,0.546,778,0.4036,-0.3709,0.711,-2.8975,1367.0
0,1,32,0,0,0.0,2.0,0,EURUSD,0.588,778,0.3393,-0.3689,0.711,-2.8854,562.3
0,1,32,0,0,0.0,3.0,0,EURUSD,0.655,778,0.2738,-0.3392,0.711,-2.6844,178.7
0,1,32,0,1,0.0,0.0,0,EURUSD,0.382,778,0.1337,-0.7929,0.711,-6.1731,221.0
0,1,32,0,1,0.0,1.0,0,EURUSD,0.238,778,0.4087,-0.6757,0.711,-5.2691,215870.0
0,1,32,0,1,0.0,1.5,0,EURUSD,0.356,778,0.3445,-0.6332,0.711,-4.9572,11108.3
0,1,32,0,1,0.0,2.0,0,EURUSD,0.41,778,0.2892,-0.6268,0.711,-4.9051,2652.7
0,1,32,0,1,0.0,3.0,0,EURUSD,0.436,778,0.2147,-0.6599,0.711,-5.1721,806.7
0,1,32,0,2,1.0,0.0,0,EURUSD,0.393,709,0.1382,-0.7424,0.647,-5.2636,292.5
0,1,32,0,2,1.0,0.0,1,EURUSD,0.592,709,0.1622,-0.4865,0.647,-3.5263,55.8
0,1,32,0,2,1.0,1.0,0,EURUSD,0.296,709,0.4231,-0.5832,0.647,-4.1348,81538.0
0,1,32,0,2,1.0,1.0,1,EURUSD,0.497,709,0.5557,-0.318,0.647,-2.2746,5290.6
0,1,32,0,2,1.0,1.5,0,EURUSD,0.384,709,0.3371,-0.5867,0.647,-4.1598,8448.0
0,1,32,0,2,1.0,1.5,1,EURUSD,0.524,709,0.4118,-0.3998,0.647,-2.8542,1690.6
0,1,32,0,2,1.0,2.0,0,EURUSD,0.443,709,0.2863,-0.5692,0.647,-4.0354,2090.7
0,1,32,0,2,1.0,2.0,1,EURUSD,0.559,709,0.3371,-0.4182,0.647,-2.9942,687.6
0,1,32,0,2,1.0,3.0,0,EURUSD,0.517,709,0.2271,-0.532,0.647,-3.7721,429.6
0,1,32,0,2,1.0,3.0,1,EURUSD,0.584,709,0.2511,-0.4447,0.647,-3.2432,265.6
0,1,32,0,2,2.0,0.0,0,EURUSD,0.594,777,0.2716,-0.3478,0.71,-2.8115,244.8
0,1,32,0,2,2.0,0.0,1,EURUSD,0.698,777,0.2819,-0.2593,0.71,-2.0513,106.2
0,1,32,0,2,2.0,1.0,0,EURUSD,0.621,777,0.5006,-0.2311,0.71,-1.8054,1847.3
0,1,32,0,2,2.0,1.0,1,EURUSD,0.609,777,0.4942,-0.2435,0.71,-1.9001,1987.8
0,1,32,0,2,2.0,1.5,0,EURUSD,0.681,777,0.4054,-0.2293,0.71,-1.793,555.6
0,1,32,0,2,2.0,1.5,1,EURUSD,0.642,777,0.3925,-0.2647,0.71,-2.1091,724.7
0,1,32,0,2,2.0,2.0,0,EURUSD,0.669,777,0.3411,-0.2596,0.71,-2.049,387.4
0,1,32,0,2,2.0,2.0,1,EURUSD,0.664,777,0.3398,-0.2667,0.71,-2.1575,392.0
0,1,32,0,2,2.0,3.0,0,EURUSD,0.635,777,0.287,-0.3064,0.71,-2.4371,293.6
