dir_mode,entry_mode,stop_mode,stop_atr_mult,rr,buffer_bps,one_trade,min_or_atr,max_or_atr,trend_mode,fade,min_rvol,use_datr,min_risk_bps,min_break_rvol,max_entry_bars,be_at_r,min_atr_rank,max_atr_rank,dtrend_mode,fast_trend_mode,retest_bars,hour,minute,or_bars,hold_bars,trades,pf,win_rate,avg_r,expectancy_r,trades_per_day,trades_per_week,avg_hold_h,max_dd,max_dd_r,sharpe,total_r,days_to_target,days_to_breach,p_target_first,long_share,pct_stop,pct_target,pct_time,label,symbol,anchor,anchor_utc
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1065,0.564,0.3653,-0.3988,-0.3988,0.972,6.81,2.01,-4.2641,-426.41,-5.356,-424.74,504.9,19.8,0.0377,0.539,0.605,0.337,0.058,,BTCUSDT,Sydney open,21:00
0,0,2,1.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1065,0.419,0.3014,-0.5969,-0.5969,0.972,6.81,1.97,-6.3575,-635.75,-8.029,-635.75,1767.2,13.7,0.0077,0.461,0.676,0.274,0.05,,BTCUSDT,Sydney open,21:00
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1092,0.715,0.3416,-0.1938,-0.1938,0.997,6.98,5.34,-2.1231,-212.31,-2.189,-211.6,81.1,27.4,0.2524,0.54,0.47,0.0,0.53,,BTCUSDT,Sydney open,21:00
0,0,2,2.0,0.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1092,0.596,0.3297,-0.2915,-0.2915,0.997,6.98,5.18,-3.204,-320.4,-3.794,-318.3,213.8,24.4,0.1024,0.46,0.496,0.0,0.504,,BTCUSDT,Sydney open,21:00
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1092,0.595,0.4863,-0.2217,-0.2217,0.997,6.98,3.38,-2.4386,-243.86,-4.519,-242.1,2027.7,35.5,0.0172,0.54,0.39,0.428,0.182,,BTCUSDT,Sydney open,21:00
0,0,2,2.0,1.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1092,0.49,0.4414,-0.3088,-0.3088,0.997,6.98,3.38,-3.3921,-339.21,-6.131,-337.16,5420.9,25.8,0.0047,0.46,0.429,0.388,0.182,,BTCUSDT,Sydney open,21:00
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1092,0.605,0.3764,-0.255,-0.255,0.997,6.98,4.58,-2.7843,-278.43,-4.294,-278.43,720.9,30.1,0.0401,0.54,0.451,0.166,0.384,,BTCUSDT,Sydney open,21:00
0,0,2,2.0,2.0,0.0,1,0.0,0.0,0,1,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1092,0.59,0.3626,-0.2816,-0.2816,0.997,6.98,4.47,-3.1189,-311.89,-4.636,-307.49,784.1,27.5,0.0338,0.46,0.479,0.184,0.337,,BTCUSDT,Sydney open,21:00
0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1093,0.573,0.237,-0.4339,-0.4339,0.998,6.99,3.59,-4.7423,-474.23,-3.665,-474.23,53.3,13.7,0.2045,0.536,0.65,0.0,0.35,,BTCUSDT,Sydney open,21:00
0,1,0,0.0,1.0,0.0,1,0.0,0.0,0,0,0.0,0,10.0,0.0,0,0.0,0.0,0.0,0,0,0,21,0,1,32,1093,0.374,0.452,-0.4378,-0.4378,0.998,6.99,1.61,-4.7937,-479.37,-8.032,-478.46,11738.1,18.3,0.0016,0.536,0.457,0.468,0.074,,BTCUSDT,Sydney open,21:00
