hour,minute,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,min_break_rvol,min_atr_rank,fast_trend_mode,symbol,window,pf,trades,win_rate,avg_r,trades_per_day,avg_hold_h,max_dd,sharpe,days_to_target
13,0,1,16,0,2,1.0,0.0,0,1.5,0.0,0,BTCUSDT,IS,0.948,585,0.2479,-0.0592,0.8,1.16,-0.9532,-0.333,17.9
13,0,1,16,0,2,1.0,0.0,0,1.5,0.0,2,BTCUSDT,IS,0.936,212,0.2453,-0.0688,0.29,1.11,-0.4845,-0.246,55.6
13,0,1,16,0,2,1.0,0.0,0,1.5,0.5,0,BTCUSDT,IS,0.88,292,0.2466,-0.125,0.399,1.28,-0.4874,-0.567,50.8
13,0,1,16,0,2,1.0,0.0,0,1.5,0.5,2,BTCUSDT,IS,0.964,129,0.2558,-0.0352,0.176,1.23,-0.3815,-0.104,100.1
13,0,1,16,0,2,1.0,0.0,0,1.5,0.7,0,BTCUSDT,IS,0.786,161,0.2609,-0.2089,0.22,1.37,-0.4157,-0.811,145.5
13,0,1,16,0,2,1.0,0.0,0,1.5,0.7,2,BTCUSDT,IS,1.054,77,0.3117,0.0456,0.105,1.44,-0.228,0.128,225.5
13,0,1,16,0,2,1.0,0.0,0,2.0,0.0,0,BTCUSDT,IS,1.196,539,0.2931,0.2053,0.737,1.19,-0.6056,1.058,14.4
13,0,1,16,0,2,1.0,0.0,0,2.0,0.0,2,BTCUSDT,IS,1.136,149,0.2752,0.1395,0.204,1.09,-0.3583,0.386,55.7
13,0,1,16,0,2,1.0,0.0,0,2.0,0.5,0,BTCUSDT,IS,1.155,280,0.2964,0.1503,0.383,1.26,-0.3713,0.61,33.5
13,0,1,16,0,2,1.0,0.0,0,2.0,0.5,2,BTCUSDT,IS,1.128,97,0.2784,0.1226,0.133,1.18,-0.2956,0.283,92.2
13,0,1,16,0,2,1.0,0.0,0,2.0,0.7,0,BTCUSDT,IS,0.814,157,0.2675,-0.1793,0.215,1.26,-0.3486,-0.668,132.5
13,0,1,16,0,2,1.0,0.0,0,2.0,0.7,2,BTCUSDT,IS,1.076,59,0.322,0.0649,0.081,1.32,-0.2405,0.157,265.7
13,0,1,16,0,2,1.0,0.0,1,0.0,0.0,0,BTCUSDT,IS,0.494,708,0.1596,-0.6561,0.969,1.26,-4.7508,-4.976,56.9
13,0,1,16,0,2,1.0,0.0,1,0.0,0.0,2,BTCUSDT,IS,0.601,707,0.1938,-0.4971,0.967,1.24,-3.6198,-3.571,36.6
13,0,1,16,0,2,1.0,0.0,1,0.0,0.5,0,BTCUSDT,IS,0.631,312,0.1571,-0.4283,0.427,1.29,-1.4568,-1.988,68.6
13,0,1,16,0,2,1.0,0.0,1,0.0,0.5,2,BTCUSDT,IS,0.807,311,0.2122,-0.2091,0.425,1.27,-1.0533,-0.941,48.9
13,0,1,16,0,2,1.0,0.0,1,0.0,0.7,0,BTCUSDT,IS,0.442,170,0.1471,-0.6309,0.233,1.28,-1.0726,-2.952,641.1
13,0,1,16,0,2,1.0,0.0,1,0.0,0.7,2,BTCUSDT,IS,0.584,169,0.2071,-0.434,0.231,1.28,-0.8882,-1.958,328.7
13,0,1,16,0,2,1.0,0.0,1,1.5,0.0,0,BTCUSDT,IS,0.435,585,0.1282,-0.7509,0.8,0.66,-4.5926,-5.285,86.0
13,0,1,16,0,2,1.0,0.0,1,1.5,0.0,2,BTCUSDT,IS,0.494,578,0.1453,-0.6579,0.791,0.69,-4.0531,-4.446,64.0
13,0,1,16,0,2,1.0,0.0,1,1.5,0.5,0,BTCUSDT,IS,0.493,292,0.1507,-0.6019,0.399,0.84,-1.8778,-3.143,161.9
13,0,1,16,0,2,1.0,0.0,1,1.5,0.5,2,BTCUSDT,IS,0.579,289,0.1696,-0.4835,0.395,0.85,-1.5518,-2.427,115.5
13,0,1,16,0,2,1.0,0.0,1,1.5,0.7,0,BTCUSDT,IS,0.46,161,0.1677,-0.6015,0.22,1.01,-0.9683,-2.65,524.4
13,0,1,16,0,2,1.0,0.0,1,1.5,0.7,2,BTCUSDT,IS,0.471,159,0.1761,-0.5758,0.218,0.98,-0.9559,-2.551,527.2
13,0,1,16,0,2,1.0,0.0,1,2.0,0.0,0,BTCUSDT,IS,0.468,539,0.1243,-0.7061,0.737,0.57,-3.9513,-4.111,47.1
13,0,1,16,0,2,1.0,0.0,1,2.0,0.0,2,BTCUSDT,IS,0.477,530,0.1283,-0.6922,0.725,0.58,-3.8142,-3.955,45.3
13,0,1,16,0,2,1.0,0.0,1,2.0,0.5,0,BTCUSDT,IS,0.449,280,0.1321,-0.6694,0.383,0.66,-1.9948,-3.487,209.4
