signal,tf,L,k,mode,H,tag,trades,span_days,tpd,pf,pf_0x,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
mom,4h,3,2,spread,3,real,4388,2193,2.0009119927040584,0.6697679043033865,1.1515999929803622,0.4051098469526949,0.2558723250093141,0.3833181403828623,-0.04693200431439836,-205.93763493158002,218.83912326044177,12.0,-3.7400689495913326,-0.0939068102743183,inf
mom,4h,3,2,spread,6,real,2194,2193,1.0004559963520292,0.7880848123950175,1.1479963391220522,0.5451751532551592,0.3831564802362281,0.4407474931631723,-0.028225897653183462,-61.92761945108452,72.0680851862143,24.0,-1.5396297600535431,-0.028238768559546063,inf
mom,4h,3,2,longonly,1,real,13164,2193,6.002735978112175,0.7748948204032554,1.0576741948734694,0.570716426087001,0.42457621408818785,0.44948343968398663,-0.09054956109340839,-1191.994422233628,1279.8065933869416,4.0,-4.115895520921081,-0.543545108177669,inf
mom,4h,3,2,longonly,3,real,4388,2193,2.0009119927040584,0.9225487034117331,1.0965783309034007,0.7769295935082234,0.6555863477557788,0.4833637192342753,-0.02973352914176586,-130.4707258740686,230.47496538349301,12.0,-0.7447373170421899,-0.059494175045174916,inf
mom,4h,3,2,longonly,6,real,2194,2193,1.0004559963520292,0.9838325916309446,1.1094833271405222,0.8724199706771502,0.7740408696286469,0.4972652689152233,-0.0061016887734097495,-13.387105168860991,83.97410626590859,24.0,-0.11082116714277425,-0.006104471121231642,inf
mom,4h,6,1,spread,1,real,13164,2193,6.002735978112175,0.6071477804788318,1.1470785494153677,0.34169487609754917,0.2065171979410899,0.3670616833789122,-0.08166067999711037,-1074.9811914819609,1080.9197808506735,4.0,-7.937945822218231,-0.49018750181575965,inf
mom,4h,6,1,spread,3,real,4388,2193,2.0009119927040584,0.8734880325449437,1.2548901078393584,0.6167694539898397,0.445004305562273,0.43391066545123064,-0.02250284811260923,-98.7424975181293,118.14812850141813,12.0,-1.1367462884739228,-0.04502621865851769,inf
mom,4h,6,1,spread,6,real,2194,2193,1.0004559963520292,0.857617669052061,1.099739216480696,0.6723491732356338,0.5307531794149228,0.4457611668185962,-0.02625169736248423,-57.5962240132904,73.34329913034577,24.0,-0.9983783917869413,-0.026263668040716098,inf
mom,4h,6,1,longonly,1,real,13164,2193,6.002735978112175,0.8395940624852364,1.0913802622023585,0.6492406349829795,0.5067747611281187,0.45259799453053784,-0.07053449996096837,-928.5161574861877,1064.2314483065102,4.0,-2.7813606728972995,-0.4233999806138567,inf
mom,4h,6,1,longonly,3,real,4388,2193,2.0009119927040584,0.9886652724314324,1.1452328026865863,0.8543850442150519,0.7396591345805369,0.4749316317228806,-0.004735260107243096,-20.778321350582708,129.64667269242867,12.0,-0.09984587330664224,-0.009474838737155818,inf
mom,4h,6,1,longonly,6,real,2194,2193,1.0004559963520292,0.9783544039015523,1.0855518078577655,0.8819261147986275,0.7954504526878843,0.47584320875113945,-0.009102039079034395,-19.96987373940146,91.66767997512737,24.0,-0.14875980216815785,-0.00910618957565046,inf
mom,4h,6,2,spread,1,real,13164,2193,6.002735978112175,0.442711500981117,1.1734523594459958,0.19219242694727307,0.09581204420299395,0.32171072622303254,-0.09186816962846114,-1209.3525849890625,1209.4203372964507,4.0,-13.378412149663086,-0.5514603670720759,inf
mom,4h,6,2,spread,3,real,4388,2193,2.0009119927040584,0.7120746519411821,1.2482176020185745,0.4216132257441294,0.26170056394576713,0.3994986326344576,-0.03848611295518248,-168.87706364734072,177.43162794622043,12.0,-3.0758831396186457,-0.07700732496458765,inf
mom,4h,6,2,spread,6,real,2194,2193,1.0004559963520292,0.7858413875648153,1.1528834704099815,0.5397552282879742,0.37739154273766967,0.4453053783044667,-0.02807311748059249,-61.59241975241993,71.5195543979172,24.0,-1.5541671701477637,-0.02808591871975373,inf
mom,4h,6,2,longonly,1,real,13164,2193,6.002735978112175,0.7914181845769435,1.0809307960919217,0.5823681504222298,0.4327339151583387,0.4540413248252811,-0.08332677024700225,-1096.9136035315375,1189.1604000062969,4.0,-3.746076325802375,-0.5001886017015675,inf
mom,4h,6,2,longonly,3,real,4388,2193,2.0009119927040584,0.933430589682156,1.1109824327038904,0.7849334287180231,0.6611182656905332,0.4808568824065634,-0.025397163939889094,-111.44275536823335,191.47088099204882,12.0,-0.6347701026546039,-0.050817489907995145,inf
mom,4h,6,2,longonly,6,real,2194,2193,1.0004559963520292,0.9744245442483804,1.0994204987152563,0.8635095302713319,0.765299226078737,0.4990884229717411,-0.009724691005035572,-21.335972065048043,81.17519608831381,24.0,-0.1753505305976085,-0.009729125428658478,inf
mom,4h,12,1,spread,1,real,13164,2193,6.002735978112175,0.5933072388880221,1.116596973376803,0.33386237279075287,0.20163742472638554,0.36903676694013976,-0.08521504435118522,-1121.7708438390023,1122.3768602872792,4.0,-8.1358910894495,-0.5115234126032843,inf
mom,4h,12,1,spread,3,real,4388,2193,2.0009119927040584,0.8273129207429774,1.1830185773570288,0.5867527372572652,0.4247765349678204,0.4261622607110301,-0.031707807570639346,-139.13385961996545,160.3685827945961,12.0,-1.7582406958816865,-0.0634445324304448,inf
mom,4h,12,1,spread,6,real,2194,2193,1.0004559963520292,0.9031036698460859,1.1548154591627102,0.7104253623582684,0.5626751820957592,0.4448495897903373,-0.01754623967984822,-38.496449857586995,67.83958079423849,24.0,-0.6196287084673296,-0.01755424070113406,inf
mom,4h,12,1,longonly,1,real,13164,2193,6.002735978112175,0.8378539854928813,1.0884299799270811,0.6482434956100531,0.506124141775018,0.45373746581586144,-0.0704874321422618,-927.8965567207345,1024.416108110201,4.0,-2.809681594995412,-0.4231174449250955,inf
mom,4h,12,1,longonly,3,real,4388,2193,2.0009119927040584,0.968933933337959,1.1237801591486964,0.836455643532275,0.7235678899821346,0.47082953509571557,-0.012846640749147728,-56.37105960726023,158.20713560946788,12.0,-0.2939176742815624,-0.025704997540930336,inf
mom,4h,12,1,longonly,6,real,2194,2193,1.0004559963520292,0.9968991233084131,1.105426476158814,0.899393303412931,0.8119519798886311,0.4772105742935278,-0.0012879228786846515,-2.8257027958341254,79.65604717143019,24.0,-0.02088815603120683,-0.0012885101668190266,inf
mom,4h,12,2,spread,1,real,13164,2193,6.002735978112175,0.42463029210098513,1.1253556141278034,0.18283274548952186,0.08960948446727675,0.3194317836523853,-0.0960057043238161,-1263.819091718715,1264.0432367867465,4.0,-13.993080877350938,-0.5762968954485704,inf
mom,4h,12,2,spread,3,real,4388,2193,2.0009119927040584,0.6915201935767293,1.1974257702794306,0.4121982877226281,0.255507726698279,0.402461257976299,-0.04247890673682313,-186.3974427611799,195.4803550993477,12.0,-3.5643622796299614,-0.08499655392666662,inf
mom,4h,12,2,spread,6,real,2194,2193,1.0004559963520292,0.8109747836412122,1.1779514608014863,0.5637089288973275,0.39783276267166634,0.4416590701914312,-0.02503130463067546,-54.91868235970196,65.69353513687506,24.0,-1.3552646863136055,-0.02504271881427358,inf
mom,4h,12,2,longonly,1,real,13164,2193,6.002735978112175,0.7829484318449474,1.068659314898019,0.5766113692842094,0.42881253493228966,0.45282588878760255,-0.08663005341053678,-1140.3980230963061,1215.1690954208846,4.0,-3.943780287529594,-0.5200173383932084,inf
mom,4h,12,2,longonly,3,real,4388,2193,2.0009119927040584,0.93108237351688,1.1085132347893873,0.7826963752033328,0.6591693136840855,0.4865542388331814,-0.02603253199512284,-114.23075039459901,201.68874011019582,12.0,-0.6754873658061056,-0.0520888054694934,inf
mom,4h,12,2,longonly,6,real,2194,2193,1.0004559963520292,1.004496218174959,1.1328114676224652,0.8906337645105723,0.789894605030692,0.504102096627165,0.0016749351200627013,3.6748076534175667,68.33189403871918,24.0,0.03057794903501346,0.0016756988843673354,40778.14616706513
mom,4h,24,1,spread,1,real,13164,2193,6.002735978112175,0.5805233194365714,1.0983006191314477,0.3248535723006313,0.19450243325702185,0.36539045882710425,-0.08746212361367718,-1151.3513952504463,1152.308443373547,4.0,-8.4656160434345,-0.5250120361379145,inf
mom,4h,24,1,spread,3,real,4388,2193,2.0009119927040584,0.8030245294282177,1.1518960139072083,0.5672280701308324,0.4088047281033929,0.4293527803099362,-0.036065732396445956,-158.25643375560486,205.0480730289423,12.0,-2.004405399948907,-0.072164356477704,inf
mom,4h,24,1,spread,6,real,2194,2193,1.0004559963520292,0.8965258298969434,1.141874426748981,0.7077612769164828,0.5626279605708997,0.4430264357338195,-0.018909711468876763,-41.48790696271562,83.32155182187773,24.0,-0.6496439245173374,-0.018918334228324497,inf
mom,4h,24,1,longonly,1,real,13164,2193,6.002735978112175,0.8140572726200174,1.0586707123632146,0.6294500732671808,0.49127690162992,0.44583713157095106,-0.08046667800383545,-1059.2633492424898,1155.9121080972118,4.0,-3.257486936910734,-0.4830202230927906,inf
mom,4h,24,1,longonly,3,real,4388,2193,2.0009119927040584,0.9320907319320669,1.0802871813402504,0.8050488077319651,0.6965506405698546,0.47014585232452144,-0.028332762990050595,-124.32416400034201,243.36856960162805,12.0,-0.6571630459937973,-0.05669136525323393,inf
mom,4h,24,1,longonly,6,real,2194,2193,1.0004559963520292,0.9864304575368325,1.0905255568165155,0.8925238358073458,0.8079923733723996,0.4813126709206928,-0.005716823835253282,-12.5427114945457,112.17199048103797,24.0,-0.09169997418324295,-0.005719430686067351,inf
mom,4h,24,2,spread,1,real,13164,2193,6.002735978112175,0.4192724507801994,1.1066862062771023,0.17897880058109206,0.08681907481038831,0.32444545730780916,-0.09772112773765777,-1286.400925538527,1286.4009255385267,4.0,-14.111805718309752,-0.586594129292534,inf
mom,4h,24,2,spread,3,real,4388,2193,2.0009119927040584,0.6671913883369862,1.1585961492682357,0.3961534051720557,0.24669504319874982,0.402461257976299,-0.046247410026735686,-202.9336351973162,231.46536068012844,12.0,-3.8637364375121916,-0.09253699735399736,inf
mom,4h,24,2,spread,6,real,2194,2193,1.0004559963520292,0.808258534746228,1.1839994190666485,0.5580084115083388,0.39173477619848335,0.43618960802187784,-0.02480307346735363,-54.417943187373865,84.42412634592071,24.0,-1.334351482153966,-0.024814383578373855,inf
mom,4h,24,2,longonly,1,real,13164,2193,6.002735978112175,0.7757238493732369,1.0599618574912204,0.5708683085427638,0.42413432459646977,0.45069887572166517,-0.08892731548030397,-1170.6391809827214,1255.098803268731,4.0,-4.089375664171254,-0.5338071960705524,inf
