signal,tf,L,k,mode,H,tag,trades,span_days,tpd,pf,pf_0x,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
mom,4h,3,1,spread,3,null0,4388,2193,2.0009119927040584,0.862756657324806,1.0016574920775116,0.7432080741200958,0.6401877512244786,0.46809480401093895,-0.042353171221913725,-185.84571532175744,196.15017513088037,12.0,-1.569267174813576,-0.08474496822697558,inf
mom,4h,3,1,spread,6,null0,2194,2193,1.0004559963520292,0.939951275443693,1.0454973357559012,0.8448378604168436,0.7592114209640596,0.4981768459434822,-0.01755740927520201,-38.52095594979321,62.66448774459654,24.0,-0.4689369140283257,-0.017565415389782586,inf
mom,4h,3,1,longonly,1,null0,13164,2193,6.002735978112175,0.8771840646830993,1.0519295384367695,0.7316108740889637,0.6105519654787928,0.4750835612275904,-0.053594250606920864,-705.5147149895063,717.8849958117845,4.0,-2.3015293946084365,-0.3217121363381242,inf
mom,4h,3,1,longonly,3,null0,4388,2193,2.0009119927040584,0.9754061597770249,1.084484310620415,0.8773206072218325,0.7891185851918147,0.49134001823154055,-0.01009382801296587,-44.29171732089424,83.5021304821213,12.0,-0.26125916460847753,-0.020196861523435587,inf
mom,4h,3,1,longonly,6,null0,2194,2193,1.0004559963520292,1.061609221004903,1.145643865875235,0.9837764614278349,0.9117028968097481,0.5045578851412944,0.02376201388431951,52.133858462197004,47.866932340860316,24.0,0.4505044860770021,0.023772849275967626,2013.512633054457
mom,4h,3,2,spread,1,null0,13164,2193,6.002735978112175,0.6876740833471959,1.0070060715393188,0.46936085718102816,0.3203183389496469,0.44226678821027043,-0.07645207937405693,-1006.4151728800855,1009.5848282343715,4.0,-6.8155172630159155,-0.4589216474601393,inf
mom,4h,3,2,spread,3,null0,4388,2193,2.0009119927040584,0.7873120075149036,0.9813041247848417,0.6319191988774595,0.5073128706061282,0.45578851412944393,-0.048801564970113065,-214.14126708885613,220.45222236857146,12.0,-2.5424437424888042,-0.0976476366114255,inf
mom,4h,3,2,spread,6,null0,2194,2193,1.0004559963520292,0.8762095309930985,1.0224919921335407,0.7506370650654645,0.6427396561693107,0.48359161349134,-0.027239480716282627,-59.76342069152408,83.94158541641636,24.0,-1.0020083648292646,-0.02725190182012042,inf
mom,4h,3,2,longonly,1,null0,13164,2193,6.002735978112175,0.80771426076698,1.0401257890291367,0.6273134955454698,0.4874541296134671,0.4636888483743543,-0.06578251099156722,-865.9609746929909,869.5358279290497,4.0,-3.810454280311816,-0.3948750454596402,inf
mom,4h,3,2,longonly,3,null0,4388,2193,2.0009119927040584,0.8884051816966242,1.035536563727918,0.7624139081029018,0.6544780357005696,0.4731084776663628,-0.03473834247960583,-152.43184680051039,162.06379630371384,12.0,-1.246647318053285,-0.06950836607410414,inf
mom,4h,3,2,longonly,6,null0,2194,2193,1.0004559963520292,0.9828161242767004,1.0992336259986133,0.8786072627795148,0.7853469444371977,0.5022789425706472,-0.004929312469620923,-10.814911558348305,55.111487666640826,24.0,-0.13061206927295813,-0.004931560218125082,inf
mom,4h,6,1,spread,1,null0,13164,2193,6.002735978112175,0.7951096996024598,1.0338456313090478,0.6118048915939034,0.4713280661022715,0.46087815253722275,-0.06483159336487473,-853.443095055211,866.1979453457662,4.0,-4.129229646098093,-0.3891669380096721,inf
mom,4h,6,1,spread,3,null0,4388,2193,2.0009119927040584,0.864197326986621,1.0052320312996,0.74306698402358,0.6389825396011659,0.47082953509571557,-0.041320957581179825,-181.31636186621708,201.72836423471966,12.0,-1.5347150161986292,-0.08267959957419839,inf
mom,4h,6,1,spread,6,null0,2194,2193,1.0004559963520292,0.9525876875247575,1.0628123299717278,0.8538280395150517,0.7653066087934984,0.48678213309024615,-0.013438659320773847,-29.48441854977782,57.78227481920899,24.0,-0.3672809404153719,-0.013444787300400282,inf
mom,4h,6,1,longonly,1,null0,13164,2193,6.002735978112175,0.8821788407858409,1.0563067003001219,0.7372007170884791,0.6166087116352647,0.4725007596475235,-0.051670565057618134,-680.1913184184851,703.3016332771296,4.0,-2.197214538841499,-0.31016475988075015,inf
mom,4h,6,1,longonly,3,null0,4388,2193,2.0009119927040584,0.9588672378837666,1.0659738191467711,0.8625331591528391,0.7758707385257259,0.49430264357338194,-0.01698892115364136,-74.54738602217829,123.36886842593209,12.0,-0.43788961698801815,-0.03399333607942466,inf
mom,4h,6,1,longonly,6,null0,2194,2193,1.0004559963520292,1.0366712316950397,1.120847875996275,0.9589135759213889,0.8871235658768424,0.49544211485870554,0.014016152146774066,30.7514378100223,37.05187621238326,24.0,0.27131245197023607,0.01402254346102248,2642.3078177916773
mom,4h,6,2,spread,1,null0,13164,2193,6.002735978112175,0.6823196371145251,1.0010534048608501,0.4652957879476763,0.3175078333745441,0.4390003038590094,-0.07781112116859824,-1024.3055990634273,1029.347963160238,4.0,-6.945666763066502,-0.46707961653599056,inf
mom,4h,6,2,spread,3,null0,4388,2193,2.0009119927040584,0.8194429695203989,1.0216056074853688,0.6572545410350078,0.5271086786402739,0.4669553327256153,-0.040654503736087554,-178.39196239395218,194.92173208056266,12.0,-2.110890228977008,-0.08134608408296953,inf
mom,4h,6,2,spread,6,null0,2194,2193,1.0004559963520292,0.9137557995826665,1.0638567716998124,0.7850024688235727,0.6743465645204019,0.4790337283500456,-0.018861090038330548,-41.38123154409722,58.18185991338279,24.0,-0.6876870324798515,-0.018869690626583318,inf
mom,4h,6,2,longonly,1,null0,13164,2193,6.002735978112175,0.8049191089621857,1.0376313552413305,0.6244785965683463,0.4847481942556504,0.46292920085080524,-0.06663860038520028,-877.2305354707764,884.6759910893818,4.0,-3.8549461727388064,-0.40001392406328157,inf
mom,4h,6,2,longonly,3,null0,4388,2193,2.0009119927040584,0.9205202818706496,1.0724448093016268,0.7901532230261967,0.6782451374128445,0.4842752962625342,-0.024403592345442714,-107.08296321180264,131.60914197852713,12.0,-0.8771147814225779,-0.04882944058905729,inf
mom,4h,6,2,longonly,6,null0,2194,2193,1.0004559963520292,1.0039727877731737,1.1189937226289013,0.9008706727054501,0.8084434498575783,0.4972652689152233,0.0011634874549609885,2.5526914761844086,27.422107667400915,24.0,0.030339669773149624,0.0011640180009960823,23558.14742034493
mom,4h,12,1,spread,1,null0,13164,2193,6.002735978112175,0.7737929802798713,1.004810454746352,0.5960553270733768,0.45951952813145885,0.45791552719538137,-0.07270951639874494,-957.1480738730785,962.7458382238198,4.0,-4.598356413933694,-0.43645603003788347,inf
mom,4h,12,1,spread,3,null0,4388,2193,2.0009119927040584,0.8779147070975544,1.0172023314774261,0.7577713324836414,0.6542744116127469,0.4762989972652689,-0.03781797245479522,-165.94526313164144,171.44646850943468,12.0,-1.3746666742512685,-0.0756704346245515,inf
mom,4h,12,1,spread,6,null0,2194,2193,1.0004559963520292,0.9292867484524826,1.0316162804579623,0.8372029604614244,0.7544003449457797,0.48359161349134,-0.021258909182602672,-46.642046746630264,63.65850943293521,24.0,-0.5556254901866858,-0.02126860316763806,inf
