sym,feature,horizon,tail,n_trades,fade_bps,hi_bps,lo_bps,hit_rate,null_best,beats_null,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,absorbq_15m,1h,0.01,4463,0.42671644052055097,-2.9171409690636048,3.709695451439987,0.4786018373291508,1.6849436769179855,False,False,False,False,False
BTCUSDT,absorbq_15m,2h,0.1,42430,0.5031383993568611,-0.9187869524386101,1.9207806418891462,0.4976196087673816,1.1725060291850153,False,False,False,False,False
BTCUSDT,absorbq_15m,2h,0.05,21343,0.05727764012132428,-1.9184627781514136,2.0343144759913545,0.4916834559340299,0.8665262445431631,False,False,False,False,False
BTCUSDT,absorbq_15m,2h,0.02,8681,-1.3269810623179203,-6.083809491568567,3.3569832826255053,0.4784011058633798,0.3265826253090436,False,False,False,False,False
BTCUSDT,absorbq_15m,2h,0.01,4463,-0.8800256206860636,-6.741534609395782,4.874768506328674,0.4712077078198521,1.2832667291590418,False,False,False,False,False
BTCUSDT,absorbq_15m,4h,0.1,42428,0.17995126645797488,-2.1032858058987878,2.456525091062978,0.4979966060148958,1.255090851818435,False,False,False,False,False
BTCUSDT,absorbq_15m,4h,0.05,21343,-0.4618778978042558,-3.357344621727703,2.435488738667696,0.4931827765543738,0.37980896420027144,False,False,False,False,False
BTCUSDT,absorbq_15m,4h,0.02,8681,-2.1039972981892454,-9.153246272940557,4.837272782801585,0.4805897938025573,1.0656143545058057,False,False,False,False,False
BTCUSDT,absorbq_15m,4h,0.01,4463,-2.9793098672745995,-11.880136710725184,5.759468174852066,0.4734483531257002,1.8375224765181852,False,False,False,False,False
BTCUSDT,flow_30m,15m,0.1,125593,0.898377347639116,0.6352736073636303,1.1610247975184265,0.5417021649295741,0.09434712085807745,True,False,False,False,False
BTCUSDT,flow_30m,15m,0.05,62944,0.9672103539897929,0.6472875877757595,1.28692987849986,0.5472960091509913,0.10342526716806186,True,False,False,False,False
BTCUSDT,flow_30m,15m,0.02,25265,1.1696770991860892,0.6618393844122514,1.6790850724928834,0.5519097565802493,0.07878843089849424,True,False,False,False,False
BTCUSDT,flow_30m,15m,0.01,12754,1.3897339466261276,0.860448950231545,1.9211813267269113,0.5614709110867179,0.3163726062863533,True,False,False,False,False
BTCUSDT,flow_30m,30m,0.1,125591,1.1637951925884253,0.6691998999080414,1.6575169895807937,0.5364078636208008,0.29744224460586005,True,False,False,False,False
BTCUSDT,flow_30m,30m,0.05,62942,1.3124275231705143,0.6297818399695051,1.9945961653629969,0.5392424772012329,0.3323723867634614,True,False,False,False,False
BTCUSDT,flow_30m,30m,0.02,25264,1.4593081202780926,0.45124804567088955,2.4704052426007537,0.5410465484483851,0.3300581775527427,True,False,False,False,False
BTCUSDT,flow_30m,30m,0.01,12754,1.7724756913699873,0.38510476332738625,3.1655146967427443,0.54908264074016,0.8372178753220054,True,False,False,False,False
BTCUSDT,flow_30m,1h,0.1,125589,1.1276755219988202,0.17395532527834645,2.079741666921453,0.5285415123936014,0.24295827487863525,True,False,False,False,False
BTCUSDT,flow_30m,1h,0.05,62942,1.375133934595039,0.05571064543217244,2.6936351949045423,0.5328238695942296,0.5907644196167968,True,False,False,False,False
BTCUSDT,flow_30m,1h,0.02,25264,1.8204536924082262,0.2747525139702407,3.3708117046510675,0.5338822039265357,0.28631660111341084,True,False,False,False,False
BTCUSDT,flow_30m,1h,0.01,12754,2.1312956569869805,0.22704016048929002,4.043330952810399,0.5403010820134859,0.8681942348897687,True,False,False,False,False
BTCUSDT,flow_30m,2h,0.1,125583,1.3271879506558508,0.24911221798743263,2.40349671165734,0.5248799598671795,0.5372623325781617,True,False,False,False,False
BTCUSDT,flow_30m,2h,0.05,62938,1.6828490093272952,0.17011553558168155,3.1947174598018164,0.5277415869585942,0.9956860106359796,True,False,False,False,False
BTCUSDT,flow_30m,2h,0.02,25261,2.0263016894262345,-0.16041583885070448,4.220129084369259,0.5319662721190769,0.5909617372865645,True,False,False,False,False
BTCUSDT,flow_30m,2h,0.01,12751,2.253356732962728,-0.7250239384075895,5.245315935927095,0.5372127676260685,1.3078944594966904,True,False,False,False,False
BTCUSDT,flow_30m,4h,0.1,125573,0.9478722214330907,-0.7275364926355479,2.6206412788925753,0.5156124326089208,0.824114671880369,True,False,False,False,False
BTCUSDT,flow_30m,4h,0.05,62936,1.512195542587773,-0.6031019793294262,3.6264178084257157,0.5199091140205924,0.7083649503098567,True,False,False,False,False
BTCUSDT,flow_30m,4h,0.02,25260,1.3507006444608254,-1.4165074672248161,4.127126199297454,0.5218131433095804,0.8835135354510711,True,False,False,False,False
BTCUSDT,flow_30m,4h,0.01,12750,2.0151581270967793,-2.2794515518927483,6.330025398911728,0.5305882352941177,2.1871726263079583,False,False,False,False,False
BTCUSDT,absorb_30m,15m,0.1,125895,0.3916075405743341,-0.05004444037652531,0.8327336201427801,0.4960959529766869,0.10488952154401375,True,False,False,False,False
BTCUSDT,absorb_30m,15m,0.05,63341,0.3553479340177969,-0.20730734326638037,0.9174527374777046,0.4914668224372839,0.10605616183327765,True,False,False,False,False
BTCUSDT,absorb_30m,15m,0.02,25523,0.5214172972191148,0.006188734335554258,1.0349931945512572,0.4868549935352427,0.2063020597797652,True,False,False,False,False
BTCUSDT,absorb_30m,15m,0.01,12962,0.6974023635619121,-0.003215249343727926,1.3904933906935506,0.4775497608393766,0.20118318153591666,True,False,False,False,False
BTCUSDT,absorb_30m,30m,0.1,125893,0.44183981618534907,-0.3433869438026587,1.2261066260182547,0.49344284432017665,0.24532020245711214,True,False,False,False,False
BTCUSDT,absorb_30m,30m,0.05,63339,0.3125066508160327,-0.7948669424653517,1.4187269483649712,0.48815106016830073,0.311285237930429,True,False,False,False,False
BTCUSDT,absorb_30m,30m,0.02,25523,0.8245509598748584,-0.8429661252349834,2.486719257589183,0.4848176154840732,0.13850980963659407,True,False,False,False,False
BTCUSDT,absorb_30m,30m,0.01,12962,1.7705572474514044,-0.31631124325832793,3.8350069544978966,0.4857275111865453,0.07830092974025236,True,False,False,False,False
BTCUSDT,absorb_30m,1h,0.1,125893,0.6644066057336876,-0.2867845525869955,1.6144349202155093,0.49465021883663113,0.4780234098960666,True,False,False,False,False
BTCUSDT,absorb_30m,1h,0.05,63339,0.4300239044129273,-0.973005358042999,1.8315919547985056,0.4894772572980312,0.5174274650344903,False,False,False,False,False
BTCUSDT,absorb_30m,1h,0.02,25523,1.4649214355873914,-0.6198584002746416,3.54301405714256,0.48744269874231083,0.43302303287235805,True,False,False,False,False
BTCUSDT,absorb_30m,1h,0.01,12962,2.2417388803719653,-0.5691895074493122,5.022470063290313,0.48889060330195955,0.5176346976436967,True,False,False,False,False
BTCUSDT,absorb_30m,2h,0.1,125889,0.8511155958295712,-0.20774837627370946,1.9087522601739473,0.4959051227668819,1.096590310803244,False,False,False,False,False
BTCUSDT,absorb_30m,2h,0.05,63339,0.7559460677443242,-0.9531632864034716,2.463275436766611,0.49339269644294986,1.0944847048142252,False,False,False,False,False
BTCUSDT,absorb_30m,2h,0.02,25523,1.7802690465288165,-0.8552065262098054,4.407290973634337,0.4946127022685421,0.19029908651518543,True,False,False,False,False
BTCUSDT,absorb_30m,2h,0.01,12962,2.854668076551939,-0.8231289257164386,6.492955289047634,0.5015429717636167,0.30700863559803443,True,False,False,False,False
BTCUSDT,absorb_30m,4h,0.1,125881,0.623948630139374,-1.3027171304025802,2.5486257086360826,0.49595252659257555,1.1681760511430086,False,False,False,False,False
