symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
XRPUSDT,dprem_4h,8h,-0.01233,0.00394,True,-4.16,0.5,False,False,7,0.86,695644
XRPUSDT,dprem_4h,12h,-0.00506,0.00643,False,-1.68,0.5,False,False,7,0.57,695596
XRPUSDT,dprem_4h,24h,-0.00934,0.00541,True,-6.9,0.5,False,False,7,0.86,695452
XRPUSDT,lev_1h,1h,0.00136,0.0028,False,0.4,0.5,False,False,7,0.57,695764
XRPUSDT,lev_1h,4h,0.00342,0.00389,False,1.49,0.5,False,False,7,0.71,695728
XRPUSDT,lev_1h,8h,0.00216,0.00365,False,0.37,0.75,False,False,7,0.57,695680
XRPUSDT,lev_1h,12h,-0.00107,0.00195,False,-3.51,0.5,False,False,7,0.57,695632
XRPUSDT,lev_1h,24h,-0.00105,0.0059,False,-2.01,0.5,False,False,7,0.57,695488
XRPUSDT,lev_4h,1h,-0.0007,0.00248,False,-0.06,0.75,False,False,7,0.71,695728
XRPUSDT,lev_4h,4h,0.00327,0.00527,False,-0.41,0.5,False,False,7,0.86,695692
XRPUSDT,lev_4h,8h,-0.00026,0.00575,False,-0.21,0.5,False,False,7,0.43,695644
XRPUSDT,lev_4h,12h,-0.00475,0.00543,False,-2.96,0.5,False,False,7,0.71,695596
XRPUSDT,lev_4h,24h,0.00292,0.0082,False,9.16,0.5,False,False,7,0.57,695452
XRPUSDT,gap,1h,-0.00506,0.00211,True,-0.77,0.5,False,False,7,0.71,695676
XRPUSDT,gap,4h,-0.00751,0.00194,True,-2.26,0.5,False,False,7,0.86,695640
XRPUSDT,gap,8h,-0.00843,0.00338,True,-3.57,0.5,False,False,7,0.86,695592
XRPUSDT,gap,12h,-0.00885,0.00534,True,-5.0,0.5,False,False,7,0.86,695544
XRPUSDT,gap,24h,-0.01012,0.00657,True,-11.36,0.5,False,False,7,1.0,695400
XRPUSDT,gap_z,1h,-0.00171,0.00155,True,-0.2,0.5,False,False,7,0.29,695532
XRPUSDT,gap_z,4h,-0.00237,0.00261,False,0.24,0.5,False,False,7,0.57,695496
XRPUSDT,gap_z,8h,-0.00185,0.00387,False,0.78,0.5,False,False,7,0.71,695448
XRPUSDT,gap_z,12h,-0.00135,0.00279,False,0.5,0.5,False,False,7,0.86,695400
XRPUSDT,gap_z,24h,-0.00308,0.00671,False,-1.71,0.5,False,False,7,0.71,695256
XRPUSDT,gap_1h,1h,-0.01524,0.00481,True,-2.57,1.0,False,False,7,1.0,695753
XRPUSDT,gap_1h,4h,-0.01743,0.00282,True,-4.3,0.75,False,False,7,1.0,695717
XRPUSDT,gap_1h,8h,-0.01659,0.00902,True,-6.09,0.75,False,False,7,0.86,695669
XRPUSDT,gap_1h,12h,-0.01598,0.01246,True,-7.01,0.5,False,False,7,0.86,695621
XRPUSDT,gap_1h,24h,-0.01915,0.01916,False,-20.35,0.75,True,False,7,0.86,695477
XRPUSDT,cash_1h,1h,0.0024,0.00573,False,0.25,0.5,False,False,7,0.57,695755
