signal,look,win,q,band,hold,contrarian,stop_k,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x,symbol,kind
prem_z,0,288,0.02,2016,864,True,2.0,1168,0.48,23.11,0.3818,1.1592,26993.8,1.0592,10641.8,0.97,-5710.2,0.89,-22062.2,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,False,0.0,764,0.314,19.81,0.5105,1.1139,15134.5,1.0321,4438.5,0.9564,-6257.5,0.8864,-16953.5,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,864,False,2.0,1173,0.482,12.35,0.37,1.0846,14489.1,0.9894,-1932.9,0.9045,-18354.9,0.8287,-34776.9,BTCUSDT,shuffled_s1
prem_z,0,288,0.02,2016,96,True,0.0,4862,1.998,-4.68,0.4963,0.9222,-22764.7,0.7239,-90832.7,0.5705,-158900.7,0.4527,-226968.7,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,96,True,2.0,5267,2.164,-2.51,0.4775,0.9564,-13213.6,0.7472,-86951.6,0.587,-160689.6,0.4646,-234427.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,96,False,0.0,4862,1.998,4.68,0.5037,1.0843,22764.7,0.8519,-45303.3,0.6723,-113371.3,0.5346,-181439.3,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,96,False,2.0,5294,2.175,1.75,0.4775,1.0314,9275.8,0.807,-64840.2,0.6352,-138956.2,0.5043,-213072.2,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,288,True,0.0,2078,0.854,-6.57,0.5053,0.9384,-13662.7,0.8193,-42754.7,0.7154,-71846.7,0.625,-100938.7,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,288,True,2.0,2551,1.048,5.29,0.4402,1.0565,13506.4,0.9144,-22207.6,0.7937,-57921.6,0.691,-93635.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,288,False,0.0,2078,0.854,6.57,0.4947,1.0657,13662.7,0.9308,-15429.3,0.8137,-44521.3,0.7122,-73613.3,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,288,False,2.0,2577,1.059,9.88,0.421,1.1077,25453.5,0.9587,-10624.5,0.8329,-46702.5,0.7261,-82780.5,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,576,True,0.0,1117,0.459,-6.98,0.504,0.9537,-7797.9,0.8669,-23435.9,0.7881,-39073.9,0.7164,-54711.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,576,True,2.0,1564,0.643,-5.97,0.3907,0.9545,-9336.6,0.8572,-31232.6,0.7714,-53128.6,0.6957,-75024.6,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,576,False,0.0,1117,0.459,6.98,0.4951,1.0486,7797.9,0.9535,-7840.1,0.8672,-23478.1,0.7891,-39116.1,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,576,False,2.0,1541,0.633,10.92,0.4062,1.0904,16820.1,0.9761,-4753.9,0.8759,-26327.9,0.7877,-47901.9,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,True,0.0,765,0.314,10.8,0.5046,1.0606,8264.0,0.9828,-2446.0,0.9107,-13156.0,0.844,-23866.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,True,2.0,1134,0.466,10.61,0.3907,1.0704,12028.3,0.9787,-3847.7,0.8964,-19723.7,0.8224,-35599.7,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,False,0.0,765,0.314,-10.8,0.4954,0.9429,-8264.0,0.8737,-18974.0,0.8095,-29684.0,0.75,-40394.0,BTCUSDT,shuffled_s2
prem_z,0,288,0.02,2016,864,False,2.0,1181,0.485,12.92,0.3573,1.0889,15258.5,0.993,-1275.5,0.9078,-17809.5,0.8319,-34343.5,BTCUSDT,shuffled_s2
