symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
XRPUSDT,dprem_4h,8h,8.62,0.5,-1.02,0.23,4.47
XRPUSDT,dprem_4h,12h,11.68,-1.03,-2.87,1.29,10.0
XRPUSDT,dprem_4h,24h,25.11,0.92,-5.3,-0.86,18.21
XRPUSDT,lev_1h,1h,1.21,-0.17,-0.61,-0.43,1.61
XRPUSDT,lev_1h,4h,4.03,-0.99,-1.24,-0.88,5.53
XRPUSDT,lev_1h,8h,8.09,-1.56,-1.48,-0.65,8.46
XRPUSDT,lev_1h,12h,13.43,-1.2,-2.29,-0.68,9.92
XRPUSDT,lev_1h,24h,23.8,-2.4,-5.09,0.01,21.79
XRPUSDT,lev_4h,1h,1.08,-0.02,-0.15,-0.31,1.01
XRPUSDT,lev_4h,4h,3.97,0.03,-0.77,-0.35,3.56
XRPUSDT,lev_4h,8h,6.59,0.69,-0.52,-0.33,6.37
XRPUSDT,lev_4h,12h,12.24,0.86,-1.78,-1.53,9.28
XRPUSDT,lev_4h,24h,16.98,-0.48,-3.41,-1.16,26.14
XRPUSDT,gap,1h,0.41,0.67,0.7,0.22,-0.36
XRPUSDT,gap,4h,1.13,2.16,3.01,1.32,-1.13
XRPUSDT,gap,8h,2.08,4.42,4.89,3.04,-1.49
XRPUSDT,gap,12h,3.53,5.57,7.84,3.79,-1.47
XRPUSDT,gap,24h,8.02,11.01,13.7,8.69,-3.34
XRPUSDT,gap_z,1h,0.36,0.42,0.48,0.17,0.16
XRPUSDT,gap_z,4h,0.56,1.6,2.45,0.93,0.79
XRPUSDT,gap_z,8h,0.95,3.35,3.91,2.76,1.73
XRPUSDT,gap_z,12h,1.95,4.28,6.13,4.28,2.44
XRPUSDT,gap_z,24h,4.97,10.68,11.97,7.31,3.26
XRPUSDT,gap_1h,1h,1.71,0.82,0.21,-0.27,-0.86
XRPUSDT,gap_1h,4h,2.43,4.44,1.92,-0.46,-1.87
XRPUSDT,gap_1h,8h,2.91,9.31,4.32,-0.49,-3.18
XRPUSDT,gap_1h,12h,5.34,13.38,4.54,-2.41,-1.67
XRPUSDT,gap_1h,24h,15.07,17.43,8.27,2.57,-5.27
XRPUSDT,cash_1h,1h,0.09,0.59,-0.45,1.04,0.34
XRPUSDT,cash_1h,4h,-0.3,2.61,0.4,3.42,0.33
XRPUSDT,cash_1h,8h,-1.35,5.94,3.21,3.93,1.14
XRPUSDT,cash_1h,12h,-0.74,7.25,7.15,4.11,1.41
XRPUSDT,cash_1h,24h,1.73,13.37,12.54,10.47,-0.02
XRPUSDT,gap_4h,1h,0.66,1.92,0.36,-0.53,-0.8
XRPUSDT,gap_4h,4h,1.79,4.77,0.79,2.06,-2.97
XRPUSDT,gap_4h,8h,3.47,12.33,0.01,1.08,-4.09
XRPUSDT,gap_4h,12h,6.99,18.18,-0.28,-4.32,-1.49
XRPUSDT,gap_4h,24h,24.75,25.37,1.24,-8.12,-5.18
XRPUSDT,cash_4h,1h,0.94,-1.21,1.73,-0.04,0.18
XRPUSDT,cash_4h,4h,-0.7,1.16,4.55,0.95,0.48
XRPUSDT,cash_4h,8h,-2.28,5.68,9.7,2.34,-2.64
XRPUSDT,cash_4h,12h,-0.34,5.17,12.8,6.97,-5.52
XRPUSDT,cash_4h,24h,3.52,11.84,15.5,9.78,-2.56
XRPUSDT,lead_1h,1h,3.06,-0.36,-0.04,-0.13,-0.92
XRPUSDT,lead_1h,4h,7.47,-1.08,-0.14,0.15,0.05
XRPUSDT,lead_1h,8h,9.82,-1.68,-0.12,0.66,4.19
XRPUSDT,lead_1h,12h,12.75,-1.88,-1.12,1.93,7.5
XRPUSDT,lead_1h,24h,22.96,-1.96,-1.12,1.38,16.85
