symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
ETHUSDT,prem_z,12h,-0.01929,0.00565,True,-7.73,0.75,False,False,7,0.86,698192
ETHUSDT,prem_z,24h,-0.01701,0.00717,True,-10.82,0.75,False,False,7,0.86,698048
ETHUSDT,dprem_1h,1h,-0.01105,0.00277,True,-1.72,0.5,False,False,7,0.86,698456
ETHUSDT,dprem_1h,4h,-0.01002,0.00129,True,-4.77,0.75,False,False,7,0.71,698420
ETHUSDT,dprem_1h,8h,-0.00753,0.00171,True,-4.93,0.5,False,False,7,0.86,698372
ETHUSDT,dprem_1h,12h,-0.00523,0.00146,True,-4.52,0.5,False,False,7,0.86,698324
ETHUSDT,dprem_1h,24h,-0.00352,0.00148,True,-4.79,0.5,False,False,7,1.0,698180
ETHUSDT,dprem_4h,1h,-0.01837,0.0051,True,-3.63,1.0,False,False,7,0.86,698420
ETHUSDT,dprem_4h,4h,-0.01837,0.00313,True,-8.69,0.75,False,False,7,0.86,698384
ETHUSDT,dprem_4h,8h,-0.01223,0.00178,True,-9.69,0.5,False,False,7,0.86,698336
ETHUSDT,dprem_4h,12h,-0.01051,0.00215,True,-8.08,0.75,False,False,7,1.0,698288
ETHUSDT,dprem_4h,24h,-0.00853,0.00418,True,-9.29,0.75,False,False,7,1.0,698144
ETHUSDT,lev_1h,1h,0.0001,0.00285,False,0.23,0.5,False,False,7,0.71,698456
ETHUSDT,lev_1h,4h,-0.00031,0.00359,False,0.85,0.5,False,False,7,0.43,698420
ETHUSDT,lev_1h,8h,-0.00044,0.00266,False,0.78,0.5,False,False,7,0.43,698372
ETHUSDT,lev_1h,12h,0.00066,0.00225,False,1.17,0.75,False,False,7,0.57,698324
ETHUSDT,lev_1h,24h,0.00051,0.0032,False,2.4,0.5,False,False,7,0.43,698180
ETHUSDT,lev_4h,1h,-0.0025,0.00324,False,0.15,0.75,False,False,7,0.71,698420
ETHUSDT,lev_4h,4h,-0.00381,0.00709,False,0.69,0.5,False,False,7,0.71,698384
ETHUSDT,lev_4h,8h,-0.00185,0.00576,False,1.93,0.75,False,False,7,0.71,698336
ETHUSDT,lev_4h,12h,-0.00097,0.00298,False,2.03,0.75,False,False,7,0.71,698288
ETHUSDT,lev_4h,24h,0.00283,0.00766,False,12.58,0.5,False,False,7,0.43,698144
ETHUSDT,gap,1h,0.00335,0.00254,True,0.14,0.5,False,False,7,0.71,698379
ETHUSDT,gap,4h,0.0005,0.00336,False,0.44,0.5,False,False,7,0.71,698343
ETHUSDT,gap,8h,-0.00056,0.00384,False,0.3,0.5,False,False,7,0.43,698295
ETHUSDT,gap,12h,-0.00324,0.00783,False,-0.4,0.5,False,False,7,0.71,698247
ETHUSDT,gap,24h,-0.00423,0.00746,False,-2.72,0.5,False,False,7,0.43,698103
ETHUSDT,gap_z,1h,0.00448,0.00229,True,0.32,0.75,False,False,7,0.57,698235
ETHUSDT,gap_z,4h,0.00225,0.00286,False,0.9,0.5,False,False,7,0.71,698199
ETHUSDT,gap_z,8h,0.00144,0.00586,False,0.63,0.5,False,False,7,0.57,698151
ETHUSDT,gap_z,12h,-0.00019,0.00507,False,0.29,0.5,False,False,7,0.57,698103
ETHUSDT,gap_z,24h,-0.00015,0.00292,False,-0.35,0.5,False,False,7,0.29,697959
ETHUSDT,gap_1h,1h,0.00673,0.00605,True,0.48,0.5,False,False,7,0.57,698445
ETHUSDT,gap_1h,4h,0.00388,0.00727,False,2.14,0.5,False,False,7,0.71,698409
ETHUSDT,gap_1h,8h,0.00136,0.00814,False,3.57,0.5,False,False,7,0.71,698361
ETHUSDT,gap_1h,12h,-0.00487,0.01408,False,1.21,0.5,False,False,7,0.71,698313
