sym,feature,horizon,n,q1,q5,spread,abs_spread,monotone,years_same_sign,years,null_1d,beats_1d,null_1w,beats_1w,null_1mo,beats_1mo,beats_all_nulls,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
DOGEUSDT,size_z,24h,406742,-4.6763987186928215,6.743002389815994,11.419401108508815,11.419401108508815,0.5,4,6,53.137034092184784,False,46.76580891893656,False,45.31403570836835,False,False,False,False,True,True
DOGEUSDT,crowd_z,1h,493734,1.0689555889191111,0.050784366536624374,-1.0181712223824868,1.0181712223824868,0.75,4,6,3.363418629609163,False,3.432644486288118,False,2.6940006607203477,False,False,False,False,False,False
DOGEUSDT,crowd_z,2h,493722,1.7863261434069893,0.18660546291744645,-1.5997206804895427,1.5997206804895427,0.75,4,6,7.0655089145647825,False,6.705903607028268,False,6.618512274063012,False,False,False,False,False,False
DOGEUSDT,crowd_z,4h,493698,3.40402935744108,-0.28922778215801315,-3.693257139599093,3.693257139599093,0.5,5,6,5.858106940134698,False,13.660509336155494,False,12.598479170945552,False,False,False,False,False,False
DOGEUSDT,crowd_z,8h,493650,7.954926276224749,-2.5224730517275176,-10.477399327952266,10.477399327952266,0.5,5,6,11.868503790657844,False,18.470628641101342,False,17.465404451362325,False,False,False,False,True,True
DOGEUSDT,crowd_z,24h,493458,5.282507980324539,-13.869960805069033,-19.152468785393573,19.152468785393573,0.75,4,6,37.39429524492655,False,40.77875580050801,False,46.22387070136955,False,False,True,False,True,True
DOGEUSDT,disagree,1h,407015,-0.11160277540540618,-1.4104372716897093,-1.2988344962843033,1.2988344962843033,0.75,2,6,3.8822491908078134,False,3.6528993659395335,False,3.4183960487384777,False,False,False,False,False,False
DOGEUSDT,disagree,2h,407003,-0.34209759324856304,-1.2339510568902212,-0.8918534636416582,0.8918534636416582,0.5,2,6,5.7254690185355415,False,6.412432675209965,False,11.986115109668482,False,False,False,False,False,False
DOGEUSDT,disagree,4h,406979,-0.4923522426137494,-0.6070163859697265,-0.11466414335597713,0.11466414335597713,0.5,2,6,10.800784697215986,False,12.937338485126112,False,12.965528891237472,False,False,False,False,False,False
DOGEUSDT,disagree,8h,406931,-1.16394076750744,1.3618542320184859,2.525794999525926,2.525794999525926,0.75,3,6,28.354483027242313,False,26.104855724896883,False,23.269544098887906,False,False,False,False,False,False
DOGEUSDT,disagree,24h,406739,-14.001001188724823,0.5929125890153665,14.59391377774019,14.59391377774019,0.75,3,6,66.42068574257752,False,62.4611670111712,False,53.09965405722432,False,False,True,False,True,True
DOGEUSDT,dcrowd_4h,1h,493880,0.24251276385582396,0.47014771508913034,0.22763495123330638,0.22763495123330638,0.5,3,6,3.989981935478319,False,2.959965154471443,False,3.2241042689806365,False,False,False,False,False,False
DOGEUSDT,dcrowd_4h,2h,493868,-0.2164977246853213,1.0061224634433692,1.2226201881286904,1.2226201881286904,0.5,4,6,5.799281984881004,False,6.3131886665958845,False,5.778804269591731,False,False,False,False,False,False
DOGEUSDT,dcrowd_4h,4h,493844,-2.6995232922171146,0.29455641985256054,2.9940797120696754,2.9940797120696754,0.75,3,6,6.601748756643771,False,13.835058374502145,False,10.163438445290701,False,False,False,False,False,False
DOGEUSDT,dcrowd_4h,8h,493796,-2.7460628745379116,-2.8126335019019817,-0.06657062736407005,0.06657062736407005,0.5,4,6,12.891185318449665,False,16.08668105356341,False,14.81358082506361,False,False,False,False,False,False
DOGEUSDT,dcrowd_4h,24h,493604,2.1774882120731807,-6.043703560555222,-8.221191772628401,8.221191772628401,0.5,4,6,17.42157398732062,False,20.846958943773068,False,23.023949915854047,False,False,False,False,False,True
ADAUSDT,size_z,1h,407019,0.18903568552349523,0.47798844555789893,0.28895276003440373,0.28895276003440373,0.75,2,6,4.049017480877666,False,2.449217003711965,False,3.5420362251394995,False,False,False,False,False,False
ADAUSDT,size_z,2h,407007,0.7903887775938344,0.5402081391821625,-0.25018063841167193,0.25018063841167193,0.5,4,6,5.174947073607849,False,5.516271521097002,False,6.1890514326056945,False,False,False,False,False,False
ADAUSDT,size_z,4h,406983,2.266419571318661,0.4926998064520678,-1.773719764866593,1.773719764866593,0.5,4,6,10.85105031355847,False,12.30617948718195,False,15.076656247886042,False,False,False,False,False,False
ADAUSDT,size_z,8h,406935,-1.1642415133371211,0.33547508709993545,1.4997166004370566,1.4997166004370566,0.5,3,6,23.439598135242385,False,17.463121920839342,False,25.568028458978375,False,False,False,False,False,False
ADAUSDT,size_z,24h,406743,-11.34623731870903,11.501808811601741,22.84804613031077,22.84804613031077,0.75,5,6,36.45587707683232,False,57.56022031143661,False,50.673359777117184,False,False,True,False,True,True
ADAUSDT,crowd_z,1h,493734,1.7826399427681803,-1.6737268004501753,-3.4563667432183554,3.4563667432183554,0.75,5,6,4.418434630987943,False,2.6679229785859255,True,2.833960073693594,True,False,False,False,False,False
ADAUSDT,crowd_z,2h,493722,1.9586219268457803,-2.1750591823295293,-4.13368110917531,4.13368110917531,0.75,4,6,6.044346658705516,False,7.43062033729986,False,5.921081479740259,False,False,False,False,False,False
ADAUSDT,crowd_z,4h,493698,1.5314068245097845,-3.142698965664842,-4.674105790174627,4.674105790174627,0.5,4,6,9.504227072456867,False,14.065827790475126,False,14.14757052200324,False,False,False,False,False,False
ADAUSDT,crowd_z,8h,493650,-0.6123309606813057,-8.660458946117897,-8.048127985436592,8.048127985436592,0.75,4,6,23.033364490745505,False,23.520666351612746,False,15.44482736985314,False,False,False,False,False,True
ADAUSDT,crowd_z,24h,493458,-3.6117534003097247,-5.948613360368347,-2.336859960058622,2.336859960058622,0.75,3,6,32.829676331113674,False,42.714726799270444,False,42.56484226214188,False,False,False,False,False,False
ADAUSDT,disagree,1h,407016,-1.5230696921511266,1.894701143196691,3.4177708353478176,3.4177708353478176,0.5,5,6,4.874266912646208,False,3.986048094137072,False,2.911269645991987,True,False,False,False,False,False
ADAUSDT,disagree,2h,407004,-2.0929834401446854,2.421496305788587,4.514479745933272,4.514479745933272,0.5,6,6,4.829465911620659,False,7.5365781232069216,False,7.354766932987908,False,False,False,False,False,False
ADAUSDT,disagree,4h,406980,-1.4683376574486893,1.6191485517459259,3.087486209194615,3.087486209194615,0.5,5,6,9.90227898913233,False,13.317620831792599,False,13.771282844137902,False,False,False,False,False,False
ADAUSDT,disagree,8h,406932,-5.969464868437886,-1.1610807677238437,4.808384100714043,4.808384100714043,0.5,4,6,16.44359061560117,False,23.70219977766324,False,20.29200847035127,False,False,False,False,False,False
ADAUSDT,disagree,24h,406740,-14.559863278871452,-1.9406565465680317,12.61920673230342,12.61920673230342,0.5,5,6,40.593171882459906,False,49.935465889942726,False,47.35864875114667,False,False,False,False,True,True
ADAUSDT,dcrowd_4h,1h,493880,0.8005415101668574,-1.902622055486012,-2.7031635656528694,2.7031635656528694,0.75,5,6,2.6992383133812226,True,2.722727402359321,False,3.474925887453229,False,False,False,False,False,False
ADAUSDT,dcrowd_4h,2h,493868,0.9932171493631912,-2.369220180008245,-3.3624373293714362,3.3624373293714362,0.75,5,6,5.563996924293118,False,3.5368190031495077,False,5.078211663938777,False,False,False,False,False,False
ADAUSDT,dcrowd_4h,4h,493844,0.4557011772042926,-3.1486510900072897,-3.604352267211582,3.604352267211582,0.75,5,6,8.922669132486831,False,12.781137086969931,False,6.669301684849543,False,False,False,False,False,False
ADAUSDT,dcrowd_4h,8h,493796,0.4326794540897058,-7.890728139589917,-8.323407593679622,8.323407593679622,0.5,4,6,14.71416357430635,False,14.29649231465086,False,24.34092570544444,False,False,False,False,False,True
ADAUSDT,dcrowd_4h,24h,493604,0.9362017414292146,-8.541481510391902,-9.477683251821118,9.477683251821118,0.5,4,6,28.742321891822204,False,31.461107251025478,False,28.32545843067341,False,False,False,False,True,True
