symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
ETHUSDT,1h,2020-07-01,2.0104,578,0.4083,19
ETHUSDT,1h,2020-10-01,1.621,582,0.6151,15
ETHUSDT,1h,2021-01-01,1.7868,579,0.2606,18
ETHUSDT,1h,2021-04-01,1.3044,623,0.9989,22
ETHUSDT,1h,2021-07-01,1.0996,623,1.3218,22
ETHUSDT,1h,2021-10-01,1.3334,577,2.0107,14
ETHUSDT,1h,2022-01-01,2.2985,208,1.8035,13
ETHUSDT,1h,2022-04-01,3.3777,153,0.8199,14
ETHUSDT,1h,2022-07-01,4.8104,203,1.0999,16
ETHUSDT,1h,2022-10-01,2.9934,151,0.302,14
ETHUSDT,1h,2023-01-01,1.9859,361,1.4518,15
ETHUSDT,1h,2023-04-01,1.9927,416,0.8501,18
ETHUSDT,1h,2023-07-01,2.02,209,0.4378,18
ETHUSDT,1h,2023-10-01,1.5555,311,0.5893,12
ETHUSDT,1h,2024-01-01,1.2989,647,0.5145,13
ETHUSDT,1h,2024-04-01,1.2034,431,1.6973,14
ETHUSDT,1h,2024-07-01,1.5685,523,0.0996,13
ETHUSDT,1h,2024-10-01,1.5566,355,0.5381,23
ETHUSDT,1h,2025-01-01,1.9304,578,0.5313,17
ETHUSDT,1h,2025-04-01,1.6031,364,1.0193,16
ETHUSDT,1h,2025-07-01,1.2166,364,1.1082,18
ETHUSDT,1h,2025-10-01,1.5825,204,1.3589,16
ETHUSDT,1h,2026-01-01,1.9785,528,0.3888,13
ETHUSDT,1h,2026-04-01,1.7673,204,0.8238,18
ETHUSDT,4h,2020-04-01,1.7418,33,,7
ETHUSDT,4h,2020-07-01,2.0083,33,1.5525,10
ETHUSDT,4h,2020-10-01,1.6326,33,0.6553,10
ETHUSDT,4h,2021-01-01,2.8933,647,1.3045,12
ETHUSDT,4h,2021-04-01,3.6703,585,0.2668,13
ETHUSDT,4h,2021-07-01,1.9635,647,1.0981,12
ETHUSDT,4h,2021-10-01,1.4227,641,0.5979,13
ETHUSDT,4h,2022-01-01,1.5539,509,1.4477,8
ETHUSDT,4h,2022-04-01,1.5634,508,1.139,9
ETHUSDT,4h,2022-07-01,1.668,509,1.1557,10
ETHUSDT,4h,2022-10-01,1.5639,293,0.6837,9
ETHUSDT,4h,2023-01-01,1.4709,293,1.6135,9
ETHUSDT,4h,2023-04-01,1.5488,292,1.2089,13
ETHUSDT,4h,2023-07-01,1.4356,292,1.1973,13
ETHUSDT,4h,2023-10-01,1.6852,516,3.9374,10
ETHUSDT,4h,2024-01-01,2.5847,519,1.49,8
ETHUSDT,4h,2024-04-01,2.5166,519,1.5292,11
ETHUSDT,4h,2024-07-01,2.8884,519,1.0365,9
ETHUSDT,4h,2024-10-01,2.2298,520,4.1449,7
ETHUSDT,4h,2025-01-01,2.751,520,1.1907,7
ETHUSDT,4h,2025-04-01,2.958,520,2.4283,7
ETHUSDT,4h,2025-07-01,2.2976,101,0.2213,8
ETHUSDT,4h,2025-10-01,1.6998,409,0.9554,13
ETHUSDT,4h,2026-01-01,1.8811,215,0.4063,12
ETHUSDT,4h,2026-04-01,1.4346,505,1.9395,9
SOLUSDT,1h,2021-10-01,1.7209,375,2.0087,12
SOLUSDT,1h,2022-01-01,1.9608,370,2.7724,12
SOLUSDT,1h,2022-04-01,2.2828,367,0.7452,15
SOLUSDT,1h,2022-07-01,2.1545,591,3.3607,14
SOLUSDT,1h,2022-10-01,3.4278,588,0.6913,14
SOLUSDT,1h,2023-01-01,2.1817,427,2.9777,13
SOLUSDT,1h,2023-04-01,2.728,215,0.2959,14
SOLUSDT,1h,2023-07-01,2.3355,584,1.1289,15
SOLUSDT,1h,2023-10-01,1.7668,584,1.1235,14
SOLUSDT,1h,2024-01-01,2.7341,46,0.1936,13
SOLUSDT,1h,2024-04-01,2.6662,100,1.6328,13
SOLUSDT,1h,2024-07-01,2.4845,46,1.4697,12
SOLUSDT,1h,2024-10-01,1.9634,45,1.1313,13
SOLUSDT,1h,2025-01-01,1.7958,430,1.2473,13
SOLUSDT,1h,2025-04-01,2.0167,429,1.0074,15
SOLUSDT,1h,2025-07-01,1.8525,429,1.1313,15
SOLUSDT,1h,2025-10-01,1.7346,413,0.9953,23
SOLUSDT,1h,2026-01-01,1.9418,483,7.4478,10
SOLUSDT,1h,2026-04-01,3.0476,530,2.3474,10
SOLUSDT,4h,2021-10-01,2.4658,503,4.4123,9
SOLUSDT,4h,2022-01-01,2.8035,503,0.6595,14
SOLUSDT,4h,2022-04-01,1.6345,503,0.2577,11
SOLUSDT,4h,2022-07-01,1.6987,142,1.786,14
SOLUSDT,4h,2022-10-01,1.9508,142,2.7167,11
SOLUSDT,4h,2023-01-01,1.875,142,0.6463,12
SOLUSDT,4h,2023-04-01,1.9481,511,4.6304,8
SOLUSDT,4h,2023-07-01,3.2569,511,0.3501,8
SOLUSDT,4h,2023-10-01,2.2987,505,2.2109,8
SOLUSDT,4h,2024-01-01,3.2903,465,1.3143,6
SOLUSDT,4h,2024-04-01,2.3159,241,0.7817,9
SOLUSDT,4h,2024-07-01,2.0036,28,1.2899,10
SOLUSDT,4h,2024-10-01,2.5256,624,0.6828,14
SOLUSDT,4h,2025-01-01,2.2627,624,1.5676,14
SOLUSDT,4h,2025-04-01,2.4987,572,0.9769,13
SOLUSDT,4h,2025-07-01,2.711,572,0.6732,16
SOLUSDT,4h,2025-10-01,1.1767,626,0.3896,13
SOLUSDT,4h,2026-01-01,1.2496,633,1.1011,14
SOLUSDT,4h,2026-04-01,1.2059,363,0.3157,12
EURUSD,1h,2024-10-01,1.6467,431,1.0619,12
EURUSD,1h,2025-01-01,1.0889,159,88.3767,10
EURUSD,1h,2025-04-01,1.592,375,5.3481,11
EURUSD,1h,2025-07-01,3.4474,431,1.0502,11
EURUSD,1h,2025-10-01,3.3853,153,0.882,13
EURUSD,1h,2026-01-01,2.2824,375,0.2326,12
EURUSD,1h,2026-04-01,1.8238,521,0.2494,17
AUDUSD,1h,2024-10-01,1.7286,160,1.7409,12
AUDUSD,1h,2025-01-01,1.8849,424,0.9067,9
AUDUSD,1h,2025-04-01,1.8198,160,0.9382,9
AUDUSD,1h,2025-07-01,1.8417,574,0.5242,17
AUDUSD,1h,2025-10-01,2.3354,431,0.7536,11
AUDUSD,1h,2026-01-01,2.1818,431,1.4739,11
AUDUSD,1h,2026-04-01,1.6117,52,1.0133,9
