symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_2x,same_sign_years,n
BNBUSDT,breadth,4h,0.0066,0.01263,False,-5.2,0.75,False,0.5,41138
BNBUSDT,breadth,8h,0.00127,0.00548,False,-11.69,0.75,False,0.5,41134
BNBUSDT,breadth,24h,0.01056,0.01512,False,-6.69,0.5,False,0.67,41118
BNBUSDT,disp,1h,-0.00577,0.01274,False,-0.43,0.75,False,0.83,41141
BNBUSDT,disp,4h,-0.01054,0.01142,False,-0.78,0.75,False,0.83,41138
BNBUSDT,disp,8h,-0.01051,0.0155,False,-3.42,0.5,False,0.67,41134
BNBUSDT,disp,24h,-0.01942,0.02778,False,-18.19,1.0,False,0.5,41118
BNBUSDT,sys_gap,1h,-0.00772,0.01194,False,0.98,0.5,False,0.5,33915
BNBUSDT,sys_gap,4h,-0.0116,0.01394,False,2.45,0.5,False,0.33,33912
BNBUSDT,sys_gap,8h,-0.01452,0.01186,True,3.94,0.75,False,0.5,33908
BNBUSDT,sys_gap,24h,-0.00627,0.00604,True,6.67,0.75,False,0.5,33892
BNBUSDT,idio,1h,0.00148,0.00839,False,-1.45,0.5,False,0.5,41141
BNBUSDT,idio,4h,0.00456,0.01107,False,-3.81,0.75,False,0.67,41138
BNBUSDT,idio,8h,0.00104,0.01654,False,-6.19,0.5,False,0.5,41134
BNBUSDT,idio,24h,-0.01434,0.01112,True,-23.22,0.75,False,0.5,41118
BNBUSDT,dsys_12,1h,-0.01237,0.00813,True,-2.27,0.5,False,0.83,41131
BNBUSDT,dsys_12,4h,-0.0058,0.00356,True,-3.63,0.75,False,0.5,41128
BNBUSDT,dsys_12,8h,-0.00691,0.00617,True,-2.16,0.75,False,0.5,41124
BNBUSDT,dsys_12,24h,-0.00967,0.0062,True,-6.05,0.5,False,0.83,41108
BNBUSDT,down_12,1h,-0.01193,0.00937,True,-1.91,0.75,False,0.83,41131
BNBUSDT,down_12,4h,-0.01003,0.00688,True,-3.9,0.5,False,1.0,41128
BNBUSDT,down_12,8h,-0.00812,0.00354,True,-3.72,0.75,False,0.83,41124
BNBUSDT,down_12,24h,-0.01063,0.01004,True,-5.88,0.75,False,0.83,41108
BNBUSDT,dsys_48,1h,-0.00141,0.00647,False,-1.44,0.5,False,0.5,41125
BNBUSDT,dsys_48,4h,0.00037,0.00536,False,-2.12,0.75,False,0.67,41122
BNBUSDT,dsys_48,8h,-0.00377,0.00245,True,-2.59,0.5,False,0.33,41118
BNBUSDT,dsys_48,24h,-0.00244,0.00781,False,1.51,0.5,False,0.5,41102
BNBUSDT,down_48,1h,-0.00505,0.00416,True,-2.3,0.75,False,0.5,41125
BNBUSDT,down_48,4h,-0.00154,0.00596,False,-2.28,0.75,False,0.5,41122
BNBUSDT,down_48,8h,-0.00199,0.00691,False,-2.72,0.75,False,0.83,41118
BNBUSDT,down_48,24h,-0.00458,0.00718,False,-4.59,0.75,False,0.67,41102
BNBUSDT,dsys_144,1h,0.00247,0.0066,False,-0.52,0.75,False,0.67,41109
BNBUSDT,dsys_144,4h,-0.00841,0.01217,False,-5.08,0.5,False,0.67,41106
BNBUSDT,dsys_144,8h,-0.0224,0.01072,True,-13.41,0.75,False,0.83,41102
BNBUSDT,dsys_144,24h,0.00439,0.01601,False,-6.86,0.5,False,0.5,41086
