symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,0,1,0,6561,2.696,0.2484,-0.4778,0.3252,0.2036,0.1357,-4058.24,-4056.6,0.094
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,0,1,10786,4.431,0.5993,-0.0611,1.2233,0.8233,0.5333,-2037.92,-2037.7,0.3368
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,0,0,9277,3.811,0.2408,-0.4807,0.3081,0.1939,0.1305,-5722.85,-5722.8,0.0915
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,1,1,5436,2.233,0.5979,-0.0512,1.261,0.8498,0.5519,-975.15,-974.8,0.3497
BTCUSDT,15m,D,1,2.0,0,0.0,50.0,1,1,0,5058,2.078,0.2544,-0.4679,0.3251,0.2068,0.1397,-3050.5,-3049.7,0.0982
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,0,1,9608,3.947,0.6245,-0.0328,1.2237,0.8974,0.6393,-1248.74,-1247.6,0.4437
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,0,0,7142,2.934,0.2674,-0.4237,0.3303,0.2349,0.1728,-3733.62,-3733.6,0.1293
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,1,1,4920,2.021,0.6165,-0.0355,1.209,0.8889,0.6354,-647.26,-645.3,0.4422
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,1,0,4099,1.684,0.292,-0.3817,0.3882,0.2802,0.208,-1966.64,-1963.6,0.1568
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,0,1,7503,3.083,0.6184,-0.0415,1.1835,0.8722,0.6251,-1028.0,-1024.9,0.4364
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,0,0,6099,2.506,0.2782,-0.4063,0.3491,0.2506,0.1856,-3066.85,-3066.9,0.1394
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,1,1,3751,1.541,0.6156,-0.0339,1.2086,0.8939,0.6437,-482.62,-478.8,0.452
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,1,0,3290,1.352,0.3009,-0.3728,0.3951,0.2872,0.2142,-1539.29,-1538.8,0.1622
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,0,1,10817,4.444,0.4922,-0.1572,0.9767,0.7234,0.5287,-3278.49,-3277.2,0.3807
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,0,0,10737,4.411,0.4935,-0.1481,0.9793,0.737,0.5488,-3076.79,-3070.9,0.4036
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,1,1,7147,2.936,0.4992,-0.1619,1.0064,0.7156,0.4982,-2340.86,-2335.9,0.3417
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,1,0,7287,2.994,0.4854,-0.1877,0.9443,0.6799,0.482,-2531.12,-2530.8,0.3382
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,0,1,9099,3.738,0.4892,-0.1624,0.9649,0.7155,0.5238,-2797.49,-2795.9,0.3779
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,0,0,9177,3.77,0.4953,-0.1474,0.9838,0.7371,0.5458,-2634.88,-2632.6,0.3992
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,1,1,5519,2.267,0.4977,-0.1579,1.0025,0.7211,0.509,-1749.92,-1749.1,0.3542
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,1,0,5660,2.325,0.4915,-0.1696,0.9695,0.7045,0.5047,-1836.54,-1834.1,0.3571
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,0,1,10074,4.139,0.4951,-0.1304,0.9887,0.7643,0.5855,-2572.58,-2571.3,0.4398
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,0,0,10128,4.161,0.4931,-0.1315,0.9771,0.7625,0.5908,-2555.65,-2550.5,0.4504
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,1,1,6331,2.601,0.4958,-0.1335,0.9943,0.759,0.5733,-1677.14,-1673.1,0.4231
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,1,0,6516,2.677,0.4893,-0.1477,0.9595,0.7376,0.5624,-1795.09,-1794.4,0.4206
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,0,1,8398,3.45,0.4921,-0.1339,0.9771,0.7583,0.5834,-2156.02,-2154.4,0.4405
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,0,0,8545,3.511,0.4956,-0.1269,0.9845,0.7691,0.5964,-2105.87,-2103.6,0.455
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,1,1,4905,2.015,0.4962,-0.1284,0.9976,0.7667,0.5836,-1254.35,-1253.6,0.435
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,1,1,0,5067,2.082,0.4956,-0.1312,0.9861,0.762,0.5841,-1297.55,-1294.7,0.4394
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,0,1,7319,3.007,0.4927,-0.1034,0.9832,0.8069,0.6597,-1457.09,-1453.9,0.5351
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,0,0,7547,3.101,0.4972,-0.0957,0.9956,0.8195,0.6721,-1431.74,-1429.1,0.5471
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,1,1,4283,1.76,0.4908,-0.1053,0.9787,0.803,0.6564,-861.67,-857.5,0.5322
BTCUSDT,15m,D,1,2.0,1,1.0,100.0,0,1,0,4447,1.827,0.4983,-0.0944,0.9983,0.8216,0.6739,-837.04,-835.4,0.5487
