symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,1.0,1,2.0,100.0,1,1,0,700,0.288,0.33,-0.1436,0.9269,0.7994,0.6929,-175.31,-167.8,0.6029
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,0,1,5572,2.289,0.2001,-0.231,1.0445,0.7705,0.5951,-2785.44,-2770.2,0.4737
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,0,0,5643,2.318,0.1701,-0.1866,1.1469,0.827,0.6318,-2810.69,-2784.5,0.5009
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,1,1,3207,1.318,0.1843,-0.1116,1.2449,0.8953,0.6827,-1389.77,-1349.7,0.5404
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,0,1,0,3193,1.312,0.1409,-0.379,0.936,0.6662,0.5046,-2282.05,-2246.3,0.3976
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,0,1,5372,2.207,0.2042,-0.2159,1.0612,0.784,0.606,-2651.5,-2577.1,0.4826
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,0,0,5474,2.249,0.1699,-0.1941,1.133,0.8197,0.6277,-2752.95,-2720.5,0.4985
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,1,1,3028,1.244,0.1869,-0.0943,1.265,0.9112,0.6954,-1272.63,-1217.3,0.5508
BTCUSDT,15m,D,1,1.0,2,0.0,25.0,1,1,0,2998,1.232,0.1408,-0.3971,0.9118,0.6498,0.4925,-2194.68,-2155.9,0.3882
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,0,1,3820,1.569,0.2306,-0.227,0.9313,0.7452,0.609,-1562.89,-1536.1,0.5056
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,0,0,3557,1.461,0.2106,-0.0885,1.135,0.9043,0.7393,-1020.7,-999.7,0.6159
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,1,1,1608,0.661,0.2338,-0.113,1.0862,0.8735,0.7181,-477.86,-468.2,0.6002
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,0,1,0,1556,0.639,0.1864,-0.2593,0.9103,0.7284,0.5974,-703.26,-695.5,0.4989
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,0,1,3684,1.514,0.2345,-0.2025,0.9623,0.7711,0.631,-1408.39,-1387.6,0.5245
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,0,0,3428,1.408,0.2156,-0.0992,1.1192,0.8919,0.7291,-1017.67,-992.9,0.607
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,1,1,1530,0.629,0.2366,-0.0822,1.1273,0.9078,0.7473,-405.16,-398.2,0.6253
BTCUSDT,15m,D,1,1.0,2,0.0,50.0,1,1,0,1474,0.606,0.1866,-0.2761,0.8885,0.7113,0.5835,-692.37,-682.1,0.4872
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,0,1,1646,0.676,0.274,-0.1861,0.8806,0.7585,0.6585,-476.15,-475.8,0.5753
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,0,0,1462,0.601,0.2627,-0.1103,1.0013,0.8586,0.7433,-368.01,-323.7,0.6485
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,1,1,593,0.244,0.2833,-0.1031,0.9908,0.8657,0.7618,-131.83,-118.5,0.6746
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,0,1,0,553,0.227,0.2278,-0.2589,0.7899,0.6868,0.6018,-211.71,-199.6,0.5308
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,0,1,1592,0.654,0.277,-0.1651,0.9102,0.785,0.6823,-426.65,-426.6,0.5969
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,0,0,1427,0.586,0.2635,-0.1148,0.9932,0.8527,0.739,-360.51,-320.9,0.6452
BTCUSDT,15m,D,1,1.0,2,0.0,100.0,1,1,1,560,0.23,0.2911,-0.0392,1.0829,0.9481,0.8361,-84.93,-75.8,0.7419
